gene_total,gene_n_nonzero,gene
4062,3970,ENSG00000238009
13643,12625,ENSG00000237683
135915,90115,ENSG00000228463
4796,4706,ENSG00000237094
10491,10072,ENSG00000235373
2483,2461,ENSG00000228327
4322,4155,ENSG00000237491
14242,13138,ENSG00000225880
9626,9120,ENSG00000230368
419233,150987,ENSG00000188976
11832,11214,ENSG00000187961
3072,2951,ENSG00000187583
237514,109817,ENSG00000188290
238931,122718,ENSG00000187608
48542,39798,ENSG00000188157
35603,30818,ENSG00000131591
196537,110508,ENSG00000078808
40136,31815,ENSG00000176022
3952,3680,ENSG00000184163
319630,137998,ENSG00000160087
1271,1259,ENSG00000162572
52269,43614,ENSG00000131584
172850,100214,ENSG00000169972
136589,90337,ENSG00000127054
57012,46058,ENSG00000224051
40474,33914,ENSG00000107404
56715,45317,ENSG00000162576
3129413,203159,ENSG00000175756
116799,81478,ENSG00000221978
191394,108899,ENSG00000224870
1331402,192081,ENSG00000242485
5103,4951,ENSG00000272455
11266,10446,ENSG00000179403
1219,1179,ENSG00000215915
190267,93244,ENSG00000160072
229167,105730,ENSG00000197785
1109411,194162,ENSG00000160075
13082,12313,ENSG00000215014
15338,13914,ENSG00000228594
17741,16470,ENSG00000272106
57392,47637,ENSG00000197530
76095,50905,ENSG00000189409
55765,46143,ENSG00000248333
1956,1910,ENSG00000272004
53310,44397,ENSG00000189339
81166,63231,ENSG00000008128
7459,7124,ENSG00000215790
168853,100900,ENSG00000008130
164195,96703,ENSG00000078369
2170,2139,ENSG00000231050
123466,76521,ENSG00000178821
17654,16153,ENSG00000067606
2000,1973,ENSG00000182873
658416,177274,ENSG00000162585
17996,16684,ENSG00000157933
13944,13140,ENSG00000116151
591382,162887,ENSG00000157916
84910,64366,ENSG00000157911
9412,9073,ENSG00000157881
12602,11401,ENSG00000272449
7390,7096,ENSG00000157873
63059,49135,ENSG00000157870
1551,1535,ENSG00000215912
20750,18913,ENSG00000158109
64734,52656,ENSG00000116213
4213,4092,ENSG00000078900
33782,29978,ENSG00000227372
472276,155776,ENSG00000235169
109010,77200,ENSG00000130764
2491,2441,ENSG00000272153
82075,60801,ENSG00000116198
20412,18962,ENSG00000169598
157214,97684,ENSG00000198912
2185,2111,ENSG00000236423
7301,6988,ENSG00000131697
9084,8649,ENSG00000069424
5821911,207242,ENSG00000116251
2919,2848,ENSG00000226944
21382,19518,ENSG00000158286
130875,86091,ENSG00000116237
2051,1849,ENSG00000225077
107796,73673,ENSG00000097021
6556,6355,ENSG00000271746
1451,1356,ENSG00000069812
52003,34034,ENSG00000187017
93042,67679,ENSG00000162408
26764,24298,ENSG00000204859
27929,24664,ENSG00000162413
27124,24364,ENSG00000116273
63855,51584,ENSG00000041988
45408,37960,ENSG00000007923
1204,1198,ENSG00000237436
290894,133845,ENSG00000171735
95488,70916,ENSG00000049245
58628,47799,ENSG00000049246
3223,3152,ENSG00000236266
10466,7779,ENSG00000049249
1750972,198907,ENSG00000116288
13444,10842,ENSG00000116285
61991,50751,ENSG00000142599
2964610,200879,ENSG00000074800
6201,6002,ENSG00000230679
4141,3941,ENSG00000180758
4806,4657,ENSG00000049239
264763,118012,ENSG00000171612
21477,19720,ENSG00000188807
11966,11379,ENSG00000171608
100268,73314,ENSG00000231789
19415,17923,ENSG00000171603
144302,89825,ENSG00000178585
201482,113346,ENSG00000162441
21653,19800,ENSG00000173614
72996,57783,ENSG00000130939
39787,34585,ENSG00000054523
284408,138408,ENSG00000142657
1249,1234,ENSG00000271989
71590,54043,ENSG00000175279
1708,1689,ENSG00000251503
266465,126029,ENSG00000160049
43316,37096,ENSG00000142655
227725,121097,ENSG00000120948
9044,8529,ENSG00000271895
2065975,184682,ENSG00000116649
91564,68436,ENSG00000171824
8031,7644,ENSG00000230337
59712,48338,ENSG00000198793
67913,54421,ENSG00000120942
3904,3656,ENSG00000116661
19320,17645,ENSG00000132879
45043,38235,ENSG00000116663
466858,160773,ENSG00000116670
241592,118857,ENSG00000177674
1114,1104,ENSG00000215910
62948,49870,ENSG00000177000
18729,17312,ENSG00000011021
3279,3202,ENSG00000242349
82615,61637,ENSG00000116685
69876,53685,ENSG00000083444
64456,50829,ENSG00000116688
218336,115382,ENSG00000116691
11446,10631,ENSG00000120949
32713,28231,ENSG00000028137
44633,38143,ENSG00000048707
43063,35361,ENSG00000162496
47542,40630,ENSG00000116731
3070,2931,ENSG00000234593
42627,34291,ENSG00000189337
3478,3127,ENSG00000171729
125250,80381,ENSG00000142634
35783,31228,ENSG00000132906
33377,29708,ENSG00000116138
2721,2687,ENSG00000116771
70668,55284,ENSG00000197312
34643,30584,ENSG00000116786
1337,1273,ENSG00000162458
47502,39875,ENSG00000179743
135917,89040,ENSG00000065526
34180,30072,ENSG00000116809
1729,1669,ENSG00000185519
27046,23701,ENSG00000142632
3362,3310,ENSG00000204377
26861,23749,ENSG00000132881
29997,27031,ENSG00000037637
202161,106387,ENSG00000055070
176351,106683,ENSG00000157191
1736,1716,ENSG00000226029
11960,10931,ENSG00000261135
76447,56760,ENSG00000219481
80016,61776,ENSG00000215908
3428,3378,ENSG00000058453
2909,2835,ENSG00000272426
38514,33632,ENSG00000159363
617754,165336,ENSG00000117118
122418,81332,ENSG00000179051
11797,11171,ENSG00000159423
2997,2917,ENSG00000169991
113067,77446,ENSG00000127481
3741,3550,ENSG00000230424
40020,34595,ENSG00000127463
380474,140317,ENSG00000053372
205229,116785,ENSG00000053371
43310,36715,ENSG00000040487
508857,172766,ENSG00000077549
1683,1650,ENSG00000270136
406897,142377,ENSG00000173436
11682,10869,ENSG00000158747
9134,8744,ENSG00000162542
17467,16293,ENSG00000169914
8478,7926,ENSG00000225986
28318,24571,ENSG00000162543
1411,1357,ENSG00000162545
43590,36899,ENSG00000090432
37123,30856,ENSG00000158828
268546,133819,ENSG00000244038
1959,1931,ENSG00000117245
331300,141512,ENSG00000127483
40537,34729,ENSG00000075151
13680,12314,ENSG00000117298
1797,1779,ENSG00000142794
45690,38495,ENSG00000076864
181294,107417,ENSG00000090686
11244,10564,ENSG00000142798
1464,1438,ENSG00000228397
23155,21242,ENSG00000218510
778635,185207,ENSG00000070831
18070,16814,ENSG00000184677
173066,103871,ENSG00000004487
59721,47657,ENSG00000169641
13402,12632,ENSG00000261326
637189,172310,ENSG00000125944
3267,3225,ENSG00000125945
53751,41909,ENSG00000249087
4585,4477,ENSG00000088280
19662,17500,ENSG00000007968
65927,31817,ENSG00000117318
22525667,207319,ENSG00000142676
179072,97377,ENSG00000011007
94869,68423,ENSG00000236810
276441,125075,ENSG00000057757
164171,98034,ENSG00000011009
247521,110926,ENSG00000117308
62110,47973,ENSG00000117305
46630,39913,ENSG00000179163
10012,9623,ENSG00000189266
110323,78704,ENSG00000188529
24076,21990,ENSG00000001460
38643,33798,ENSG00000001461
1965,1868,ENSG00000117602
517720,164516,ENSG00000133226
58036,46733,ENSG00000169504
3220,3121,ENSG00000020633
241967,125808,ENSG00000117614
278126,136780,ENSG00000117616
2814,2753,ENSG00000272432
25704,22211,ENSG00000187010
454490,166482,ENSG00000183726
50823,41115,ENSG00000188672
89988,66426,ENSG00000204178
45390,38651,ENSG00000157978
1751,1724,ENSG00000225643
22218,20168,ENSG00000162430
130073,89465,ENSG00000117640
1433,1423,ENSG00000223474
59458,47968,ENSG00000127423
6055,5718,ENSG00000182749
1994233,194895,ENSG00000117632
20077,18437,ENSG00000158006
37416,32697,ENSG00000175087
7689,7386,ENSG00000197245
918062,178081,ENSG00000142684
2626,2558,ENSG00000142675
55574,44519,ENSG00000130695
1412400,185566,ENSG00000142669
47159,38937,ENSG00000158062
47796,34067,ENSG00000169442
25133,22187,ENSG00000176092
85656,51256,ENSG00000131914
54901,45832,ENSG00000117682
3370225,202984,ENSG00000198830
16637,15524,ENSG00000117676
128214,85893,ENSG00000117713
24465,22388,ENSG00000060642
15668,14688,ENSG00000204160
2937,2804,ENSG00000175793
60720,49461,ENSG00000142751
28539,25532,ENSG00000198746
992182,182159,ENSG00000090273
18934,17631,ENSG00000175707
1767,1712,ENSG00000253368
7424,7137,ENSG00000090020
29019,26349,ENSG00000142784
78244,60414,ENSG00000186501
2817,2636,ENSG00000142765
3268,3211,ENSG00000142733
2548,2478,ENSG00000174950
13055,12024,ENSG00000181773
503246,165411,ENSG00000158195
2322,2281,ENSG00000237429
19195,17505,ENSG00000126705
13912,12551,ENSG00000126709
34170,29840,ENSG00000009780
56402,46610,ENSG00000117758
130617,89794,ENSG00000117751
10111,9576,ENSG00000130775
242622,125226,ENSG00000117748
5546,5377,ENSG00000130768
41389,34748,ENSG00000158161
1411,1296,ENSG00000169403
483405,169894,ENSG00000126698
1306281,195511,ENSG00000130770
6440,6236,ENSG00000270605
58329,40653,ENSG00000130766
23765,21960,ENSG00000130772
55875,45636,ENSG00000204138
206944,113007,ENSG00000180198
84536,65341,ENSG00000180098
58430,43396,ENSG00000197989
267221,133441,ENSG00000120656
26808,24188,ENSG00000162419
241042,125605,ENSG00000198492
370801,152157,ENSG00000159023
285522,131171,ENSG00000116350
100783,72559,ENSG00000116353
1269,1253,ENSG00000162510
9210,8778,ENSG00000186056
2292,1995,ENSG00000162511
17134,15859,ENSG00000162512
98145,73577,ENSG00000134644
330539,143981,ENSG00000060688
253101,125433,ENSG00000121766
17500,15307,ENSG00000168528
6192,5540,ENSG00000142910
146698,93937,ENSG00000162517
2497,2232,ENSG00000134668
1484331,194888,ENSG00000184007
523538,175136,ENSG00000121774
1918,1900,ENSG00000203325
42444,36930,ENSG00000121775
103219,75069,ENSG00000025800
66906,53313,ENSG00000084652
202932,111608,ENSG00000160050
15691,14842,ENSG00000160051
39807,34172,ENSG00000160055
1215356,196748,ENSG00000084623
200362,113251,ENSG00000116478
1036735,181231,ENSG00000175130
4289,4202,ENSG00000162526
9057,8698,ENSG00000225828
126369,87431,ENSG00000160058
2804,2689,ENSG00000160062
172445,104989,ENSG00000176261
282735,140143,ENSG00000162521
33728,30158,ENSG00000162520
49309,40319,ENSG00000162522
296012,135175,ENSG00000134684
56591,47041,ENSG00000116497
1140,1120,ENSG00000160097
162216,94117,ENSG00000121900
7595,7359,ENSG00000116514
696491,164826,ENSG00000004455
2420,2357,ENSG00000142920
1885,1864,ENSG00000116525
1591,1564,ENSG00000160094
32466,28476,ENSG00000134686
2370,2340,ENSG00000233246
4543,4457,ENSG00000121903
383982,142656,ENSG00000163866
19942,18617,ENSG00000163867
29551,25431,ENSG00000197056
984333,192657,ENSG00000116560
142018,90362,ENSG00000146463
44404,38256,ENSG00000142687
21124,19488,ENSG00000020129
800918,185076,ENSG00000126067
37294,32815,ENSG00000142686
194568,102401,ENSG00000092853
9422,8998,ENSG00000134698
69110,53600,ENSG00000092847
79960,62155,ENSG00000126070
85382,63541,ENSG00000116863
470262,165232,ENSG00000054116
58834,47352,ENSG00000116871
422278,158730,ENSG00000054118
22008,18813,ENSG00000142694
1318,1303,ENSG00000116883
110099,76559,ENSG00000196182
496857,157961,ENSG00000181817
1002327,188502,ENSG00000116898
1839,1755,ENSG00000119535
3760,3683,ENSG00000233621
17691,16350,ENSG00000163874
364117,156588,ENSG00000163875
17410,16179,ENSG00000163877
297707,133573,ENSG00000134697
85711,63082,ENSG00000116922
132226,72527,ENSG00000134690
22999,20546,ENSG00000185090
287940,117571,ENSG00000196449
529258,162729,ENSG00000197982
32014,28418,ENSG00000188786
18539,17421,ENSG00000204084
198759,109806,ENSG00000183431
215282,116153,ENSG00000183386
249070,121516,ENSG00000183520
1567,1500,ENSG00000185668
95373,62893,ENSG00000116954
8764,8039,ENSG00000228436
173196,102794,ENSG00000214114
347893,147077,ENSG00000174574
1671493,200647,ENSG00000168653
120032,80237,ENSG00000127603
4615,4521,ENSG00000255103
1877,1858,ENSG00000182109
404671,155949,ENSG00000090621
270953,134728,ENSG00000084072
2090,2059,ENSG00000116985
2143,2112,ENSG00000198754
12664,12034,ENSG00000261798
95282,70810,ENSG00000043514
11914,11088,ENSG00000116990
359098,148576,ENSG00000131236
188089,113631,ENSG00000131238
71740,55688,ENSG00000117000
47838,40383,ENSG00000259943
72805,55431,ENSG00000084073
303887,129455,ENSG00000084070
14259,13335,ENSG00000187801
8456,8208,ENSG00000187815
8264,7933,ENSG00000117010
3619,3539,ENSG00000117016
9439,9019,ENSG00000272145
102774,75419,ENSG00000066136
4087,3990,ENSG00000117013
10308,9146,ENSG00000179862
101773,71616,ENSG00000171793
40370,35118,ENSG00000010803
1965,1942,ENSG00000235358
1726,1686,ENSG00000127124
31284,27934,ENSG00000198815
44814,38430,ENSG00000127125
2608,2040,ENSG00000186409
377912,148416,ENSG00000171960
9633551,206917,ENSG00000065978
31103,28071,ENSG00000117385
128401,86669,ENSG00000164008
432573,163646,ENSG00000177868
130252,86803,ENSG00000164010
3846,3739,ENSG00000228192
24733,22752,ENSG00000164011
201722,108632,ENSG00000117394
67859,48310,ENSG00000227533
1046237,173756,ENSG00000117395
1278,1231,ENSG00000066056
5464,5208,ENSG00000234694
365429,104852,ENSG00000117399
137973,91254,ENSG00000066322
218630,118215,ENSG00000159479
21661,20041,ENSG00000198198
15787,14618,ENSG00000178922
36242,31420,ENSG00000142949
13085,12376,ENSG00000066135
22855,20924,ENSG00000236200
17585,16372,ENSG00000126091
15130,14141,ENSG00000237950
21287,19717,ENSG00000117408
140955,85082,ENSG00000132768
1226380,188911,ENSG00000117410
58849,46684,ENSG00000117411
13818,12976,ENSG00000159214
20063,17757,ENSG00000196517
3980,3827,ENSG00000230615
81270,62536,ENSG00000178028
223657,117546,ENSG00000117419
71355,56055,ENSG00000187147
16978,15751,ENSG00000126106
144002,79544,ENSG00000142945
21486980,207320,ENSG00000142937
13349,12167,ENSG00000173846
3771,3534,ENSG00000117425
160306,93970,ENSG00000070785
27826,25110,ENSG00000126107
1243778,195841,ENSG00000126088
2123,2022,ENSG00000162415
44860,38474,ENSG00000132781
50221,41131,ENSG00000132773
3090,3009,ENSG00000070759
8917,8275,ENSG00000236624
11433,10912,ENSG00000132763
2245736,204333,ENSG00000117450
226004,124750,ENSG00000117448
415254,153581,ENSG00000132780
1131,1114,ENSG00000159588
125612,87282,ENSG00000159592
179179,110677,ENSG00000159596
19984,18537,ENSG00000197429
24459,22355,ENSG00000086015
14637,13461,ENSG00000117461
49688,42003,ENSG00000085998
1173,1155,ENSG00000171357
40732,34557,ENSG00000085999
73042,58504,ENSG00000132128
7707878,207245,ENSG00000173660
45274,39268,ENSG00000117481
1164,1152,ENSG00000117480
2320,2231,ENSG00000225667
13498,12425,ENSG00000197587
73604,58015,ENSG00000079277
6916,6733,ENSG00000142961
102151,74909,ENSG00000123472
112678,80479,ENSG00000159658
12903,11901,ENSG00000224805
2189,2003,ENSG00000162366
82969,63217,ENSG00000162367
1347,1305,ENSG00000226252
41974,34932,ENSG00000123473
256003,134375,ENSG00000162368
17967,16585,ENSG00000237424
1394,1382,ENSG00000186564
121780,81139,ENSG00000185104
156591,99267,ENSG00000123080
69389,55458,ENSG00000123091
101063,73513,ENSG00000085832
9354,8570,ENSG00000227070
293726,141081,ENSG00000117859
404066,154859,ENSG00000078618
169740,102445,ENSG00000117862
61171,49783,ENSG00000198841
390369,161433,ENSG00000134717
16599,15564,ENSG00000157077
13844,13130,ENSG00000154222
53946,44867,ENSG00000085840
281255,137601,ENSG00000134748
113308,80693,ENSG00000134744
139856,89885,ENSG00000162377
33715,30068,ENSG00000162378
11071,10605,ENSG00000203995
287139,144071,ENSG00000116171
26457,24050,ENSG00000157184
122284,85961,ENSG00000162384
1211,1192,ENSG00000259818
444922,163681,ENSG00000162385
2054,2024,ENSG00000226754
2608,2551,ENSG00000270172
18048,16428,ENSG00000157193
63874,50899,ENSG00000058804
45790,39534,ENSG00000058799
480191,159718,ENSG00000081870
75829,59883,ENSG00000116212
381792,158986,ENSG00000116209
14629,13781,ENSG00000116205
8333,8049,ENSG00000248835
39953,34365,ENSG00000215883
596445,173278,ENSG00000116221
91290,67434,ENSG00000157216
14394,13576,ENSG00000243725
23379,21586,ENSG00000162396
103810,66754,ENSG00000116133
2471,2435,ENSG00000233203
4555,4290,ENSG00000169174
46502,39084,ENSG00000162402
37820,33459,ENSG00000162600
30949,27739,ENSG00000162601
72462,37348,ENSG00000177606
8307,7834,ENSG00000172456
3867,3799,ENSG00000226476
60268,48159,ENSG00000162599
95703,71848,ENSG00000162604
225205,118847,ENSG00000162607
12017,11420,ENSG00000116641
23980,22108,ENSG00000125703
8619,7996,ENSG00000230798
20564,19116,ENSG00000088035
165230,104580,ENSG00000142856
7028,6835,ENSG00000203965
4294,4180,ENSG00000116652
3389,3254,ENSG00000162437
121014,82530,ENSG00000162434
123283,84535,ENSG00000162433
32015,28116,ENSG00000116675
94607,68941,ENSG00000116678
288133,139819,ENSG00000213625
3382,3279,ENSG00000152763
77855,61072,ENSG00000198160
9480,9148,ENSG00000116704
1631731,198678,ENSG00000142864
290564,128424,ENSG00000116717
3507,3185,ENSG00000172380
2873,2658,ENSG00000162595
63503,42891,ENSG00000024526
23974,21971,ENSG00000066557
476030,165833,ENSG00000116754
23613,21623,ENSG00000118454
47221,39639,ENSG00000197568
23019,18498,ENSG00000116761
73249,55396,ENSG00000050628
233063,124742,ENSG00000132485
3940,3833,ENSG00000162620
17803,16699,ENSG00000254685
84899,62367,ENSG00000116791
286786,137344,ENSG00000162623
5710,5544,ENSG00000137968
157844,101505,ENSG00000117054
193313,107587,ENSG00000137955
34700,30708,ENSG00000142892
46574,39818,ENSG00000036549
48869,41829,ENSG00000077254
9592,9199,ENSG00000180488
192515,112364,ENSG00000162613
28152,24790,ENSG00000162616
8840,7468,ENSG00000273338
6166,5803,ENSG00000137941
46630,38802,ENSG00000271576
6332,6073,ENSG00000142875
2457,2347,ENSG00000203943
110715,77660,ENSG00000117133
1368272,199574,ENSG00000174021
46512,39083,ENSG00000117151
202917,114889,ENSG00000117155
25992,23459,ENSG00000097096
135534,89703,ENSG00000162642
34419,30337,ENSG00000142867
2884,2754,ENSG00000142871
34265,30134,ENSG00000117174
20022,18531,ENSG00000122417
3143,3091,ENSG00000261737
172237,104738,ENSG00000097033
289487,138675,ENSG00000183291
59800,49410,ENSG00000153936
117099,81149,ENSG00000143013
50635,42847,ENSG00000065243
61021,48699,ENSG00000137947
26773,24447,ENSG00000137944
31373,28168,ENSG00000213516
2371,1914,ENSG00000162645
2063,2004,ENSG00000162654
22230,20404,ENSG00000197147
2063,2038,ENSG00000231999
8543,8225,ENSG00000171488
23005,19804,ENSG00000272931
29666,26609,ENSG00000171492
131780,84310,ENSG00000162664
90567,67220,ENSG00000233593
76202,60311,ENSG00000122482
2012,1988,ENSG00000162669
34230,30403,ENSG00000097046
32016,27787,ENSG00000069702
3136,3077,ENSG00000189195
2648,2580,ENSG00000069712
45108,38695,ENSG00000174842
55528,45679,ENSG00000122484
45600,38825,ENSG00000067208
9405510,207254,ENSG00000122406
6487,6244,ENSG00000154511
133010,89599,ENSG00000143033
98711,72116,ENSG00000117500
37027,31875,ENSG00000122483
159806,100697,ENSG00000117505
33530,29518,ENSG00000137942
31579,27306,ENSG00000137936
117150,79674,ENSG00000067334
226463,119095,ENSG00000023909
19253,18017,ENSG00000117528
34981,29956,ENSG00000172339
146518,91393,ENSG00000152078
5554,5416,ENSG00000122481
9154,8733,ENSG00000117569
32289,27559,ENSG00000099260
13428,12823,ENSG00000156869
61424,50653,ENSG00000162688
2005,1981,ENSG00000228084
