gene_total,gene_n_nonzero,gene_at_cell_idx_total,gene_at_cell_idx_n_nonzero,gene
15,15,0,0,ENSG00000243485
0,0,0,0,ENSG00000237613
75,75,8,8,ENSG00000186092
929,928,74,74,ENSG00000238009
173,173,13,13,ENSG00000239945
0,0,0,0,ENSG00000239906
2030,2025,157,156,ENSG00000241860
3,3,0,0,ENSG00000241599
89,83,10,10,ENSG00000286448
1,1,0,0,ENSG00000236601
0,0,0,0,ENSG00000284733
0,0,0,0,ENSG00000235146
0,0,0,0,ENSG00000284662
12,12,0,0,ENSG00000229905
38189,35817,3267,3049,ENSG00000237491
134,117,6,6,ENSG00000177757
60095,55625,5078,4704,ENSG00000228794
6837,6637,572,565,ENSG00000225880
22894,22109,1908,1857,ENSG00000230368
286,284,25,24,ENSG00000272438
10694,10392,857,834,ENSG00000230699
490,490,43,43,ENSG00000241180
3285,3253,285,277,ENSG00000223764
13032,12506,1054,1026,ENSG00000187634
593273,344568,49518,28183,ENSG00000188976
31399,30198,2566,2460,ENSG00000187961
80482,72465,6799,6125,ENSG00000187583
563,562,40,40,ENSG00000187642
6558,6367,574,555,ENSG00000272512
439945,248690,37250,20492,ENSG00000188290
277709,192717,23027,15844,ENSG00000187608
24,24,3,3,ENSG00000224969
222493,170968,18413,13992,ENSG00000188157
11,11,1,1,ENSG00000242590
184,183,18,18,ENSG00000273443
71,64,11,11,ENSG00000237330
39301,37385,3321,3159,ENSG00000131591
245,244,20,20,ENSG00000285812
2,2,0,0,ENSG00000223823
1,1,0,0,ENSG00000272141
9,9,1,1,ENSG00000205231
40,40,3,3,ENSG00000162571
489,479,49,47,ENSG00000186891
425,425,46,46,ENSG00000186827
931358,423076,77798,34491,ENSG00000078808
250440,189891,20973,15720,ENSG00000176022
2746,2719,239,238,ENSG00000184163
793,788,56,54,ENSG00000260179
512820,311864,42945,25643,ENSG00000160087
694,694,54,54,ENSG00000230415
2603,2581,217,213,ENSG00000162572
108868,95918,9111,7962,ENSG00000131584
194773,155576,16154,12813,ENSG00000169972
306923,226858,25430,18623,ENSG00000127054
97,97,10,10,ENSG00000240731
131763,112693,11237,9535,ENSG00000224051
227,226,20,20,ENSG00000169962
274333,205493,22868,17051,ENSG00000107404
571379,329586,47480,27105,ENSG00000162576
2893528,553925,241739,44731,ENSG00000175756
384181,255066,31624,20742,ENSG00000221978
90383,81105,7561,6707,ENSG00000224870
1962118,525068,165177,42590,ENSG00000242485
4553,4476,376,366,ENSG00000272455
35,32,3,3,ENSG00000235098
1,1,0,0,ENSG00000225905
0,0,0,0,ENSG00000205116
0,0,0,0,ENSG00000225285
1133,1119,97,97,ENSG00000179403
851,830,64,64,ENSG00000215915
188257,149003,15498,12262,ENSG00000160072
354430,240558,29332,19785,ENSG00000197785
44934,42277,3865,3646,ENSG00000205090
1447282,492769,120313,39710,ENSG00000160075
12507,11988,1059,1016,ENSG00000215014
38525,35280,3176,2909,ENSG00000228594
