"sample","method","cutoff","accuracy","stderr","n_qc","both_or_neither","nonfatal_sampler_warnings","convergence_warnings","divergent_chain_warnings","published_accuracy","published_stderr","accuracy_delta","stderr_delta","accuracy_match_4dp","stderr_match_4dp","accuracy_within_0_001"
"mix0hr_Cropseq","cleanser cs (Table 2, 0.80)",0.8,0.941223703227879,0.00296879225951396,6227,365,200,35,37,0.9414,0.003,-0.000176296772121387,-3.12077404860389e-05,FALSE,TRUE,TRUE
"mix0hr_Cropseq","cleanser dc (Table 2, 0.50)",0.5,0.917777420908945,0.00344169912811741,6227,512,200,1,1,0.9178,0.0034,-2.25790910550749e-05,4.16991281174143e-05,TRUE,TRUE,TRUE
"mix0hr_Cropseq","sceptre mixture",NA,0.949092660992452,0.00276555854378106,6227,286,NA,NA,NA,0.9491,0.0028,-7.33900754779082e-06,-3.44414562189355e-05,TRUE,TRUE,TRUE
"mix0hr_Cropseq","cleanser cs (public-code 0.95)",0.95,0.933194154488518,0.00314848928853924,6227,416,200,35,37,NA,NA,NA,NA,NA,NA,NA
"mix0hr_Cropseq","cleanser dc (public-code 0.95)",0.95,0.847759755901718,0.00440550355521823,6227,948,200,1,1,NA,NA,NA,NA,NA,NA,NA
"mix72hr_Cropseq","cleanser cs (Table 2, 0.80)",0.8,0.940993368520774,0.00273896287824781,7389,432,200,28,30,0.941,0.0027,-6.63147922586038e-06,3.89628782478057e-05,TRUE,TRUE,TRUE
"mix72hr_Cropseq","cleanser dc (Table 2, 0.50)",0.5,0.845851942076059,0.00410459817505385,7389,1138,200,0,0,0.8459,0.0041,-4.8057923941025e-05,4.59817505385225e-06,TRUE,TRUE,TRUE
"mix72hr_Cropseq","sceptre mixture",NA,0.947218838814454,0.0025956749530646,7389,361,NA,NA,NA,0.9472,0.0026,1.88388144538587e-05,-4.32504693539905e-06,TRUE,TRUE,TRUE
"mix72hr_Cropseq","cleanser cs (public-code 0.95)",0.95,0.933143862498308,0.0029031451789071,7389,491,200,28,30,NA,NA,NA,NA,NA,NA,NA
"mix72hr_Cropseq","cleanser dc (public-code 0.95)",0.95,0.694275274056029,0.00498678964602696,7389,2259,200,0,0,NA,NA,NA,NA,NA,NA,NA
"mix0hr_DirectCapture","cleanser cs (Table 2, 0.80)",0.8,0.86123101518785,0.00394284800513043,6255,851,200,3,4,0.8612,0.0039,3.10151878497589e-05,4.28480051304341e-05,TRUE,TRUE,TRUE
"mix0hr_DirectCapture","cleanser dc (Table 2, 0.50)",0.5,0.860911270983213,0.00392712502976909,6255,851,200,0,0,0.8614,0.0039,-0.000488729016786649,2.71250297690902e-05,FALSE,TRUE,TRUE
"mix0hr_DirectCapture","sceptre mixture",NA,0.895283772981615,0.00359467472568543,6255,618,NA,NA,NA,0.8953,0.0036,-1.62270183853286e-05,-5.32527431456849e-06,TRUE,TRUE,TRUE
"mix0hr_DirectCapture","cleanser cs (public-code 0.95)",0.95,0.855635491606715,0.0039855974656744,6255,885,200,3,4,NA,NA,NA,NA,NA,NA,NA
"mix0hr_DirectCapture","cleanser dc (public-code 0.95)",0.95,0.84220623501199,0.00404007268599203,6255,966,200,0,0,NA,NA,NA,NA,NA,NA,NA
"mix72hr_DirectCapture","cleanser cs (Table 2, 0.80)",0.8,0.922124380847551,0.00275699153571514,7268,558,200,9,9,0.9221,0.0028,2.43808475508533e-05,-4.30084642848608e-05,TRUE,TRUE,TRUE
"mix72hr_DirectCapture","cleanser dc (Table 2, 0.50)",0.5,0.930792515134838,0.00265462860871647,7268,495,199,3,3,0.9308,0.0027,-7.48486516233271e-06,-4.53713912835327e-05,TRUE,TRUE,TRUE
"mix72hr_DirectCapture","sceptre mixture",NA,0.94083654375344,0.00250905126352397,7268,393,NA,NA,NA,0.9408,0.0025,3.6543753439755e-05,9.05126352397255e-06,TRUE,TRUE,TRUE
"mix72hr_DirectCapture","cleanser cs (public-code 0.95)",0.95,0.918409466153,0.00279013049958068,7268,585,200,9,9,NA,NA,NA,NA,NA,NA,NA
"mix72hr_DirectCapture","cleanser dc (public-code 0.95)",0.95,0.92294991744634,0.00274291028039215,7268,551,199,3,3,NA,NA,NA,NA,NA,NA,NA
