"dataset","cells","zero_depth","med_depth","p10","p90","max_depth"
"a549",25220,4448,2.06751181917178,1.00650082484382,6,80.6345654927225
"barnyard_lrb100_0hr",7453,117,7.53272464933106,2.0924392545821,17,53.3360120763551
"barnyard_lrb100_72hr",8793,255,6.21412539501219,2.03094339979479,14,55.0121471088182
"barnyard_mch2_0hr",8902,1979,3,1.00571301896582,8.56029105002997,80.252605731658
"barnyard_mch2_72hr",8057,1282,4.08784592065764,1.00925318169031,13.495367449855,72.8011532042874
"cd4_tcell",137716,28938,2.00010073266537,1.00001549469151,4.00111648058345,54.0215649835648
"cd8_tcell",2426,1655,1.07598307044159,1,3,13
"dctap_k562_highmoi",10932,8,115.756011843627,28.1466181639002,323.152435434179,1939.50258407492
"dctap_k562_lowmoi",5397,10,39.4569143511833,19.9362455527153,61.0196815264936,357.777629774466
"endoc_t2d",8329,226,7.05386279311037,2.02279806880569,17.1950648675667,235.03740559728
"erythroid_multiome",14525,49,10.143083658,4.10865307565693,19,83.9764824362768
"gasperini",207324,73,19.03528883588,8.01699777111914,44.1223684461094,455.407949193206
"gastric_organoid",42324,40806,1,1,1,2
"invivo_cortex",11688,236,6.04859901377952,2.15001938456147,14.1156483046414,78.0550971867636
"ipsc",322746,484,60.0532024165494,8.00239972040343,151,1551.83311731382
"mccutcheon",22100,2780,2.26604023511427,1,7.95740063654006,234
"replogle-rd7",616184,3925,17.041100608909,5.0018909133319,43.0265661998949,296.116887764213
