"dataset","cells","n_both_pos","cl_zero","pearson_log","spearman","med_ratio_cl_over_fh"
"barnyard_lrb100_0hr",7453,7336,90,0.96202506065625,0.979608643797918,0.979481370648567
"barnyard_lrb100_72hr",8793,8538,178,0.962111886261258,0.981404543234113,0.977802992107952
"barnyard_mch2_0hr",8902,6923,1669,0.931398329839512,0.913931150975374,0.981337351490236
"barnyard_mch2_72hr",8057,6775,1159,0.97818511248929,0.971176657410455,0.972948412506372
"gasperini",207324,207251,37,0.939115145946745,0.935225512781132,1.05421687774007
"replogle-rd7",616184,612259,3761,0.996584459598312,0.998319603376102,0.999435560745163
"mccutcheon",22100,19231,2391,0.928889427705034,0.916774883646632,0.985694079155069
"a549",25220,20772,3965,0.933276570267779,0.921002194759541,0.990375810963598
"cd8_tcell",2426,745,1582,0.881636383836108,0.862255077703709,1
"dctap_k562_highmoi",10932,10924,8,0.625380067673386,0.470106954224653,0.424456097807039
"dctap_k562_lowmoi",5397,5387,10,0.944586188980905,0.87031715879058,0.740996678650504
"endoc_t2d",8329,8103,207,0.993662776901507,0.994110677271829,0.987078038768548
"gastric_organoid",42324,1518,40385,1,1,1
"invivo_cortex",11688,11294,371,0.577821526181444,0.547116658649945,0.691408569568449
"ipsc",322746,322262,328,0.995443554390711,0.998697581873154,0.999380050875422
"erythroid_multiome",14525,14476,40,0.98022408159999,0.973431616999127,0.980682019252837
"cd4_tcell",137716,108778,26489,0.918656190676467,0.898843911907793,0.999961261470047
