"dataset","guides","cells","med_lib","med_depth_fishash","med_depth_fishashplus","med_depth_cleanser","spearman_fp_clns","med_ceil_fplus","p90_ceil_fplus","max_ceil_fplus","med_ceil_fish","n_fplus","n_fish","moi_fplus","moi_fish","jaccard_ff","decontam_ratio","assign_per_cell","modality","chem_conf"
"barnyard_lrb100_0hr",200,7453,63,63,7.53,8,0.979608643797918,3,4,4,7,43417,38467,5,4,0.885641911341393,8.36,5.825,"CROP-seq","high"
"barnyard_lrb100_72hr",200,8793,56,56,6.21,6,0.981404543234113,3,3,4,8,52197,44697,5,4,0.855922463990193,9.01,5.936,"CROP-seq","high"
"barnyard_mch2_0hr",200,8902,516,516,3,3,0.913931150975374,2,3,6,6,39329,34562,3,3,0.876025084418717,172,4.418,"direct capture","high"
"barnyard_mch2_72hr",200,8057,1664,1664,4.09,4,0.971176657410455,2,3,5,4,30902,28758,3,3,0.92899637868598,407.06,3.835,"direct capture","high"
"gasperini",13077,207324,564,564,19.04,22,0.935225512781132,2,2,3,4,7405792,6971335,33,31,0.941335511448337,29.63,35.721,"CROP-seq","high"
"replogle-rd7",2666,616184,1178,1178,17.04,18,0.998319603376102,2,3,7,6,944858,842834,1,1,0.891955791726241,69.13,1.533,"direct capture","high"
"mccutcheon",40,22100,8,8,2.27,2,0.916774883646632,5,18.1,30,7,19157,16909,1,1,0.880004170141785,3.53,0.867,"direct capture","high"
"a549",253,25220,399,399,2.07,3,0.921002194759541,2,3,5,24,117762,96058,3,3,0.814602021505011,192.99,4.669,"CROP-seq","high"
"cd8_tcell",44,2426,5,5,1.08,1,0.862255077703709,1,3,8,2,1119,1061,0,0,0.90893169877408,4.65,0.461,"direct capture","high"
"dctap_k562_highmoi",110,10932,1860,1860,115.76,43,0.470106954224653,17,39,122,62,116407,94739,9,8,0.812801030264005,16.07,10.648,"direct capture","high"
"dctap_k562_lowmoi",110,5397,354,354,39.46,29,0.87031715879058,4,10,23,7,6375,5944,1,1,0.932392156862745,8.97,1.181,"direct capture","high"
"endoc_t2d",225,8329,441,441,7.05,7,0.994110677271829,2,4,7,8,23782,22794,2,2,0.958455975107224,62.52,2.855,"direct capture","high"
"gastric_organoid",96,42324,63,63,1,1,1,1,1,2,1,40806,40806,1,1,1,63,0.964,"CROP-seq","high"
"invivo_cortex",17,11688,259,259,6.05,4,0.547116658649945,3,18,23,67,16302,12845,1,1,0.787940130045393,42.82,1.395,"direct capture","high"
"ipsc",6824,322746,282,282,60.05,60,0.998697581873154,2,4,11,5,1021525,778828,3,2,0.762299663368876,4.7,3.165,"direct capture","med-high"
"erythroid_multiome",63,14525,28,28,10.14,10,0.973431616999127,4,5,9,8,17911,16752,1,1,0.934535104364326,2.76,1.233,"other","med"
"cd4_tcell",27272,137716,33,33,2,2,0.898843911907793,1,1,3,1,163367,155609,1,1,0.95246402360272,16.5,1.186,"other","med"
