"dataset","guides","cells","med_ambient_ceiling","p90_ambient_ceiling","max_ambient_ceiling","rho"
"barnyard_lrb100_0hr",200,7453,3,4,4,0
"barnyard_lrb100_72hr",200,8793,3,3,4,0
"barnyard_mch2_0hr",200,8902,2,3,6,0
"barnyard_mch2_72hr",200,8057,2,3,5,0
"gasperini",13074,207324,2,2,3,0
"replogle-rd7",2666,616184,2,3,7,0
"mccutcheon",40,22100,5,18.1,30,0
"a549",253,25220,2,3,5,0
"cd8_tcell",44,2426,1,3,8,0
"dctap_k562_highmoi",97,10932,17,39,122,0
"dctap_k562_lowmoi",97,5397,4,10,23,0
"endoc_t2d",225,8329,2,4,7,0
"gastric_organoid",96,42324,1,1,2,0
"invivo_cortex",16,11688,3,18,23,0
"ipsc",6770,322746,2,4,11,0
"erythroid_multiome",63,14525,4,5,9,0
"cd4_tcell",24684,137716,1,1,3,0
