"guide","gene","n_ambient_fishash","n_ambient_fishashplus","total_pred_fishash","total_pred_fishashplus","hist_intersection","ambient_ceiling_fishash","ambient_ceiling_fishashplus"
"GATA1-TSS-1","GATA1",9761,8681,9760.99999999999,8681,0.635025151652716,293,20
"GATA1-TSS-2","GATA1",10183,7957,10183,7957.00000000001,0.381894374847994,1984,58
"e-GATA1-1","GATA1",9805,8654,9805,8653.99999999999,0.577418857950032,821,26
"e-GATA1-2","GATA1",10336,8675,10336,8675.00000000003,0.462673492290144,476,12
"HDAC6-TSS-1","HDAC6",10265,8825,10265,8825,0.535511843013372,281,15
"HDAC6-TSS-2","HDAC6",9457,8381,9456.99999999998,8381,0.580884217455996,905,39
"e-HDAC6-1","HDAC6",9489,9356,9488.99999999999,9355.99999999998,0.911336635623798,99,18
"e-HDAC6-2","HDAC6",9679,8482,9678.99999999999,8481.99999999999,0.557763527970121,671,39
"MYC-TSS-1","MYC",9032,8820,9032,8820,0.881978446458283,202,57
"MYC-TSS-2","MYC",9376,9259,9376.00000000001,9258.99999999999,0.886871160348612,93,21
"MYC-e2-1","MYC",9343,8358,9342.99999999999,8358,0.637437406255992,1246,85
"MYC-e2-2","MYC",10390,8226,10390,8226,0.382217096366967,817,34
