"guide","umi_discarded","n_cells_amb_gt2"
"safe_38",59786,6128
"MYC-e2-1",50042,5837
"nontarget_43",44667,6069
"GATA1-TSS-2",38778,5080
"HDAC6-TSS-2",31157,4691
"nontarget_24",30998,4972
"NC-3",25909,4297
"e-HDAC6-2",22146,3876
"nontarget_21",21937,3956
"MYC-TSS-1",21693,3897
"nontarget_22",21237,3933
"safe_36",20495,3879
"nontarget_26",20297,3876
"nontarget_42",19795,3807
"nontarget_39",19566,3782
"nontarget_28",18556,3661
"nontarget_41",18343,3540
"nontarget_2",16091,3210
"nontarget_18",16004,3271
"nontarget_12",15158,3094
"nontarget_46",15056,3131
"nontarget_5",14806,3086
"nontarget_23",13954,2893
"NC-1",13677,2788
"safe_24",13287,2820
"safe_47",11787,2600
"MYC-TSS-2",11517,2456
"nontarget_27",11487,2517
"MYC-e2-2",10503,2289
"safe_28",10063,2245
"e-GATA1-1",9790,2199
"nontarget_48",9452,2138
"nontarget_47",9281,2167
"nontarget_30",8949,2101
"safe_14",8302,1968
"safe_30",7767,1827
"nontarget_38",7733,1850
"nontarget_25",7704,1830
"GATA1-TSS-1",7516,1742
"nontarget_45",7509,1807
"safe_16",7503,1792
"nontarget_20",7063,1693
"safe_10",6930,1685
"nontarget_10",6859,1633
"safe_21",6826,1632
"safe_7",6127,1499
"safe_25",5947,1468
"e-HDAC6-1",5820,1425
"safe_40",5658,1415
"safe_37",5623,1411
"nontarget_6",5537,1413
"safe_32",5452,1373
"nontarget_37",5211,1298
"nontarget_29",4764,1209
"safe_39",4527,1157
"nontarget_17",4320,1124
"safe_23",4023,1058
"nontarget_8",3661,958
"safe_20",3344,880
"e-GATA1-2",3306,849
"safe_5",3243,872
"nontarget_19",3234,854
"nontarget_36",3046,821
"safe_34",3009,802
"safe_3",2989,821
"safe_9",2895,775
"HDAC6-TSS-1",2884,744
"safe_46",2874,779
"nontarget_9",2828,747
"nontarget_44",2604,704
"nontarget_11",2353,661
"nontarget_16",2341,641
"NC-2",2015,550
"safe_8",1854,518
"nontarget_3",1746,485
"NC-4",1718,470
"safe_12",1612,454
"safe_44",1610,460
"safe_33",1287,370
"safe_13",1266,360
"nontarget_7",1201,341
"nontarget_13",1158,328
"safe_42",1088,315
"nontarget_14",890,265
"safe_35",773,229
"safe_43",691,208
"nontarget_15",584,171
"safe_11",467,140
"nontarget_1",466,141
"safe_27",438,132
"nontarget_31",428,128
"safe_4",332,99
"safe_45",325,95
"safe_31",307,92
"safe_18",112,37
"safe_15",40,12
"safe_29",12,4
"safe_1",0,NA
"safe_2",0,NA
"safe_6",0,NA
"safe_17",0,NA
"safe_19",0,NA
"safe_22",0,NA
"safe_26",0,NA
"safe_41",0,NA
"nontarget_4",0,NA
"nontarget_32",0,NA
"nontarget_33",0,NA
"nontarget_34",0,NA
"nontarget_35",0,NA
