"guide","gene","set","n","lfc","pct","neglog10p"
"e-GATA1-1","GATA1","fishash",1821,-1.10271203873735,-53.4359657762951,227.211420789886
"e-GATA1-1","GATA1","fishash+",2351,-1.0578414577311,-51.9649783736461,268.327298573945
"e-GATA1-1","GATA1","lowcount-plug",4181,-0.897353736596076,-46.3129416445983,Inf
"e-GATA1-1","GATA1","lowcount-IPF",2773,-0.986955029514387,-49.5458456174905,283.986577285987
"e-GATA1-1","GATA1","lowcount-plug \ fishash+",1830,-0.71578851428481,-39.1127742183114,144.956406512821
"e-GATA1-1","GATA1","lowcount-IPF \ fishash+",422,-0.647107363090422,-36.144064275118,33.5120605846953
"e-GATA1-1","GATA1","plug & fishash+ (core)",2351,-1.0578414577311,-51.9649783736461,268.327298573945
"e-GATA1-2","GATA1","fishash",1731,-1.13606051384544,-54.4999673349134,225.706616548688
"e-GATA1-2","GATA1","fishash+",2339,-1.08228548095079,-52.7719943675305,277.550926143783
"e-GATA1-2","GATA1","lowcount-plug",3094,-1.01403187429246,-50.4839504020363,323.005185347452
"e-GATA1-2","GATA1","lowcount-IPF",2493,-1.05666546253386,-51.9258072511793,285.586349622959
"e-GATA1-2","GATA1","lowcount-plug \ fishash+",755,-0.818595804721454,-43.3006463086444,74.5598638418306
"e-GATA1-2","GATA1","lowcount-IPF \ fishash+",155,-0.696377477209363,-38.2880185389546,14.5138702831945
"e-GATA1-2","GATA1","plug & fishash+ (core)",2339,-1.08228548095079,-52.7719943675305,277.550926143783
"e-HDAC6-1","HDAC6","fishash",1388,-0.714306700539855,-39.0502039062667,70.9684565315727
"e-HDAC6-1","HDAC6","fishash+",1652,-0.61270192445354,-34.6029222639734,60.2250452800417
"e-HDAC6-1","HDAC6","lowcount-plug",2776,-0.481304041035705,-28.3670153789097,49.4118171532787
"e-HDAC6-1","HDAC6","lowcount-IPF",1908,-0.55845570487405,-32.0971376747617,54.987153435898
"e-HDAC6-1","HDAC6","lowcount-plug \ fishash+",1124,-0.305710753389845,-19.0956462376523,11.8847636977997
"e-HDAC6-1","HDAC6","lowcount-IPF \ fishash+",256,-0.24880642670345,-15.8407604811362,2.74444047763251
"e-HDAC6-1","HDAC6","plug & fishash+ (core)",1652,-0.61270192445354,-34.6029222639734,60.2250452800417
"e-HDAC6-2","HDAC6","fishash",1983,-0.667822977397933,-37.0544182046487,75.7188070702242
"e-HDAC6-2","HDAC6","fishash+",2525,-0.6083556904867,-34.405611288984,72.9602548134015
"e-HDAC6-2","HDAC6","lowcount-plug",6357,-0.346640893322586,-21.3586983182544,34.6811356609289
"e-HDAC6-2","HDAC6","lowcount-IPF",3695,-0.485771310022201,-28.5884820580394,54.3341506273738
"e-HDAC6-2","HDAC6","lowcount-plug \ fishash+",3832,-0.195418156566728,-12.6680267294591,8.78377270166503
"e-HDAC6-2","HDAC6","lowcount-IPF \ fishash+",1170,-0.251418856073013,-15.9930179727196,6.77845907875652
"e-HDAC6-2","HDAC6","plug & fishash+ (core)",2525,-0.6083556904867,-34.405611288984,72.9602548134015
"GATA1-TSS-1","GATA1","fishash",1752,-1.53618252177515,-65.5203394057028,Inf
"GATA1-TSS-1","GATA1","fishash+",2341,-1.34404514096871,-60.6085382494658,Inf
"GATA1-TSS-1","GATA1","lowcount-plug",3755,-1.05897547663606,-52.0027210828152,Inf
"GATA1-TSS-1","GATA1","lowcount-IPF",2662,-1.24419439358122,-57.785644116313,Inf
"GATA1-TSS-1","GATA1","lowcount-plug \ fishash+",1414,-0.683778831176259,-37.7467453799142,107.4819167708
"GATA1-TSS-1","GATA1","lowcount-IPF \ fishash+",321,-0.670398277657025,-37.166679751209,26.2521351913875
"GATA1-TSS-1","GATA1","plug & fishash+ (core)",2341,-1.34404514096871,-60.6085382494658,Inf
"GATA1-TSS-2","GATA1","fishash",2348,-2.39745241017311,-81.0200566710034,Inf
"GATA1-TSS-2","GATA1","fishash+",3055,-1.98672683181629,-74.7689322105298,Inf
"GATA1-TSS-2","GATA1","lowcount-plug",8407,-0.736375718265418,-39.9754627350053,Inf
"GATA1-TSS-2","GATA1","lowcount-IPF",5104,-1.11774162892928,-53.9185387379305,Inf
"GATA1-TSS-2","GATA1","lowcount-plug \ fishash+",5352,-0.323843854219924,-20.1061617525355,71.0316710747672
"GATA1-TSS-2","GATA1","lowcount-IPF \ fishash+",2049,-0.373910469104751,-22.831202447647,56.9378213563971
"GATA1-TSS-2","GATA1","plug & fishash+ (core)",3055,-1.98672683181629,-74.7689322105298,Inf
"HDAC6-TSS-1","HDAC6","fishash",1556,-0.861277898523959,-44.9535244205448,107.206361045285
"HDAC6-TSS-1","HDAC6","fishash+",2196,-0.7250426428417,-39.5020837486845,96.8438935588269
"HDAC6-TSS-1","HDAC6","lowcount-plug",2868,-0.594799684474083,-33.7863614777759,77.5055625308645
"HDAC6-TSS-1","HDAC6","lowcount-IPF",2352,-0.670767909557355,-37.1827761706929,88.4959601518916
"HDAC6-TSS-1","HDAC6","lowcount-plug \ fishash+",672,-0.234536319782073,-15.0041869372127,5.21627917109666
"HDAC6-TSS-1","HDAC6","lowcount-IPF \ fishash+",157,-0.0523178628326319,-3.56143178006827,0.16412475254466
"HDAC6-TSS-1","HDAC6","plug & fishash+ (core)",2196,-0.7250426428417,-39.5020837486845,96.8438935588269
"HDAC6-TSS-2","HDAC6","fishash",2148,-0.703869872956549,-38.6076786388933,90.1761005801239
"HDAC6-TSS-2","HDAC6","fishash+",2605,-0.637219199752611,-35.7048954203361,82.7941901610306
"HDAC6-TSS-2","HDAC6","lowcount-plug",7413,-0.332670981202152,-20.5934996481146,33.07556322009
"HDAC6-TSS-2","HDAC6","lowcount-IPF",4342,-0.433885097317729,-25.9734395285819,50.4988391765267
"HDAC6-TSS-2","HDAC6","lowcount-plug \ fishash+",4808,-0.18995862240956,-12.3369136604979,8.6511755420087
"HDAC6-TSS-2","HDAC6","lowcount-IPF \ fishash+",1737,-0.173506977254745,-11.3315339329915,5.08762798731775
"HDAC6-TSS-2","HDAC6","plug & fishash+ (core)",2605,-0.637219199752611,-35.7048954203361,82.7941901610306
"MYC-e2-1","MYC","fishash",2172,-0.847751655120634,-44.4349994560972,71.6916241353544
"MYC-e2-1","MYC","fishash+",2645,-0.797723358278406,-42.4743756542492,68.8456357331539
"MYC-e2-1","MYC","lowcount-plug",8890,-0.374361468760638,-22.8553223488307,18.9504833406098
"MYC-e2-1","MYC","lowcount-IPF",5415,-0.545498180135857,-31.4845230634945,42.9291312482755
"MYC-e2-1","MYC","lowcount-plug \ fishash+",6245,-0.22913585473748,-14.6854244127119,6.44047066925155
"MYC-e2-1","MYC","lowcount-IPF \ fishash+",2770,-0.339584491129703,-20.9731116515165,13.6296396337213
"MYC-e2-1","MYC","plug & fishash+ (core)",2645,-0.797723358278406,-42.4743756542492,68.8456357331539
"MYC-e2-2","MYC","fishash",2015,-0.952577725536436,-48.3291588588144,84.6015958214589
"MYC-e2-2","MYC","fishash+",2790,-0.904741097730961,-46.5871451267574,87.1748056106444
"MYC-e2-2","MYC","lowcount-plug",4874,-0.638833078083076,-35.7767792602304,55.3758412229441
"MYC-e2-2","MYC","lowcount-IPF",3254,-0.825624277018402,-43.5762005155837,79.4095013773156
"MYC-e2-2","MYC","lowcount-plug \ fishash+",2084,-0.345315815418015,-21.2864351454228,11.5179624644222
"MYC-e2-2","MYC","lowcount-IPF \ fishash+",464,-0.415411567421322,-25.0194438000274,7.90341892481976
"MYC-e2-2","MYC","plug & fishash+ (core)",2790,-0.904741097730961,-46.5871451267574,87.1748056106444
"MYC-TSS-1","MYC","fishash",1814,-0.804141887519484,-42.7297378472325,68.9426325704295
"MYC-TSS-1","MYC","fishash+",2173,-0.732983760214747,-39.8341714434957,64.2284939493395
"MYC-TSS-1","MYC","lowcount-plug",5971,-0.487642520294974,-28.6810444787766,36.1852504303429
"MYC-TSS-1","MYC","lowcount-IPF",3211,-0.619564700039505,-34.9132717709618,52.3315458341801
"MYC-TSS-1","MYC","lowcount-plug \ fishash+",3798,-0.3616181633803,-22.1708861182658,14.7399842049361
"MYC-TSS-1","MYC","lowcount-IPF \ fishash+",1038,-0.407527308300174,-24.6085569450661,10.9015097551562
"MYC-TSS-1","MYC","plug & fishash+ (core)",2173,-0.732983760214747,-39.8341714434957,64.2284939493395
"MYC-TSS-2","MYC","fishash",1474,-0.639110925747162,-35.7891467759971,47.1033052152977
"MYC-TSS-2","MYC","fishash+",1749,-0.613773670009815,-34.6514862349715,48.3228433224818
"MYC-TSS-2","MYC","lowcount-plug",3737,-0.541602181668771,-31.2992469373214,43.5436826659565
"MYC-TSS-2","MYC","lowcount-IPF",2313,-0.576740114441606,-32.9522936058702,47.1743772704637
"MYC-TSS-2","MYC","lowcount-plug \ fishash+",1988,-0.480812513038055,-28.3426057738581,21.7650068926861
"MYC-TSS-2","MYC","lowcount-IPF \ fishash+",564,-0.465899438024057,-27.5980448329166,11.3839204927024
"MYC-TSS-2","MYC","plug & fishash+ (core)",1749,-0.613773670009815,-34.6514862349715,48.3228433224818
