"method","guide","gene","type","n_assigned","log2fc","tstat","neglog10p"
"fishash","e-GATA1-1","GATA1","enhancer",1127,-1.06331189746858,-28.1783715251322,139.156573984848
"fishash","e-GATA1-2","GATA1","enhancer",596,-0.910659113656806,-18.7138729049689,62.8359731464968
"fishash","e-HDAC6-1","HDAC6","enhancer",1443,-0.691977904996179,-18.0759404573326,68.7440905101023
"fishash","e-HDAC6-2","HDAC6","enhancer",1253,-0.703272010777475,-17.4097150581363,63.6347021576441
"fishash","GATA1-TSS-1","GATA1","TSS",1171,-1.63496237921878,-41.2388304627667,249.79169747306
"fishash","GATA1-TSS-2","GATA1","TSS",749,-2.84946438415391,-57.4497946871197,316.26588885572
"fishash","HDAC6-TSS-1","HDAC6","TSS",667,-1.01214747878829,-20.0382823125377,75.6076911507092
"fishash","HDAC6-TSS-2","HDAC6","TSS",1475,-0.789430128200565,-20.7662657342821,89.1797438224399
"fishash","MYC-e2-1","MYC","enhancer",1589,-0.847683662510019,-16.9849032406948,61.2596885930282
"fishash","MYC-e2-2","MYC","enhancer",542,-0.937585353225207,-13.233900070388,36.0061650233799
"fishash","MYC-TSS-1","MYC","TSS",1900,-0.80650178992862,-18.1916045400424,69.9429021362824
"fishash","MYC-TSS-2","MYC","TSS",1556,-0.646534470767634,-15.0686414602085,48.8385992915241
"fishash+","e-GATA1-1","GATA1","enhancer",2278,-1.07881130240309,-38.3725008443401,267.632756060631
"fishash+","e-GATA1-2","GATA1","enhancer",2257,-1.1100562058265,-39.1867376123956,276.530576866047
"fishash+","e-HDAC6-1","HDAC6","enhancer",1576,-0.642550112000411,-17.3128099657678,63.6422191349695
"fishash+","e-HDAC6-2","HDAC6","enhancer",2450,-0.617992786711858,-18.5764408432214,73.4598436531561
"fishash+","GATA1-TSS-1","GATA1","TSS",2251,-1.39209735956121,-47.6335847793923,Inf
"fishash+","GATA1-TSS-2","GATA1","TSS",2975,-2.07559287467443,-73.8679714119514,Inf
"fishash+","HDAC6-TSS-1","HDAC6","TSS",2107,-0.748309134527871,-22.0026879766249,100.828235521268
"fishash+","HDAC6-TSS-2","HDAC6","TSS",2551,-0.65132897274322,-20.0730453542096,85.097674062765
"fishash+","MYC-e2-1","MYC","enhancer",2574,-0.823565459442186,-18.4714592820437,71.9237859711368
"fishash+","MYC-e2-2","MYC","enhancer",2706,-0.921080092769174,-20.6276688486279,88.356630585791
"fishash+","MYC-TSS-1","MYC","TSS",2112,-0.763916237487983,-17.7627339804434,66.9431471257173
"fishash+","MYC-TSS-2","MYC","TSS",1673,-0.641304345334363,-15.196309649594,49.705273253512
"CLEANSER","e-GATA1-1","GATA1","enhancer",2331,-1.08312026752924,-38.8888835996449,274.804824841786
"CLEANSER","e-GATA1-2","GATA1","enhancer",2350,-1.08696142697088,-39.2892679812624,279.872783175263
"CLEANSER","e-HDAC6-1","HDAC6","enhancer",1647,-0.631590562174491,-17.2248362921687,63.1428293000923
"CLEANSER","e-HDAC6-2","HDAC6","enhancer",2426,-0.607843853273958,-18.1848811411433,70.5439757854767
"CLEANSER","GATA1-TSS-1","GATA1","TSS",2262,-1.39938572396855,-47.9500587876784,Inf
"CLEANSER","GATA1-TSS-2","GATA1","TSS",1312,-2.87419213250216,-72.1942899169557,Inf
"CLEANSER","HDAC6-TSS-1","HDAC6","TSS",2256,-0.690640867457125,-20.9437962577599,92.0708028974114
"CLEANSER","HDAC6-TSS-2","HDAC6","TSS",2498,-0.652415220956852,-20.0672647016244,85.040047298534
"CLEANSER","MYC-e2-1","MYC","enhancer",2033,-0.882966353627964,-18.7862724634547,74.272909752211
"CLEANSER","MYC-e2-2","MYC","enhancer",2758,-0.922260332385568,-20.5925325038959,88.0290164277217
"CLEANSER","MYC-TSS-1","MYC","TSS",1554,-0.8545794933747,-18.1050973115311,69.0040144697192
"CLEANSER","MYC-TSS-2","MYC","TSS",1736,-0.653223784294518,-15.3885631066357,50.9375882687082
