"dataset","n_default","n_clns_init","intersection","union","jaccard","n_flipped","ceil_max_absdiff","ceil_mean_absdiff"
"barnyard_lrb100_0hr",43417,43492,43398,43511,0.997402955574452,113,2,0.0550000000000001
"barnyard_lrb100_72hr",52197,52226,52175,52248,0.998602817332721,73,1,0.095
"barnyard_mch2_0hr",39329,39308,39265,39372,0.997282332622168,107,3,0.08
"barnyard_mch2_72hr",30902,30897,30896,30903,0.999773484774941,7,1,0.015
"gasperini",7405792,7405710,7405609,7405893,0.999961652159976,284,1,0.000229463056447927
"replogle-rd7",944858,944813,944796,944875,0.999916391057018,79,0,0
"mccutcheon",19157,19280,19120,19317,0.989801729046954,197,0,0
"a549",117762,117762,117745,117779,0.999711323750414,34,1,0.0158102766798419
"cd8_tcell",1119,1096,1093,1122,0.974153297682709,29,1,0.0731707317073171
"dctap_k562_highmoi",116407,116641,116394,116654,0.997771186585972,260,9,0.505154639175258
"dctap_k562_lowmoi",6375,6377,6375,6377,0.999686372902619,2,0,0
"endoc_t2d",23782,23782,23782,23782,1,0,0,0
"gastric_organoid",40806,40790,40790,40806,0.999607900798902,16,1,0.0105263157894737
"invivo_cortex",16302,16390,16288,16404,0.992928554011217,116,10,0.875
"ipsc",1021525,1021632,1021427,1021730,0.999703444158437,303,1,0.000147754137115832
"erythroid_multiome",17911,17934,17911,17934,0.998717519794803,23,0,0
"cd4_tcell",163367,163367,163367,163367,1,0,0,0
