"dataset","k","method","n_ambient","n_total"
"barnyard_lrb100_0hr",1,"fishash",54198,54198
"barnyard_lrb100_0hr",2,"fishash",4179,4273
"barnyard_lrb100_0hr",3,"fishash",2004,2575
"barnyard_lrb100_0hr",4,"fishash",1193,2652
"barnyard_lrb100_0hr",5,"fishash",565,2577
"barnyard_lrb100_0hr",6,"fishash",332,2627
"barnyard_lrb100_0hr",7,"fishash",234,2624
"barnyard_lrb100_0hr",8,"fishash",127,2490
"barnyard_lrb100_0hr",9,"fishash",110,2302
"barnyard_lrb100_0hr",10,"fishash",60,2021
"barnyard_lrb100_0hr",11,"fishash",54,1912
"barnyard_lrb100_0hr",12,"fishash",28,1659
"barnyard_lrb100_0hr",13,"fishash",21,1414
"barnyard_lrb100_0hr",14,"fishash",15,1344
"barnyard_lrb100_0hr",15,"fishash",14,1154
"barnyard_lrb100_0hr",16,"fishash",11,1027
"barnyard_lrb100_0hr",17,"fishash",10,917
"barnyard_lrb100_0hr",18,"fishash",9,844
"barnyard_lrb100_0hr",19,"fishash",2,803
"barnyard_lrb100_0hr",20,"fishash",5,661
"barnyard_lrb100_0hr",21,"fishash",1,666
"barnyard_lrb100_0hr",22,"fishash",2,593
"barnyard_lrb100_0hr",23,"fishash",1,529
"barnyard_lrb100_0hr",24,"fishash",3,503
"barnyard_lrb100_0hr",25,"fishash",1,441
"barnyard_lrb100_0hr",26,"fishash",0,462
"barnyard_lrb100_0hr",27,"fishash",0,435
"barnyard_lrb100_0hr",28,"fishash",0,385
"barnyard_lrb100_0hr",29,"fishash",0,365
"barnyard_lrb100_0hr",30,"fishash",1,341
"barnyard_lrb100_0hr",31,"fishash",0,325
"barnyard_lrb100_0hr",32,"fishash",0,316
"barnyard_lrb100_0hr",33,"fishash",0,327
"barnyard_lrb100_0hr",34,"fishash",0,284
"barnyard_lrb100_0hr",35,"fishash",1,274
"barnyard_lrb100_0hr",36,"fishash",0,239
"barnyard_lrb100_0hr",37,"fishash",0,233
"barnyard_lrb100_0hr",38,"fishash",1,245
"barnyard_lrb100_0hr",39,"fishash",0,242
"barnyard_lrb100_0hr",40,"fishash",0,4370
"barnyard_lrb100_0hr",1,"fishash+",54198,54198
"barnyard_lrb100_0hr",2,"fishash+",3613,4273
"barnyard_lrb100_0hr",3,"fishash+",393,2575
"barnyard_lrb100_0hr",4,"fishash+",28,2652
"barnyard_lrb100_0hr",5,"fishash+",0,2577
"barnyard_lrb100_0hr",6,"fishash+",0,2627
"barnyard_lrb100_0hr",7,"fishash+",0,2624
"barnyard_lrb100_0hr",8,"fishash+",0,2490
"barnyard_lrb100_0hr",9,"fishash+",0,2302
"barnyard_lrb100_0hr",10,"fishash+",0,2021
"barnyard_lrb100_0hr",11,"fishash+",0,1912
"barnyard_lrb100_0hr",12,"fishash+",0,1659
"barnyard_lrb100_0hr",13,"fishash+",0,1414
"barnyard_lrb100_0hr",14,"fishash+",0,1344
"barnyard_lrb100_0hr",15,"fishash+",0,1154
"barnyard_lrb100_0hr",16,"fishash+",0,1027
"barnyard_lrb100_0hr",17,"fishash+",0,917
"barnyard_lrb100_0hr",18,"fishash+",0,844
"barnyard_lrb100_0hr",19,"fishash+",0,803
"barnyard_lrb100_0hr",20,"fishash+",0,661
"barnyard_lrb100_0hr",21,"fishash+",0,666
"barnyard_lrb100_0hr",22,"fishash+",0,593
"barnyard_lrb100_0hr",23,"fishash+",0,529
"barnyard_lrb100_0hr",24,"fishash+",0,503
"barnyard_lrb100_0hr",25,"fishash+",0,441
"barnyard_lrb100_0hr",26,"fishash+",0,462
"barnyard_lrb100_0hr",27,"fishash+",0,435
"barnyard_lrb100_0hr",28,"fishash+",0,385
"barnyard_lrb100_0hr",29,"fishash+",0,365
"barnyard_lrb100_0hr",30,"fishash+",0,341
"barnyard_lrb100_0hr",31,"fishash+",0,325
"barnyard_lrb100_0hr",32,"fishash+",0,316
"barnyard_lrb100_0hr",33,"fishash+",0,327
"barnyard_lrb100_0hr",34,"fishash+",0,284
"barnyard_lrb100_0hr",35,"fishash+",0,274
"barnyard_lrb100_0hr",36,"fishash+",0,239
"barnyard_lrb100_0hr",37,"fishash+",0,233
"barnyard_lrb100_0hr",38,"fishash+",0,245
"barnyard_lrb100_0hr",39,"fishash+",0,242
"barnyard_lrb100_0hr",40,"fishash+",0,4370
"barnyard_lrb100_72hr",1,"fishash",53051,53051
"barnyard_lrb100_72hr",2,"fishash",4244,4316
"barnyard_lrb100_72hr",3,"fishash",2690,3290
"barnyard_lrb100_72hr",4,"fishash",1901,3498
"barnyard_lrb100_72hr",5,"fishash",1112,3613
"barnyard_lrb100_72hr",6,"fishash",654,3663
"barnyard_lrb100_72hr",7,"fishash",325,3519
"barnyard_lrb100_72hr",8,"fishash",182,3319
"barnyard_lrb100_72hr",9,"fishash",82,3080
"barnyard_lrb100_72hr",10,"fishash",54,2762
"barnyard_lrb100_72hr",11,"fishash",25,2391
"barnyard_lrb100_72hr",12,"fishash",12,2179
"barnyard_lrb100_72hr",13,"fishash",7,1842
"barnyard_lrb100_72hr",14,"fishash",7,1606
"barnyard_lrb100_72hr",15,"fishash",4,1443
"barnyard_lrb100_72hr",16,"fishash",4,1204
"barnyard_lrb100_72hr",17,"fishash",1,1072
"barnyard_lrb100_72hr",18,"fishash",0,954
"barnyard_lrb100_72hr",19,"fishash",1,833
"barnyard_lrb100_72hr",20,"fishash",2,741
"barnyard_lrb100_72hr",21,"fishash",0,652
"barnyard_lrb100_72hr",22,"fishash",0,638
"barnyard_lrb100_72hr",23,"fishash",0,577
"barnyard_lrb100_72hr",24,"fishash",0,518
"barnyard_lrb100_72hr",25,"fishash",0,439
"barnyard_lrb100_72hr",26,"fishash",0,446
"barnyard_lrb100_72hr",27,"fishash",0,382
"barnyard_lrb100_72hr",28,"fishash",0,366
"barnyard_lrb100_72hr",29,"fishash",0,334
"barnyard_lrb100_72hr",30,"fishash",0,319
"barnyard_lrb100_72hr",31,"fishash",0,297
"barnyard_lrb100_72hr",32,"fishash",0,292
"barnyard_lrb100_72hr",33,"fishash",0,246
"barnyard_lrb100_72hr",34,"fishash",0,227
"barnyard_lrb100_72hr",35,"fishash",0,214
"barnyard_lrb100_72hr",36,"fishash",0,221
"barnyard_lrb100_72hr",37,"fishash",0,192
"barnyard_lrb100_72hr",38,"fishash",0,214
"barnyard_lrb100_72hr",39,"fishash",0,183
"barnyard_lrb100_72hr",40,"fishash",0,3922
"barnyard_lrb100_72hr",1,"fishash+",53051,53051
"barnyard_lrb100_72hr",2,"fishash+",3603,4316
"barnyard_lrb100_72hr",3,"fishash+",202,3290
"barnyard_lrb100_72hr",4,"fishash+",2,3498
"barnyard_lrb100_72hr",5,"fishash+",0,3613
"barnyard_lrb100_72hr",6,"fishash+",0,3663
"barnyard_lrb100_72hr",7,"fishash+",0,3519
"barnyard_lrb100_72hr",8,"fishash+",0,3319
"barnyard_lrb100_72hr",9,"fishash+",0,3080
"barnyard_lrb100_72hr",10,"fishash+",0,2762
"barnyard_lrb100_72hr",11,"fishash+",0,2391
"barnyard_lrb100_72hr",12,"fishash+",0,2179
"barnyard_lrb100_72hr",13,"fishash+",0,1842
"barnyard_lrb100_72hr",14,"fishash+",0,1606
"barnyard_lrb100_72hr",15,"fishash+",0,1443
"barnyard_lrb100_72hr",16,"fishash+",0,1204
"barnyard_lrb100_72hr",17,"fishash+",0,1072
"barnyard_lrb100_72hr",18,"fishash+",0,954
"barnyard_lrb100_72hr",19,"fishash+",0,833
"barnyard_lrb100_72hr",20,"fishash+",0,741
"barnyard_lrb100_72hr",21,"fishash+",0,652
"barnyard_lrb100_72hr",22,"fishash+",0,638
"barnyard_lrb100_72hr",23,"fishash+",0,577
"barnyard_lrb100_72hr",24,"fishash+",0,518
"barnyard_lrb100_72hr",25,"fishash+",0,439
"barnyard_lrb100_72hr",26,"fishash+",0,446
"barnyard_lrb100_72hr",27,"fishash+",0,382
"barnyard_lrb100_72hr",28,"fishash+",0,366
"barnyard_lrb100_72hr",29,"fishash+",0,334
"barnyard_lrb100_72hr",30,"fishash+",0,319
"barnyard_lrb100_72hr",31,"fishash+",0,297
"barnyard_lrb100_72hr",32,"fishash+",0,292
"barnyard_lrb100_72hr",33,"fishash+",0,246
"barnyard_lrb100_72hr",34,"fishash+",0,227
"barnyard_lrb100_72hr",35,"fishash+",0,214
"barnyard_lrb100_72hr",36,"fishash+",0,221
"barnyard_lrb100_72hr",37,"fishash+",0,192
"barnyard_lrb100_72hr",38,"fishash+",0,214
"barnyard_lrb100_72hr",39,"fishash+",0,183
"barnyard_lrb100_72hr",40,"fishash+",0,3922
"barnyard_mch2_0hr",1,"fishash",23688,23688
"barnyard_mch2_0hr",2,"fishash",1975,2569
"barnyard_mch2_0hr",3,"fishash",818,1431
"barnyard_mch2_0hr",4,"fishash",452,1025
"barnyard_mch2_0hr",5,"fishash",330,917
"barnyard_mch2_0hr",6,"fishash",244,849
"barnyard_mch2_0hr",7,"fishash",162,725
"barnyard_mch2_0hr",8,"fishash",114,670
"barnyard_mch2_0hr",9,"fishash",111,670
"barnyard_mch2_0hr",10,"fishash",94,579
"barnyard_mch2_0hr",11,"fishash",85,577
"barnyard_mch2_0hr",12,"fishash",75,518
"barnyard_mch2_0hr",13,"fishash",59,522
"barnyard_mch2_0hr",14,"fishash",53,486
"barnyard_mch2_0hr",15,"fishash",50,445
"barnyard_mch2_0hr",16,"fishash",52,421
"barnyard_mch2_0hr",17,"fishash",36,423
"barnyard_mch2_0hr",18,"fishash",30,378
"barnyard_mch2_0hr",19,"fishash",33,376
"barnyard_mch2_0hr",20,"fishash",34,329
"barnyard_mch2_0hr",21,"fishash",35,359
"barnyard_mch2_0hr",22,"fishash",34,329
"barnyard_mch2_0hr",23,"fishash",27,299
"barnyard_mch2_0hr",24,"fishash",26,294
"barnyard_mch2_0hr",25,"fishash",22,260
"barnyard_mch2_0hr",26,"fishash",30,289
"barnyard_mch2_0hr",27,"fishash",18,234
"barnyard_mch2_0hr",28,"fishash",22,252
"barnyard_mch2_0hr",29,"fishash",19,238
"barnyard_mch2_0hr",30,"fishash",13,230
"barnyard_mch2_0hr",31,"fishash",21,229
"barnyard_mch2_0hr",32,"fishash",20,254
"barnyard_mch2_0hr",33,"fishash",22,217
"barnyard_mch2_0hr",34,"fishash",19,191
"barnyard_mch2_0hr",35,"fishash",22,203
"barnyard_mch2_0hr",36,"fishash",15,181
"barnyard_mch2_0hr",37,"fishash",16,206
"barnyard_mch2_0hr",38,"fishash",13,168
"barnyard_mch2_0hr",39,"fishash",14,150
"barnyard_mch2_0hr",40,"fishash",916,22200
"barnyard_mch2_0hr",1,"fishash+",23688,23688
"barnyard_mch2_0hr",2,"fishash+",1221,2569
"barnyard_mch2_0hr",3,"fishash+",125,1431
"barnyard_mch2_0hr",4,"fishash+",14,1025
"barnyard_mch2_0hr",5,"fishash+",2,917
"barnyard_mch2_0hr",6,"fishash+",2,849
"barnyard_mch2_0hr",7,"fishash+",0,725
"barnyard_mch2_0hr",8,"fishash+",0,670
"barnyard_mch2_0hr",9,"fishash+",0,670
"barnyard_mch2_0hr",10,"fishash+",0,579
"barnyard_mch2_0hr",11,"fishash+",0,577
"barnyard_mch2_0hr",12,"fishash+",0,518
"barnyard_mch2_0hr",13,"fishash+",0,522
"barnyard_mch2_0hr",14,"fishash+",0,486
"barnyard_mch2_0hr",15,"fishash+",0,445
"barnyard_mch2_0hr",16,"fishash+",0,421
"barnyard_mch2_0hr",17,"fishash+",0,423
"barnyard_mch2_0hr",18,"fishash+",0,378
"barnyard_mch2_0hr",19,"fishash+",0,376
"barnyard_mch2_0hr",20,"fishash+",0,329
"barnyard_mch2_0hr",21,"fishash+",0,359
"barnyard_mch2_0hr",22,"fishash+",0,329
"barnyard_mch2_0hr",23,"fishash+",0,299
"barnyard_mch2_0hr",24,"fishash+",0,294
"barnyard_mch2_0hr",25,"fishash+",0,260
"barnyard_mch2_0hr",26,"fishash+",0,289
"barnyard_mch2_0hr",27,"fishash+",0,234
"barnyard_mch2_0hr",28,"fishash+",0,252
"barnyard_mch2_0hr",29,"fishash+",0,238
"barnyard_mch2_0hr",30,"fishash+",0,230
"barnyard_mch2_0hr",31,"fishash+",0,229
"barnyard_mch2_0hr",32,"fishash+",0,254
"barnyard_mch2_0hr",33,"fishash+",0,217
"barnyard_mch2_0hr",34,"fishash+",0,191
"barnyard_mch2_0hr",35,"fishash+",0,203
"barnyard_mch2_0hr",36,"fishash+",0,181
"barnyard_mch2_0hr",37,"fishash+",0,206
"barnyard_mch2_0hr",38,"fishash+",0,168
"barnyard_mch2_0hr",39,"fishash+",0,150
"barnyard_mch2_0hr",40,"fishash+",0,22200
"barnyard_mch2_72hr",1,"fishash",34021,34021
"barnyard_mch2_72hr",2,"fishash",2258,2617
"barnyard_mch2_72hr",3,"fishash",288,567
"barnyard_mch2_72hr",4,"fishash",100,319
"barnyard_mch2_72hr",5,"fishash",78,264
"barnyard_mch2_72hr",6,"fishash",49,204
"barnyard_mch2_72hr",7,"fishash",40,180
"barnyard_mch2_72hr",8,"fishash",36,155
"barnyard_mch2_72hr",9,"fishash",46,161
"barnyard_mch2_72hr",10,"fishash",32,133
"barnyard_mch2_72hr",11,"fishash",25,99
"barnyard_mch2_72hr",12,"fishash",27,143
"barnyard_mch2_72hr",13,"fishash",30,128
"barnyard_mch2_72hr",14,"fishash",24,111
"barnyard_mch2_72hr",15,"fishash",29,126
"barnyard_mch2_72hr",16,"fishash",22,101
"barnyard_mch2_72hr",17,"fishash",23,91
"barnyard_mch2_72hr",18,"fishash",12,73
"barnyard_mch2_72hr",19,"fishash",18,74
"barnyard_mch2_72hr",20,"fishash",18,82
"barnyard_mch2_72hr",21,"fishash",16,87
"barnyard_mch2_72hr",22,"fishash",18,83
"barnyard_mch2_72hr",23,"fishash",16,95
"barnyard_mch2_72hr",24,"fishash",22,96
"barnyard_mch2_72hr",25,"fishash",8,92
"barnyard_mch2_72hr",26,"fishash",10,73
"barnyard_mch2_72hr",27,"fishash",19,82
"barnyard_mch2_72hr",28,"fishash",14,82
"barnyard_mch2_72hr",29,"fishash",11,75
"barnyard_mch2_72hr",30,"fishash",10,76
"barnyard_mch2_72hr",31,"fishash",15,81
"barnyard_mch2_72hr",32,"fishash",14,72
"barnyard_mch2_72hr",33,"fishash",12,59
"barnyard_mch2_72hr",34,"fishash",4,62
"barnyard_mch2_72hr",35,"fishash",11,70
"barnyard_mch2_72hr",36,"fishash",11,78
"barnyard_mch2_72hr",37,"fishash",14,59
"barnyard_mch2_72hr",38,"fishash",4,57
"barnyard_mch2_72hr",39,"fishash",8,66
"barnyard_mch2_72hr",40,"fishash",1059,26136
"barnyard_mch2_72hr",1,"fishash+",34021,34021
"barnyard_mch2_72hr",2,"fishash+",2110,2617
"barnyard_mch2_72hr",3,"fishash+",174,567
"barnyard_mch2_72hr",4,"fishash+",21,319
"barnyard_mch2_72hr",5,"fishash+",2,264
"barnyard_mch2_72hr",6,"fishash+",0,204
"barnyard_mch2_72hr",7,"fishash+",0,180
"barnyard_mch2_72hr",8,"fishash+",0,155
"barnyard_mch2_72hr",9,"fishash+",0,161
"barnyard_mch2_72hr",10,"fishash+",0,133
"barnyard_mch2_72hr",11,"fishash+",0,99
"barnyard_mch2_72hr",12,"fishash+",0,143
"barnyard_mch2_72hr",13,"fishash+",0,128
"barnyard_mch2_72hr",14,"fishash+",0,111
"barnyard_mch2_72hr",15,"fishash+",0,126
"barnyard_mch2_72hr",16,"fishash+",0,101
"barnyard_mch2_72hr",17,"fishash+",0,91
"barnyard_mch2_72hr",18,"fishash+",0,73
"barnyard_mch2_72hr",19,"fishash+",0,74
"barnyard_mch2_72hr",20,"fishash+",0,82
"barnyard_mch2_72hr",21,"fishash+",0,87
"barnyard_mch2_72hr",22,"fishash+",0,83
"barnyard_mch2_72hr",23,"fishash+",0,95
"barnyard_mch2_72hr",24,"fishash+",0,96
"barnyard_mch2_72hr",25,"fishash+",0,92
"barnyard_mch2_72hr",26,"fishash+",0,73
"barnyard_mch2_72hr",27,"fishash+",0,82
"barnyard_mch2_72hr",28,"fishash+",0,82
"barnyard_mch2_72hr",29,"fishash+",0,75
"barnyard_mch2_72hr",30,"fishash+",0,76
"barnyard_mch2_72hr",31,"fishash+",0,81
"barnyard_mch2_72hr",32,"fishash+",0,72
"barnyard_mch2_72hr",33,"fishash+",0,59
"barnyard_mch2_72hr",34,"fishash+",0,62
"barnyard_mch2_72hr",35,"fishash+",0,70
"barnyard_mch2_72hr",36,"fishash+",0,78
"barnyard_mch2_72hr",37,"fishash+",0,59
"barnyard_mch2_72hr",38,"fishash+",0,57
"barnyard_mch2_72hr",39,"fishash+",0,66
"barnyard_mch2_72hr",40,"fishash+",0,26136
"gasperini",1,"fishash",4605796,4605796
"gasperini",2,"fishash",368061,372313
"gasperini",3,"fishash",148972,292102
"gasperini",4,"fishash",22659,289755
"gasperini",5,"fishash",2427,294294
"gasperini",6,"fishash",287,297904
"gasperini",7,"fishash",36,298342
"gasperini",8,"fishash",4,297226
"gasperini",9,"fishash",0,293418
"gasperini",10,"fishash",1,288077
"gasperini",11,"fishash",0,281334
"gasperini",12,"fishash",0,272200
"gasperini",13,"fishash",0,262922
"gasperini",14,"fishash",0,251710
"gasperini",15,"fishash",0,240413
"gasperini",16,"fishash",0,229565
"gasperini",17,"fishash",0,217577
"gasperini",18,"fishash",0,206150
"gasperini",19,"fishash",0,193752
"gasperini",20,"fishash",0,182180
"gasperini",21,"fishash",0,171329
"gasperini",22,"fishash",0,160022
"gasperini",23,"fishash",0,149119
"gasperini",24,"fishash",0,139238
"gasperini",25,"fishash",0,129758
"gasperini",26,"fishash",0,121091
"gasperini",27,"fishash",0,111175
"gasperini",28,"fishash",0,103170
"gasperini",29,"fishash",0,96165
"gasperini",30,"fishash",0,88833
"gasperini",31,"fishash",0,82277
"gasperini",32,"fishash",0,76894
"gasperini",33,"fishash",0,71009
"gasperini",34,"fishash",0,65622
"gasperini",35,"fishash",0,60744
"gasperini",36,"fishash",0,55990
"gasperini",37,"fishash",0,51450
"gasperini",38,"fishash",0,47689
"gasperini",39,"fishash",0,44292
"gasperini",40,"fishash",0,626681
"gasperini",1,"fishash+",4605796,4605796
"gasperini",2,"fishash+",107948,372313
"gasperini",3,"fishash+",42,292102
"gasperini",4,"fishash+",0,289755
"gasperini",5,"fishash+",0,294294
"gasperini",6,"fishash+",0,297904
"gasperini",7,"fishash+",0,298342
"gasperini",8,"fishash+",0,297226
"gasperini",9,"fishash+",0,293418
"gasperini",10,"fishash+",0,288077
"gasperini",11,"fishash+",0,281334
"gasperini",12,"fishash+",0,272200
"gasperini",13,"fishash+",0,262922
"gasperini",14,"fishash+",0,251710
"gasperini",15,"fishash+",0,240413
"gasperini",16,"fishash+",0,229565
"gasperini",17,"fishash+",0,217577
"gasperini",18,"fishash+",0,206150
"gasperini",19,"fishash+",0,193752
"gasperini",20,"fishash+",0,182180
"gasperini",21,"fishash+",0,171329
"gasperini",22,"fishash+",0,160022
