"dataset","fishash","fishashplus","moi_fishash","moi_fishashplus"
"barnyard_lrb100_0hr",38467,43417,4,5
"barnyard_lrb100_72hr",44697,52197,4,5
"barnyard_mch2_0hr",34562,39329,3,3
"barnyard_mch2_72hr",28758,30902,3,3
"gasperini",6971335,7405792,31,33
"replogle-rd7",842834,944858,1,1
"mccutcheon",16909,19157,1,1
"a549",96058,117762,3,3
"cd8_tcell",1061,1119,0,0
"dctap_k562_highmoi",94739,116407,8,9
"dctap_k562_lowmoi",5944,6375,1,1
"endoc_t2d",22794,23782,2,2
"gastric_organoid",40806,40806,1,1
"invivo_cortex",12845,16302,1,1
"ipsc",778828,1021525,2,3
"erythroid_multiome",16752,17911,1,1
"cd4_tcell",155609,163367,1,1
