"dataset","ceil_fishash","ceil_fishashplus"
"barnyard_lrb100_0hr",21,4
"barnyard_lrb100_0hr",7,4
"barnyard_lrb100_0hr",18,4
"barnyard_lrb100_0hr",13,3
"barnyard_lrb100_0hr",35,3
"barnyard_lrb100_0hr",17,3
"barnyard_lrb100_0hr",20,3
"barnyard_lrb100_0hr",15,3
"barnyard_lrb100_0hr",16,3
"barnyard_lrb100_0hr",12,4
"barnyard_lrb100_0hr",20,3
"barnyard_lrb100_0hr",13,3
"barnyard_lrb100_0hr",14,4
"barnyard_lrb100_0hr",10,4
"barnyard_lrb100_0hr",10,4
"barnyard_lrb100_0hr",20,3
"barnyard_lrb100_0hr",8,3
"barnyard_lrb100_0hr",30,3
"barnyard_lrb100_0hr",7,2
"barnyard_lrb100_0hr",16,3
"barnyard_lrb100_0hr",11,3
"barnyard_lrb100_0hr",18,4
"barnyard_lrb100_0hr",17,4
"barnyard_lrb100_0hr",18,3
"barnyard_lrb100_0hr",8,2
"barnyard_lrb100_0hr",6,3
"barnyard_lrb100_0hr",9,3
"barnyard_lrb100_0hr",15,3
"barnyard_lrb100_0hr",17,3
"barnyard_lrb100_0hr",24,4
"barnyard_lrb100_0hr",18,3
"barnyard_lrb100_0hr",17,3
"barnyard_lrb100_0hr",9,3
"barnyard_lrb100_0hr",11,4
"barnyard_lrb100_0hr",9,3
"barnyard_lrb100_0hr",8,3
"barnyard_lrb100_0hr",11,3
"barnyard_lrb100_0hr",8,3
"barnyard_lrb100_0hr",15,4
"barnyard_lrb100_0hr",16,3
"barnyard_lrb100_0hr",16,3
"barnyard_lrb100_0hr",19,3
"barnyard_lrb100_0hr",17,4
"barnyard_lrb100_0hr",7,3
"barnyard_lrb100_0hr",15,4
"barnyard_lrb100_0hr",9,3
"barnyard_lrb100_0hr",38,3
"barnyard_lrb100_0hr",8,3
"barnyard_lrb100_0hr",9,3
"barnyard_lrb100_0hr",18,3
"barnyard_lrb100_0hr",10,3
"barnyard_lrb100_0hr",14,3
"barnyard_lrb100_0hr",6,3
"barnyard_lrb100_0hr",14,3
"barnyard_lrb100_0hr",24,3
"barnyard_lrb100_0hr",6,3
"barnyard_lrb100_0hr",15,3
"barnyard_lrb100_0hr",25,4
"barnyard_lrb100_0hr",13,3
"barnyard_lrb100_0hr",9,3
"barnyard_lrb100_0hr",14,4
"barnyard_lrb100_0hr",11,3
"barnyard_lrb100_0hr",12,3
"barnyard_lrb100_0hr",13,3
"barnyard_lrb100_0hr",12,3
"barnyard_lrb100_0hr",7,3
"barnyard_lrb100_0hr",22,3
"barnyard_lrb100_0hr",13,3
"barnyard_lrb100_0hr",24,3
"barnyard_lrb100_0hr",16,3
"barnyard_lrb100_0hr",16,3
"barnyard_lrb100_0hr",9,4
"barnyard_lrb100_0hr",11,3
"barnyard_lrb100_0hr",11,3
"barnyard_lrb100_0hr",17,2
"barnyard_lrb100_0hr",16,4
"barnyard_lrb100_0hr",9,3
"barnyard_lrb100_0hr",13,3
"barnyard_lrb100_0hr",5,2
"barnyard_lrb100_0hr",6,3
"barnyard_lrb100_0hr",20,4
"barnyard_lrb100_0hr",19,4
"barnyard_lrb100_0hr",10,4
"barnyard_lrb100_0hr",9,3
"barnyard_lrb100_0hr",9,3
"barnyard_lrb100_0hr",10,3
"barnyard_lrb100_0hr",11,2
"barnyard_lrb100_0hr",9,3
"barnyard_lrb100_0hr",8,3
"barnyard_lrb100_0hr",16,3
"barnyard_lrb100_0hr",9,3
"barnyard_lrb100_0hr",22,4
"barnyard_lrb100_0hr",18,4
"barnyard_lrb100_0hr",11,3
"barnyard_lrb100_0hr",12,3
"barnyard_lrb100_0hr",12,3
"barnyard_lrb100_0hr",13,3
"barnyard_lrb100_0hr",16,3
"barnyard_lrb100_0hr",10,3
"barnyard_lrb100_0hr",14,3
"barnyard_lrb100_0hr",4,2
"barnyard_lrb100_0hr",4,2
"barnyard_lrb100_0hr",9,3
"barnyard_lrb100_0hr",5,2
"barnyard_lrb100_0hr",7,2
"barnyard_lrb100_0hr",6,2
"barnyard_lrb100_0hr",5,2
"barnyard_lrb100_0hr",6,2
