"dataset","guides","cells","med_lib","med_depth_fishash","med_depth_fishashplus","med_depth_cleanser","spearman_fp_clns"
"barnyard_lrb100_0hr",200,7453,63,63,7.53272464933106,8,0.979608643797918
"barnyard_lrb100_72hr",200,8793,56,56,6.21412539501219,6,0.981404543234113
"barnyard_mch2_0hr",200,8902,516,516,3,3,0.913931150975374
"barnyard_mch2_72hr",200,8057,1664,1664,4.08784592065764,4,0.971176657410455
"gasperini",13077,207324,564,564,19.03528883588,22,0.935225512781132
"replogle-rd7",2666,616184,1178,1178,17.041100608909,18,0.998319603376102
"mccutcheon",40,22100,8,8,2.26604023511427,2,0.916774883646632
"a549",253,25220,399,399,2.06751181917178,3,0.921002194759541
"cd8_tcell",44,2426,5,5,1.07598307044159,1,0.862255077703709
"dctap_k562_highmoi",110,10932,1860,1860,115.756011843627,43,0.470106954224653
"dctap_k562_lowmoi",110,5397,354,354,39.4569143511833,29,0.87031715879058
"endoc_t2d",225,8329,441,441,7.05386279311037,7,0.994110677271829
"gastric_organoid",96,42324,63,63,1,1,1
"invivo_cortex",17,11688,259,259,6.04859901377952,4,0.547116658649945
"ipsc",6824,322746,282,282,60.0532024165494,60,0.998697581873154
"erythroid_multiome",63,14525,28,28,10.143083658,10,0.973431616999127
"cd4_tcell",27272,137716,33,33,2.00010073266537,2,0.898843911907793
