"dataset","fishash","fishashplus","cleanser"
"barnyard_lrb100_0hr",52,8.13611212555211,8
"barnyard_lrb100_0hr",57,11.3569504525191,11
"barnyard_lrb100_0hr",605,9.69771506767472,9
"barnyard_lrb100_0hr",107,7.22454548880182,7
"barnyard_lrb100_0hr",8,8,8
"barnyard_lrb100_0hr",132,4.17884627224179,4
"barnyard_lrb100_0hr",87,37.8950177338141,17
"barnyard_lrb100_0hr",47,11.0963298601076,11
"barnyard_lrb100_0hr",839,32.851730536149,25
"barnyard_lrb100_0hr",101,4.24284872344838,6
"barnyard_lrb100_0hr",98,5.18548389253878,5
"barnyard_lrb100_0hr",82,4.14140544442806,6
"barnyard_lrb100_0hr",65,16.3144536053605,16
"barnyard_lrb100_0hr",2,0,2
"barnyard_lrb100_0hr",21,6.07283711397382,6
"barnyard_lrb100_0hr",52,9.69195535195001,9
"barnyard_lrb100_0hr",69,4.05482879677759,4
"barnyard_lrb100_0hr",104,12.5037013146039,12
"barnyard_lrb100_0hr",6,6,6
"barnyard_lrb100_0hr",227,11.4999020229574,11
"barnyard_lrb100_0hr",86,2.07913095441778,4
"barnyard_lrb100_0hr",8,8,8
"barnyard_lrb100_0hr",287,5.26616627818943,5
"barnyard_lrb100_0hr",296,14.1166956257706,13
"barnyard_lrb100_0hr",9,6.04076431166049,6
"barnyard_lrb100_0hr",184,3.26873939886057,3
"barnyard_lrb100_0hr",138,2.15119195603634,2
"barnyard_lrb100_0hr",32,1.01718528793086,1
"barnyard_lrb100_0hr",505,10.7762088987753,10
"barnyard_lrb100_0hr",39,12.1812714438051,12
"barnyard_lrb100_0hr",93,12.1693872704398,12
"barnyard_lrb100_0hr",55,21.1471417761306,21
"barnyard_lrb100_0hr",49,3.0622711645596,5
"barnyard_lrb100_0hr",39,2.02899563391946,2
"barnyard_lrb100_0hr",37,9.09442092674903,9
"barnyard_lrb100_0hr",184,6.45966453301432,6
"barnyard_lrb100_0hr",171,23.8034647388516,22
"barnyard_lrb100_0hr",42,42,32
"barnyard_lrb100_0hr",50,7.116834245586,7
"barnyard_lrb100_0hr",253,21.2163216034362,20
"barnyard_lrb100_0hr",16,0,2
"barnyard_lrb100_0hr",15,3.0130373249215,3
"barnyard_lrb100_0hr",62,12.1359084401364,12
"barnyard_lrb100_0hr",28,2.02822314249896,4
"barnyard_lrb100_0hr",155,12.8832399260994,12
"barnyard_lrb100_0hr",1915,24.9235841624004,22
"barnyard_lrb100_0hr",96,17.6965843074703,14
"barnyard_lrb100_0hr",110,14.2087840844945,14
"barnyard_lrb100_0hr",2,2,2
"barnyard_lrb100_0hr",5,5,5
"barnyard_lrb100_0hr",518,18.2144900106958,17
"barnyard_lrb100_0hr",359,21.8234706016738,21
"barnyard_lrb100_0hr",16,16,16
"barnyard_lrb100_0hr",5,5,5
"barnyard_lrb100_0hr",71,10.2135131244987,10
"barnyard_lrb100_0hr",110,4.07596872242456,4
"barnyard_lrb100_0hr",30,13.2850926961725,13
"barnyard_lrb100_0hr",14,0,0
"barnyard_lrb100_0hr",72,8.30912881257567,8
"barnyard_lrb100_0hr",73,16.7072845749298,10
"barnyard_lrb100_0hr",81,13.3384344500645,13
"barnyard_lrb100_0hr",9,9,9
"barnyard_lrb100_0hr",196,4.18982158607266,4
"barnyard_lrb100_0hr",50,22.3353551551728,22
"barnyard_lrb100_0hr",32,10.0845180438268,10
"barnyard_lrb100_0hr",128,4.35325917193808,4
"barnyard_lrb100_0hr",465,6.04072975639042,5
"barnyard_lrb100_0hr",119,13.3777394046945,13
"barnyard_lrb100_0hr",53,6.12104126039401,6
"barnyard_lrb100_0hr",35,9.14156963773804,9
"barnyard_lrb100_0hr",972,12.457619056155,10
"barnyard_lrb100_0hr",16,16,16
"barnyard_lrb100_0hr",26,9.05541398529151,9
"barnyard_lrb100_0hr",12,6.01025854611364,6
"barnyard_lrb100_0hr",41,8.07853299820541,8
"barnyard_lrb100_0hr",49,3.08021638972029,3
"barnyard_lrb100_0hr",49,3.10391158376913,9
"barnyard_lrb100_0hr",24,14.0365875878976,14
"barnyard_lrb100_0hr",188,4.16267563869406,4
"barnyard_lrb100_0hr",49,7.17275812085275,7
"barnyard_lrb100_0hr",6,6,6
"barnyard_lrb100_0hr",1,1,1
"barnyard_lrb100_0hr",209,18.6022232026489,18
"barnyard_lrb100_0hr",46,0,0
"barnyard_lrb100_0hr",30,11.1205443966596,11
"barnyard_lrb100_0hr",69,21.5014939304791,21
"barnyard_lrb100_0hr",37,8.09971377672149,8
"barnyard_lrb100_0hr",77,8.35844908462444,8
"barnyard_lrb100_0hr",49,2.03830186681975,2
"barnyard_lrb100_0hr",53,5.07051529065443,5
"barnyard_lrb100_0hr",383,14.5024960477957,14
"barnyard_lrb100_0hr",241,7.40341169465769,7
"barnyard_lrb100_0hr",45,9.08673090897141,9
"barnyard_lrb100_0hr",9,2.00386314450643,2
"barnyard_lrb100_0hr",16,16,13
"barnyard_lrb100_0hr",56,3.1359022877296,3
"barnyard_lrb100_0hr",332,26.6324620473631,25
"barnyard_lrb100_0hr",17,4.02141901419274,6
"barnyard_lrb100_0hr",7,7,7
"barnyard_lrb100_0hr",47,4.09153346553382,4
"barnyard_lrb100_0hr",80,10.1784042733302,10
"barnyard_lrb100_0hr",7,0,2
"barnyard_lrb100_0hr",116,13.4693561358138,13
"barnyard_lrb100_0hr",10,3.013404637821,3
"barnyard_lrb100_0hr",18,9.02381555275847,9
"barnyard_lrb100_0hr",430,9.90338854051311,9
"barnyard_lrb100_0hr",96,7.22174972880038,7
"barnyard_lrb100_0hr",88,3.18513752058583,3
"barnyard_lrb100_0hr",167,10.608008160707,10
"barnyard_lrb100_0hr",29,6.04204571104655,6
"barnyard_lrb100_0hr",24,7.02131258545253,7
"barnyard_lrb100_0hr",20,11.0307577310806,11
"barnyard_lrb100_0hr",2,2,2
"barnyard_lrb100_0hr",217,6.47933999577094,6
"barnyard_lrb100_0hr",435,22.7564439235501,20
"barnyard_lrb100_0hr",36,11.3981074828402,11
"barnyard_lrb100_0hr",20,11.0502829533923,11
"barnyard_lrb100_0hr",43,3.09186263824237,3
"barnyard_lrb100_0hr",69,15.3732745807195,12
"barnyard_lrb100_0hr",18,10.0407287112875,10
"barnyard_lrb100_0hr",26,2.01682090551306,2
"barnyard_lrb100_0hr",5,1.01197896907132,5
"barnyard_lrb100_0hr",52,9.20484433414195,9
"barnyard_lrb100_0hr",187,11.4443215214159,11
"barnyard_lrb100_0hr",98,10.4605482423192,10
"barnyard_lrb100_0hr",44,11.0675408896724,11
"barnyard_lrb100_0hr",169,5.18495864461822,5
"barnyard_lrb100_0hr",121,22.4482634372018,22
"barnyard_lrb100_0hr",15,1.00897147296137,1
"barnyard_lrb100_0hr",92,17.3041015290882,17
"barnyard_lrb100_0hr",44,2.03690205708304,2
"barnyard_lrb100_0hr",34,10.2870880292282,10
"barnyard_lrb100_0hr",97,4.19128066546175,4
"barnyard_lrb100_0hr",153,1.04956836841397,1
"barnyard_lrb100_0hr",43,1.02352078773162,1
"barnyard_lrb100_0hr",23,2.02092940498045,4
"barnyard_lrb100_0hr",155,23.832703139632,23
"barnyard_lrb100_0hr",439,20.7512487529974,19
"barnyard_lrb100_0hr",97,0,2
"barnyard_lrb100_0hr",4,4,4
"barnyard_lrb100_0hr",4,4,4
"barnyard_lrb100_0hr",42,9.07216155152839,9
"barnyard_lrb100_0hr",88,9.4046726532255,9
"barnyard_lrb100_0hr",5,5,5
"barnyard_lrb100_0hr",6,1.00272919897354,1
"barnyard_lrb100_0hr",22,4.04855982558836,6
"barnyard_lrb100_0hr",20,11.1717595237596,11
"barnyard_lrb100_0hr",23,15.0630031425288,15
"barnyard_lrb100_0hr",86,13.1429022176716,13
