"dataset","pair","jaccard","n_fishash","n_fishashplus","n_intersect","n_union"
"barnyard_lrb100_0hr","fishash|fishash+",0.885641911341393,38467,43417,38459,43425
"barnyard_lrb100_72hr","fishash|fishash+",0.855922463990193,44697,52197,44686,52208
"barnyard_mch2_0hr","fishash|fishash+",0.876025084418717,34562,39329,34504,39387
"barnyard_mch2_72hr","fishash|fishash+",0.92899637868598,28758,30902,28732,30928
"gasperini","fishash|fishash+",0.941335511448337,6971335,7405792,6971335,7405792
"replogle-rd7","fishash|fishash+",0.891955791726241,842834,944858,842801,944891
"mccutcheon","fishash|fishash+",0.880004170141785,16909,19157,16882,19184
"a549","fishash|fishash+",0.814602021505011,96058,117762,95987,117833
"cd8_tcell","fishash|fishash+",0.90893169877408,1061,1119,1038,1142
"dctap_k562_highmoi","fishash|fishash+",0.812801030264005,94739,116407,94671,116475
"dctap_k562_lowmoi","fishash|fishash+",0.932392156862745,5944,6375,5944,6375
"endoc_t2d","fishash|fishash+",0.958455975107224,22794,23782,22794,23782
"gastric_organoid","fishash|fishash+",1,40806,40806,40806,40806
"invivo_cortex","fishash|fishash+",0.787940130045393,12845,16302,12845,16302
"ipsc","fishash|fishash+",0.762299663368876,778828,1021525,778760,1021593
"erythroid_multiome","fishash|fishash+",0.934535104364326,16752,17911,16745,17918
"cd4_tcell","fishash|fishash+",0.95246402360272,155609,163367,155605,163371
