# Barnyard ground-truth per-cell species-assignment accuracy (Liu et al. 2025, Table 2).
# Samples: mix0hr/mix72hr x Cropseq(CROP-seq)/DirectCapture(direct-capture).
# accuracy = per QC cell correct iff assigned guides are a single species matching GEX call (cells assigned both/neither -> NA, kept in denominator).
# se = binomial sqrt(acc*(1-acc)/n).
# source column: 'our recomputation' = fishash & fishash+ recomputed exactly by scripts/barnyard_benchmark_fishashplus.R (fishash reproduces the paper's row);
#                all other rows TRANSCRIBED VERBATIM from Liu et al. 2025 Table 2 (cleanser/crispat/demuxem/geomux/sceptre_mixture pipelines not re-run here).
"method","sample","chemistry","accuracy","se","n","source"
"cleanser_cs","mix0hr_Cropseq","CROP-seq",0.9414,0.003,6227,"Liu et al. 2025 Table 2 (transcribed)"
"cleanser_cs","mix72hr_Cropseq","CROP-seq",0.941,0.0027,7389,"Liu et al. 2025 Table 2 (transcribed)"
"cleanser_cs","mix0hr_DirectCapture","direct-capture",0.8612,0.0039,6255,"Liu et al. 2025 Table 2 (transcribed)"
"cleanser_cs","mix72hr_DirectCapture","direct-capture",0.9221,0.0028,7268,"Liu et al. 2025 Table 2 (transcribed)"
"cleanser_dc","mix0hr_Cropseq","CROP-seq",0.9178,0.0034,6227,"Liu et al. 2025 Table 2 (transcribed)"
"cleanser_dc","mix72hr_Cropseq","CROP-seq",0.8459,0.0041,7389,"Liu et al. 2025 Table 2 (transcribed)"
"cleanser_dc","mix0hr_DirectCapture","direct-capture",0.8614,0.0039,6255,"Liu et al. 2025 Table 2 (transcribed)"
"cleanser_dc","mix72hr_DirectCapture","direct-capture",0.9308,0.0027,7268,"Liu et al. 2025 Table 2 (transcribed)"
"crispat_gauss","mix0hr_Cropseq","CROP-seq",0.9367,0.0031,6227,"Liu et al. 2025 Table 2 (transcribed)"
"crispat_gauss","mix72hr_Cropseq","CROP-seq",0.9346,0.0029,7389,"Liu et al. 2025 Table 2 (transcribed)"
"crispat_gauss","mix0hr_DirectCapture","direct-capture",0.82,0.0041,6255,"Liu et al. 2025 Table 2 (transcribed)"
"crispat_gauss","mix72hr_DirectCapture","direct-capture",0.8945,0.003,7268,"Liu et al. 2025 Table 2 (transcribed)"
"crispat_negbinom","mix0hr_Cropseq","CROP-seq",0.4556,7e-04,6227,"Liu et al. 2025 Table 2 (transcribed)"
"crispat_negbinom","mix72hr_Cropseq","CROP-seq",0.4815,0.004,7389,"Liu et al. 2025 Table 2 (transcribed)"
"crispat_negbinom","mix0hr_DirectCapture","direct-capture",0.8865,0.0037,6255,"Liu et al. 2025 Table 2 (transcribed)"
"crispat_negbinom","mix72hr_DirectCapture","direct-capture",0.9381,0.0025,7268,"Liu et al. 2025 Table 2 (transcribed)"
"crispat_poisgauss","mix0hr_Cropseq","CROP-seq",0.9501,0.0028,6227,"Liu et al. 2025 Table 2 (transcribed)"
"crispat_poisgauss","mix72hr_Cropseq","CROP-seq",0.9502,0.0025,7389,"Liu et al. 2025 Table 2 (transcribed)"
"crispat_poisgauss","mix0hr_DirectCapture","direct-capture",0.8739,0.0039,6255,"Liu et al. 2025 Table 2 (transcribed)"
"crispat_poisgauss","mix72hr_DirectCapture","direct-capture",0.9331,0.0026,7268,"Liu et al. 2025 Table 2 (transcribed)"
"crispat_poisson","mix0hr_Cropseq","CROP-seq",0.9086,0.0036,6227,"Liu et al. 2025 Table 2 (transcribed)"
"crispat_poisson","mix72hr_Cropseq","CROP-seq",0.9169,0.0032,7389,"Liu et al. 2025 Table 2 (transcribed)"
"crispat_poisson","mix0hr_DirectCapture","direct-capture",0.8763,0.0041,6255,"Liu et al. 2025 Table 2 (transcribed)"
"crispat_poisson","mix72hr_DirectCapture","direct-capture",0.8956,0.0035,7268,"Liu et al. 2025 Table 2 (transcribed)"
"demuxem","mix0hr_Cropseq","CROP-seq",0.9364,0.0031,6227,"Liu et al. 2025 Table 2 (transcribed)"
"demuxem","mix72hr_Cropseq","CROP-seq",0.9364,0.0028,7389,"Liu et al. 2025 Table 2 (transcribed)"
"demuxem","mix0hr_DirectCapture","direct-capture",0.8975,0.0036,6255,"Liu et al. 2025 Table 2 (transcribed)"
"demuxem","mix72hr_DirectCapture","direct-capture",0.9408,0.0025,7268,"Liu et al. 2025 Table 2 (transcribed)"
"fishash","mix0hr_Cropseq","CROP-seq",0.9563,0.0026,6227,"our recomputation"
"fishash","mix72hr_Cropseq","CROP-seq",0.9533,0.0025,7389,"our recomputation"
"fishash","mix0hr_DirectCapture","direct-capture",0.91,0.0036,6255,"our recomputation"
"fishash","mix72hr_DirectCapture","direct-capture",0.9491,0.0026,7268,"our recomputation"
"geomux","mix0hr_Cropseq","CROP-seq",0.9578,0.0025,6227,"Liu et al. 2025 Table 2 (transcribed)"
"geomux","mix72hr_Cropseq","CROP-seq",0.9555,0.0024,7389,"Liu et al. 2025 Table 2 (transcribed)"
"geomux","mix0hr_DirectCapture","direct-capture",0.7471,0.0044,6255,"Liu et al. 2025 Table 2 (transcribed)"
"geomux","mix72hr_DirectCapture","direct-capture",0.5252,0.0056,7268,"Liu et al. 2025 Table 2 (transcribed)"
"sceptre_mixture","mix0hr_Cropseq","CROP-seq",0.9491,0.0028,6227,"Liu et al. 2025 Table 2 (transcribed)"
"sceptre_mixture","mix72hr_Cropseq","CROP-seq",0.9472,0.0026,7389,"Liu et al. 2025 Table 2 (transcribed)"
"sceptre_mixture","mix0hr_DirectCapture","direct-capture",0.8953,0.0036,6255,"Liu et al. 2025 Table 2 (transcribed)"
"sceptre_mixture","mix72hr_DirectCapture","direct-capture",0.9408,0.0025,7268,"Liu et al. 2025 Table 2 (transcribed)"
"fishash+","mix0hr_Cropseq","CROP-seq",0.9501,0.0028,6227,"our recomputation"
"fishash+","mix72hr_Cropseq","CROP-seq",0.9479,0.0026,7389,"our recomputation"
"fishash+","mix0hr_DirectCapture","direct-capture",0.9033,0.0037,6255,"our recomputation"
"fishash+","mix72hr_DirectCapture","direct-capture",0.9459,0.0027,7268,"our recomputation"
