"dataset","guide","gap_lo","gap_hi","n_amb","obs_region","exp_region_den","oe_region","p","p_adj","suffers"
"endoc_t2d","WFS1-3",8,25,135,10,2.665,3.753,0.00045372212575137,0.0108753992829112,TRUE
"endoc_t2d","ZZEF1-4",2,12,147,10,2.799,3.572,0.000659115108055221,0.0108753992829112,TRUE
"endoc_t2d","KLHL42-2",3,14,174,10,4.042,2.474,0.00870383954499967,0.0598875198756966,FALSE
"endoc_t2d","KCNJ11-2",4,25,74,4,0.803,4.978,0.00921317730708748,0.0598875198756966,FALSE
"endoc_t2d","THADA-1",2,6,396,29,17.892,1.621,0.00956158649657725,0.0598875198756966,FALSE
"endoc_t2d","PTPRT-1",2,7,469,37,24.48,1.511,0.0108886399773994,0.0598875198756966,FALSE
"endoc_t2d","ARAP1-4",3,14,248,14,7.787,1.798,0.0282755042185575,0.133298805601771,FALSE
"endoc_t2d","Non-Targeting-8",2,6,142,6,2.486,2.413,0.0411141647849758,0.169595929738025,FALSE
"endoc_t2d","Non-Targeting-5",2,9,110,4,1.501,2.665,0.0657617177643753,0.221819256958237,FALSE
"endoc_t2d","ZHX3-2",4,19,266,14,8.864,1.579,0.0672179566540111,0.221819256958237,FALSE
"endoc_t2d","ZZEF1-2",3,10,212,9,5.629,1.599,0.116880359259782,0.348196821236638,FALSE
"endoc_t2d","PNPLA3-2",3,11,181,7,4.148,1.688,0.126617025904232,0.348196821236638,FALSE
"endoc_t2d","KCNK16-1",7,22,368,24,18.789,1.277,0.139469134938882,0.354037034844855,FALSE
"endoc_t2d","SLC30A8-2",2,6,184,6,4.032,1.488,0.219904117813236,0.491509694869498,FALSE
"endoc_t2d","PELO-2",3,10,535,38,33.193,1.145,0.223413497667954,0.491509694869498,FALSE
"endoc_t2d","TPCN2-3",3,30,305,14,11.245,1.245,0.241893066629768,0.498904449923897,FALSE
"endoc_t2d","C17orf58-2",2,6,200,6,4.677,1.283,0.327496299345416,0.601734009012286,FALSE
"endoc_t2d","MINDY1-1",2,7,202,6,4.766,1.259,0.343134155470867,0.601734009012286,FALSE
"endoc_t2d","G6PC2-2",2,9,60,1,0.443,2.255,0.358153365472486,0.601734009012286,FALSE
"endoc_t2d","ARAP1-2",2,6,242,8,6.754,1.184,0.364687278189265,0.601734009012286,FALSE
"endoc_t2d","COBLL1-1",4,18,133,3,2.237,1.341,0.387187617532851,0.606753467447455,FALSE
"endoc_t2d","GCKR-1",2,6,65,1,0.518,1.929,0.404502311631637,0.606753467447455,FALSE
"endoc_t2d","C17orf58-3",3,14,363,16,15.667,1.021,0.499946426971523,0.679809801420654,FALSE
"endoc_t2d","Non-Targeting-14",3,9,389,18,17.725,1.016,0.505386056310632,0.679809801420654,FALSE
"endoc_t2d","KIF9-3",7,24,308,12,11.797,1.017,0.515007425318677,0.679809801420654,FALSE
"endoc_t2d","ASCC2-3",2,6,88,1,0.927,1.078,0.604405030218708,0.767129461431437,FALSE
"endoc_t2d","PPARG-4",4,47,343,13,13.892,0.936,0.630872129855145,0.771065936489622,FALSE
"endoc_t2d","ANKRD36C-1",6,23,271,8,9.097,0.879,0.687317251989548,0.81005247555911,FALSE
"endoc_t2d","Non-Targeting-15",2,13,112,1,1.477,0.677,0.771706983613941,0.878149326181382,FALSE
"endoc_t2d","GP2-1",2,6,276,6,8.418,0.713,0.844150518884923,0.922625922580552,FALSE
"endoc_t2d","SFI1-2",2,8,281,6,8.727,0.688,0.866709199999913,0.922625922580552,FALSE
"endoc_t2d","ZHX3-3",2,7,246,4,6.766,0.591,0.905188367202302,0.933475503677374,FALSE
"endoc_t2d","HNF4A-3",2,6,284,5,8.829,0.566,0.938986980039441,0.938986980039441,FALSE
"endoc_t2d","PELO-6",1,4,84,0,0,NA,NA,NA,FALSE
"replogle_rd7","9175_TOP2A_P1P2_ENSG00000131747",37,360,2240,328,10.884,30.136,0,0,TRUE
"replogle_rd7","5196_MRPL13_P1P2_ENSG00000172172",29,126,2765,261,14.59,17.888,3.23524656449869e-222,4.4484640261857e-220,TRUE
"replogle_rd7","4716_LUC7L3_P1P2_ENSG00000108848",10,32,2198,216,8.35,25.868,2.98478217145966e-217,2.73605032383802e-215,TRUE
"replogle_rd7","1129_SPOUT1_P1P2_ENSG00000198917",11,104,2229,198,8.182,24.201,8.12568919688115e-194,5.58641132285579e-192,TRUE
"replogle_rd7","2212_DHX36_P1P2_ENSG00000174953",29,107,4707,308,34.511,8.925,2.50245711039065e-176,1.37635141071486e-174,TRUE
"replogle_rd7","9687_UTP6_P1P2_ENSG00000108651",35,121,2475,204,11.35,17.973,1.56887062143005e-174,7.19065701488774e-173,TRUE
"replogle_rd7","6605_PPAN_P1P2_ENSG00000130810",22,78,2820,205,13.929,14.717,1.12763900360649e-158,4.43001037131121e-157,TRUE
"replogle_rd7","1614_CINP_P1P2_ENSG00000100865",10,33,3247,209,16.387,12.754,1.11611089505293e-149,3.83663120174443e-148,TRUE
"replogle_rd7","5861_NUDC_P1P2_ENSG00000090273",22,71,4969,287,38.4,7.474,4.90046218844114e-145,1.49736344646813e-143,TRUE
"replogle_rd7","3768_HIST1H2BL_P1P2_ENSG00000185130",15,46,7507,404,85.431,4.729,1.40448778430416e-136,3.86234140683644e-135,TRUE
"replogle_rd7","8154_SMARCE1_P1P2_ENSG00000073584",21,66,5049,285,40.942,6.961,1.86949090389657e-136,4.67372725974144e-135,TRUE
"replogle_rd7","893_BRD8_P1P2_ENSG00000112983",5,20,1979,133,5.922,22.458,1.03801710623028e-126,2.37878920177771e-125,TRUE
"replogle_rd7","8894_THRAP3_P1P2_ENSG00000054118",18,56,8997,462,120.91,3.821,3.68172601967864e-123,7.78826658008943e-122,TRUE
"replogle_rd7","8725_TBCB_P1P2_ENSG00000105254",5,20,2046,133,6.364,20.9,9.5247003948109e-123,1.87092329183786e-121,TRUE
"replogle_rd7","3751_HIST1H2AE_P1P2_ENSG00000277075",16,48,7430,353,79.984,4.413,2.52828695484099e-111,4.63519275054181e-110,TRUE
"replogle_rd7","3787_HIST2H2AC_P1P2_ENSG00000184260",20,85,3060,160,14.174,11.288,2.82014013038175e-107,4.84711584909363e-106,TRUE
"replogle_rd7","9676_USP8_P1P2_ENSG00000138592",19,76,5648,259,46.706,5.545,1.00059960497137e-102,1.61861700804192e-101,TRUE
"replogle_rd7","7505_RPS16_P1P2_ENSG00000105193",6,200,991,76,1.542,49.272,2.3331092210475e-98,3.5644724210448e-97,TRUE
"replogle_rd7","7754_SEC62_P1P2_ENSG00000008952",13,55,2244,119,7.687,15.48,2.24734919727092e-95,3.25274225920791e-94,TRUE
"replogle_rd7","5368_MYB_P1P2_ENSG00000118513",15,56,4919,216,34.601,6.243,3.09401132822188e-95,4.25426557630509e-94,TRUE
"replogle_rd7","7495_RPRD1B_P1P2_ENSG00000101413",18,70,3215,152,15.608,9.739,3.45267901509301e-93,4.52136537690752e-92,TRUE
"replogle_rd7","968_C12orf60_P1P2_ENSG00000182993",10,40,4366,191,27.558,6.931,8.29043784777998e-92,1.0363047309725e-90,TRUE
"replogle_rd7","4384_KIF20A_P1P2_ENSG00000112984",16,191,1343,88,3.243,27.135,2.00940228097509e-91,2.40254620551369e-90,TRUE
