"method","moi","mu","th","jaccard","precision","recall"
"fishash","highMOI",5,"th015",0.24738468938475,0.768415255338326,0.267148635320794
"fishash","highMOI",5,"th05",0.173381054994019,0.827678910722159,0.180111785615233
"fishash","highMOI",5,"th15",0.0980619980611944,0.791635362894373,0.100639582772201
"fishash","highMOI",15,"th015",0.398045248694386,0.856345377298803,0.426470176410321
"fishash","highMOI",15,"th05",0.411645555649356,0.934490324506297,0.423648092224218
"fishash","highMOI",15,"th15",0.420161446436837,0.949486105744771,0.429834434239348
"fishash","highMOI",50,"th015",0.547702136635627,0.912067406857051,0.578559458957519
"fishash","highMOI",50,"th05",0.655933668417849,0.952537600864077,0.677838068319076
"fishash","highMOI",50,"th15",0.813560726242133,0.961631498311911,0.840927647685089
"fishash","highMOI",150,"th015",0.63398865070734,0.924331596461856,0.668634242751147
"fishash","highMOI",150,"th05",0.783674638403197,0.947122738777404,0.819713897395092
"fishash","highMOI",150,"th15",0.926110512199075,0.956845138296699,0.966531070557632
"fishash","highMOI",500,"th015",0.710002107279423,0.933413266649038,0.74823945104825
"fishash","highMOI",500,"th05",0.867915297650626,0.962563467421278,0.898232172305868
"fishash","highMOI",500,"th15",0.95083871177579,0.957385579504999,0.992833353919414
"fishash","lowMOI",5,"th015",0.251116355914337,0.7659589550591,0.272653854940396
"fishash","lowMOI",5,"th05",0.171432321542605,0.810392180898042,0.178577245596194
"fishash","lowMOI",5,"th15",0.101452577206688,0.784443072928124,0.104251646637577
"fishash","lowMOI",15,"th015",0.396497864721545,0.862494398681813,0.423220086767194
"fishash","lowMOI",15,"th05",0.404512696682586,0.928816220008776,0.417703382586177
"fishash","lowMOI",15,"th15",0.428667615736733,0.950420985267989,0.438612472463451
"fishash","lowMOI",50,"th015",0.544242305431513,0.900026534108618,0.57934193297483
"fishash","lowMOI",50,"th05",0.638162548199519,0.94625554647283,0.662094374234208
"fishash","lowMOI",50,"th15",0.788830016767567,0.959360988110848,0.816183501701848
"fishash","lowMOI",150,"th015",0.628684478261678,0.92205124689161,0.664130696002067
"fishash","lowMOI",150,"th05",0.779292636146596,0.953035261079601,0.810529941529553
"fishash","lowMOI",150,"th15",0.917654439376344,0.958347150466364,0.955812091514212
"fishash","lowMOI",500,"th015",0.705464969235595,0.936156993333111,0.741317434763877
"fishash","lowMOI",500,"th05",0.864112677818435,0.957072250977586,0.899199262607166
"fishash","lowMOI",500,"th15",0.951668596734433,0.960322040818926,0.990563068300522
"geomux","highMOI",5,"th015",0.256563208554032,0.720264723494948,0.284857092732405
"geomux","highMOI",5,"th05",0.199743343451186,0.762426480875437,0.213060637562342
"geomux","highMOI",5,"th15",0.156926249700768,0.757112415974271,0.165144372531183
"geomux","highMOI",15,"th015",0.385501966617779,0.869019169258715,0.408925834665457
"geomux","highMOI",15,"th05",0.411737149860369,0.925348659421164,0.425809674642054
"geomux","highMOI",15,"th15",0.450549121813746,0.941421827983223,0.463560655731914
"geomux","highMOI",50,"th015",0.510269053673398,0.97091717548339,0.518236127335474
"geomux","highMOI",50,"th05",0.601764460719863,0.982902772027254,0.608055765996891
"geomux","highMOI",50,"th15",0.753753473085526,0.98687947375708,0.761350278704595
"geomux","highMOI",150,"th015",0.567480963237672,0.99404400351643,0.56940040777947
"geomux","highMOI",150,"th05",0.709758699493591,0.995618781553106,0.711924795648625
