"moi","mu","th","sep_gap","otsu","valley","ambient"
"highMOI",15,"th05",2.504,0.514,0.357,0.521
"highMOI",15,"th15",2.402,0.613,0.355,0.62
"highMOI",50,"th05",2.566,0.654,0.495,0.658
"highMOI",50,"th15",3.447,0.771,0.745,0.767
"highMOI",150,"th05",3.77,0.787,0.586,0.783
"highMOI",150,"th15",4.698,0.918,0.874,0.898
"highMOI",500,"th05",5.346,0.868,0.68,0.862
"highMOI",500,"th15",5.989,0.98,0.975,0.978
"lowMOI",15,"th05",2.413,0.515,0.344,0.52
"lowMOI",15,"th15",2.392,0.605,0.38,0.615
"lowMOI",50,"th05",2.414,0.646,0.482,0.654
"lowMOI",50,"th15",3.133,0.756,0.638,0.76
"lowMOI",150,"th05",3.336,0.775,0.48,0.78
"lowMOI",150,"th15",4.772,0.902,0.825,0.898
"lowMOI",500,"th05",5.17,0.861,0.649,0.859
"lowMOI",500,"th15",5.925,0.974,0.846,0.975
