"regime","moi","n_guides","guides_per_cell","rep","corr","e2e_fdp","e2e_recall","e2e_nassign","iso_fdp","iso_recall","iso_nassign"
"G20_moi0.3",0.3,20,1.02,1,"BH",0.0360902255639098,0.946824224519941,1995,0.0336852689793866,0.946331856228459,1989
"G20_moi0.3",0.3,20,1.02,1,"GS",0.015511892450879,0.937469226981782,1934,0.015511892450879,0.937469226981782,1934
"G20_moi0.3",0.3,20,1.02,1,"BY",0.00212314225053079,0.925652387986214,1884,0.00317628374801482,0.92712949286066,1889
"G20_moi0.3",0.3,20,1.02,2,"BH",0.033033033033033,0.949852507374631,1998,0.0315789473684211,0.949852507374631,1995
"G20_moi0.3",0.3,20,1.02,2,"GS",0.0123711340206186,0.941986234021632,1940,0.0123711340206186,0.941986234021632,1940
"G20_moi0.3",0.3,20,1.02,2,"BY",0.00263296471827278,0.931170108161259,1899,0.00263296471827278,0.931170108161259,1899
"G20_moi0.3",0.3,20,1.04,3,"BH",0.0367976131277971,0.93484555984556,2011,0.0353585657370518,0.93484555984556,2008
"G20_moi0.3",0.3,20,1.04,3,"GS",0.0168539325842697,0.929054054054054,1958,0.0168539325842697,0.929054054054054,1958
"G20_moi0.3",0.3,20,1.04,3,"BY",0.0047293746715712,0.914092664092664,1903,0.00576822233875197,0.915057915057915,1907
"G20_moi0.3",0.3,20,1.02,4,"BH",0.0425641025641026,0.917895771878073,1950,0.0381443298969072,0.91740412979351,1940
"G20_moi0.3",0.3,20,1.02,4,"GS",0.012273212379936,0.910029498525074,1874,0.012273212379936,0.910029498525074,1874
"G20_moi0.3",0.3,20,1.02,4,"BY",0.00380848748639826,0.900196656833825,1838,0.00488334237655996,0.901671583087512,1843
"G20_moi0.3",0.3,20,1.02,5,"BH",0.0436308926780341,0.930243902439024,1994,0.0422110552763819,0.929756097560976,1990
"G20_moi0.3",0.3,20,1.02,5,"GS",0.0176807072282891,0.921463414634146,1923,0.0176807072282891,0.921463414634146,1923
"G20_moi0.3",0.3,20,1.02,5,"BY",0.00213675213675214,0.911219512195122,1872,0.00266666666666667,0.91219512195122,1875
"G20_moi0.3",0.3,20,1.01,6,"BH",0.039066463723998,0.933464760965993,1971,0.0376398779247202,0.932479053721045,1966
"G20_moi0.3",0.3,20,1.01,6,"GS",0.0136842105263158,0.923607688516511,1900,0.0136842105263158,0.923607688516511,1900
"G20_moi0.3",0.3,20,1.01,6,"BY",0.0037593984962406,0.914243469689502,1862,0.00589180503481521,0.914736323311976,1867
"G20_moi0.3",0.3,20,1.02,7,"BH",0.0326961770623742,0.940342298288509,1988,0.0317380352644836,0.939853300733496,1985
"G20_moi0.3",0.3,20,1.02,7,"GS",0.0159711488923235,0.93398533007335,1941,0.0159711488923235,0.93398533007335,1941
"G20_moi0.3",0.3,20,1.02,7,"BY",0.0037037037037037,0.92078239608802,1890,0.00369783412572636,0.922249388753056,1893
"G20_moi0.3",0.3,20,1.03,8,"BH",0.0327786182551689,0.928813559322034,1983,0.0308548305513404,0.927845036319613,1977
"G20_moi0.3",0.3,20,1.03,8,"GS",0.0155038759689922,0.922518159806295,1935,0.0155038759689922,0.922518159806295,1935
"G20_moi0.3",0.3,20,1.03,8,"BY",0.00685292567211386,0.912348668280872,1897,0.00684931506849315,0.912832929782082,1898
"G20_moi0.3",0.3,20,1.03,9,"BH",0.03086112493778,0.941489361702128,2009,0.0308764940239044,0.94100580270793,2008
"G20_moi0.3",0.3,20,1.03,9,"GS",0.0167853509664293,0.934719535783366,1966,0.0167853509664293,0.934719535783366,1966
"G20_moi0.3",0.3,20,1.03,9,"BY",0.00365153886280647,0.923597678916828,1917,0.00416666666666667,0.924564796905222,1920
"G20_moi0.3",0.3,20,1.02,10,"BH",0.0332159033719175,0.94212849435998,1987,0.0312657589510842,0.94212849435998,1983
"G20_moi0.3",0.3,20,1.02,10,"GS",0.010880829015544,0.936243256498283,1930,0.010880829015544,0.936243256498283,1930
"G20_moi0.3",0.3,20,1.02,10,"BY",0.00210859251449657,0.928396272682688,1897,0.00210637177461822,0.929377145659637,1899
"G20_moi0.3",0.3,20,1.03,11,"BH",0.0253164556962025,0.937652216268875,1975,0.0238336713995943,0.937652216268875,1972
"G20_moi0.3",0.3,20,1.03,11,"GS",0.0128600823045267,0.934729663906478,1944,0.0128600823045267,0.934729663906478,1944
"G20_moi0.3",0.3,20,1.03,11,"BY",0.0020997375328084,0.925962006819289,1905,0.00262191924488726,0.926449098879688,1907
"G20_moi0.3",0.3,20,1.02,12,"BH",0.029426433915212,0.95158924205379,2005,0.0265531062124248,0.950122249388753,1996
"G20_moi0.3",0.3,20,1.02,12,"GS",0.0112762685802153,0.943276283618582,1951,0.0112762685802153,0.943276283618582,1951
"G20_moi0.3",0.3,20,1.02,12,"BY",0.00208659363588941,0.935452322738386,1917,0.00208333333333333,0.936919315403423,1920
"G20_moi1",1,20,1.37,1,"BH",0.0329628210042162,0.922486288848263,2609,0.0296495956873315,0.921389396709324,2597
"G20_moi1",1,20,1.37,1,"GS",0.0107355864811133,0.909689213893967,2515,0.0107355864811133,0.909689213893967,2515
"G20_moi1",1,20,1.37,1,"BY",0.00486026731470231,0.89835466179159,2469,0.00484848484848485,0.90054844606947,2475
"G20_moi1",1,20,1.36,2,"BH",0.0400616332819723,0.912820512820513,2596,0.0341614906832298,0.911355311355311,2576
"G20_moi1",1,20,1.36,2,"GS",0.0136876006441224,0.897435897435897,2484,0.0136876006441224,0.897435897435897,2484
"G20_moi1",1,20,1.36,2,"BY",0.00413736036408771,0.881684981684982,2417,0.00577557755775578,0.882783882783883,2424
"G20_moi1",1,20,1.33,3,"BH",0.0349567949725059,0.923337091319053,2546,0.0338716029933045,0.921833897031191,2539
"G20_moi1",1,20,1.33,3,"GS",0.0122199592668024,0.911311537016159,2455,0.0122199592668024,0.911311537016159,2455
"G20_moi1",1,20,1.33,3,"BY",0.00292397660818713,0.897031191281473,2394,0.00292275574112735,0.897406989853439,2395
"G20_moi1",1,20,1.36,4,"BH",0.0282398452611219,0.922850844966936,2585,0.0256709451575263,0.920279206465834,2571
"G20_moi1",1,20,1.36,4,"GS",0.00640256102440976,0.912196914033799,2499,0.00640256102440976,0.912196914033799,2499
"G20_moi1",1,20,1.36,4,"BY",0.00163331972233565,0.898236590742101,2449,0.00163065633917652,0.899706098457017,2453
"G20_moi1",1,20,1.37,5,"BH",0.0400763358778626,0.915211062590975,2620,0.0375478927203065,0.914119359534207,2610
"G20_moi1",1,20,1.37,5,"GS",0.00921474358974359,0.899927219796215,2496,0.00921474358974359,0.899927219796215,2496
"G20_moi1",1,20,1.37,5,"BY",0.00244498777506112,0.890829694323144,2454,0.00284900284900285,0.89155749636099,2457
"G20_moi1",1,20,1.36,6,"BH",0.0286054827175209,0.898566703417861,2517,0.0266932270916335,0.897831679529585,2510
"G20_moi1",1,20,1.36,6,"GS",0.00741962077493817,0.884968761484748,2426,0.00741962077493817,0.884968761484748,2426
"G20_moi1",1,20,1.36,6,"BY",0.00126689189189189,0.869165747886806,2368,0.00126528890763391,0.870268283719221,2371
"G20_moi1",1,20,1.34,7,"BH",0.0357985837922895,0.913529631010063,2542,0.0305434351447838,0.910920611256057,2521
"G20_moi1",1,20,1.34,7,"GS",0.0082203041512536,0.899366380916884,2433,0.0082203041512536,0.899366380916884,2433
"G20_moi1",1,20,1.34,7,"BY",0.00209380234505863,0.888184867685427,2388,0.00208942749686586,0.890048453224003,2393
"G20_moi1",1,20,1.35,8,"BH",0.0382262996941896,0.929442186922793,2616,0.0363705972434916,0.929811599556705,2612
"G20_moi1",1,20,1.35,8,"GS",0.0119189511323004,0.918729220539342,2517,0.0119189511323004,0.918729220539342,2517
"G20_moi1",1,20,1.35,8,"BY",0.00282599919257166,0.912449205762837,2477,0.00322710770471964,0.912818618396749,2479
"G20_moi1",1,20,1.32,9,"BH",0.0347506132461161,0.893979553199546,2446,0.031211498973306,0.893222264293828,2435
"G20_moi1",1,20,1.32,9,"GS",0.0114844746916206,0.879969708443771,2351,0.0114844746916206,0.879969708443771,2351
"G20_moi1",1,20,1.32,9,"BY",0.00348583877995643,0.865959863687997,2295,0.00304083405734144,0.868989019310867,2302
"G20_moi1",1,20,1.36,10,"BH",0.0337122696981576,0.903592375366569,2551,0.0292605773032819,0.899926686217009,2529
"G20_moi1",1,20,1.36,10,"GS",0.00861361771944217,0.88599706744868,2438,0.00861361771944217,0.88599706744868,2438
"G20_moi1",1,20,1.36,10,"BY",0.00291909924937448,0.876466275659824,2398,0.00415454923140839,0.87866568914956,2407
"G20_moi1",1,20,1.39,11,"BH",0.0358490566037736,0.921717171717172,2650,0.0314751611679939,0.921356421356421,2637
"G20_moi1",1,20,1.39,11,"GS",0.0121759622937942,0.907287157287157,2546,0.0121759622937942,0.907287157287157,2546
"G20_moi1",1,20,1.39,11,"BY",0.00400962309542903,0.896103896103896,2494,0.00599760095961615,0.896825396825397,2501
"G20_moi1",1,20,1.35,12,"BH",0.0282193958664547,0.902547065337763,2516,0.0259067357512953,0.902177925433739,2509
"G20_moi1",1,20,1.35,12,"GS",0.00823384108686702,0.889258028792912,2429,0.00823384108686702,0.889258028792912,2429
"G20_moi1",1,20,1.35,12,"BY",0.000423190859077444,0.871908453303802,2363,0.000842815002107038,0.875230712440015,2373
"G20_moi3",3,20,2.39,1,"BH",0.036870951669158,0.810142497904443,4014,0.0314003545201317,0.801550712489522,3949
"G20_moi3",3,20,2.39,1,"GS",0.00546746856205577,0.762363788767812,3658,0.00546746856205577,0.762363788767812,3658
"G20_moi3",3,20,2.39,1,"BY",0.00388134183532021,0.752933780385583,3607,0.00386206896551724,0.756705783738474,3625
"G20_moi3",3,20,2.51,2,"BH",0.028940338379341,0.867714342550229,4492,0.0256122219725904,0.86274119753332,4451
"G20_moi3",3,20,2.51,2,"GS",0.00641634980988593,0.83170877262781,4208,0.00641634980988593,0.83170877262781,4208
"G20_moi3",3,20,2.51,2,"BY",0.00266408331315088,0.8191764471852,4129,0.00337024554646124,0.82355281480008,4154
"G20_moi3",3,20,2.51,3,"BH",0.0330463113800326,0.827854154213987,4297,0.0268408551068884,0.816298067344092,4210
"G20_moi3",3,20,2.51,3,"GS",0.00661241098677518,0.778242677824268,3932,0.00661241098677518,0.778242677824268,3932
"G20_moi3",3,20,2.51,3,"BY",0.0031413612565445,0.758716875871688,3820,0.00336787564766839,0.766487348077306,3860
"G20_moi3",3,20,2.41,4,"BH",0.0339830084957521,0.80257421631721,4002,0.0282083862770013,0.793855096533112,3935
"G20_moi3",3,20,2.41,4,"GS",0.0078082929456112,0.76499896200955,3714,0.0078082929456112,0.76499896200955,3714
"G20_moi3",3,20,2.41,4,"BY",0.00360410313279734,0.746107535810671,3607,0.00465116279069767,0.755241851774964,3655
"G20_moi3",3,20,2.43,5,"BH",0.0290020552637589,0.873997944501542,4379,0.0219298245614035,0.870914696813977,4332
"G20_moi3",3,20,2.43,5,"GS",0.00434467776973208,0.847893114080164,4143,0.00434467776973208,0.847893114080164,4143
"G20_moi3",3,20,2.43,5,"BY",0.00368459837877671,0.833710174717369,4071,0.00391102419946223,0.837615621788284,4091
