dataset,op,corr,q,qc,moi,n_cells_kept,n_calls,cal_pairs,t1e_05,t1e_01,ks,pow_pairs,pow_frac_sig,pow_med_p,mins
replogle,GS_q0.05_none,GS,0.05,none,low,60000,92035,2000,0.0455,0.004,0.034,2383,0.433906840117499,0.096,0.3
replogle,BH_q0.05_none,BH,0.05,none,low,60000,123774,2000,0.048,0.011,0.0265,2383,0.388166177087705,0.132,0.2
replogle,perguideBH_q0.05_none,perguideBH,0.05,none,low,60000,119263,2000,0.0455,0.0145,0.019,2383,0.381032312211498,0.136,0.6
replogle,BY_q0.05_none,BY,0.05,none,low,60000,107798,2000,0.058,0.007,0.026,2383,0.3894250944188,0.128,0.4
replogle,BH_q0.01_none,BH,0.01,none,low,60000,114689,2000,0.064,0.011,0.0205000000000001,2383,0.39026437263953,0.136,0.4
replogle,BH_q0.10_none,BH,0.1,none,low,60000,124648,2000,0.048,0.0105,0.0285,2383,0.392362568191355,0.132,0.2
replogle,BH_q0.20_none,BH,0.2,none,low,60000,124983,2000,0.048,0.0105,0.0285,2383,0.389844733529165,0.132,0.2
replogle,BH_q0.40_none,BH,0.4,none,low,60000,125028,2000,0.048,0.0105,0.0285,2383,0.389844733529165,0.132,0.2
replogle,perguideBH_q0.20_none,perguideBH,0.2,none,low,60000,122895,2000,0.0535,0.011,0.038,2383,0.38858581619807,0.132,0.5
replogle,BH_q0.10_singleton,BH,0.1,singleton,low,23648,17911,2000,0.048,0.0105,0.0285,2383,0.392362568191355,0.132,0.2
dctap_lowmoi,GS_q0.05_none,GS,0.05,none,low,5397,6375,2000,0.107,0.043,0.086,3,1,2.65201616864673e-21,0
dctap_lowmoi,BH_q0.05_none,BH,0.05,none,low,5397,6974,2000,0.1015,0.038,0.0855,3,1,3.04582244047441e-18,0
dctap_lowmoi,perguideBH_q0.05_none,perguideBH,0.05,none,low,5397,7034,2000,0.1055,0.045,0.0865,3,1,1.76681593940535e-19,0
dctap_lowmoi,BY_q0.05_none,BY,0.05,none,low,5397,6226,2000,0.106,0.041,0.0905,3,1,4.98830146324352e-21,0
dctap_lowmoi,BH_q0.01_none,BH,0.01,none,low,5397,6358,2000,0.1035,0.0385,0.09,3,1,1.19587835914965e-18,0
dctap_lowmoi,BH_q0.10_none,BH,0.1,none,low,5397,7741,2000,0.0985,0.0375,0.0815,3,1,2.91285825223133e-17,0
dctap_lowmoi,BH_q0.20_none,BH,0.2,none,low,5397,9416,2000,0.0815,0.029,0.062,3,1,1.74764068617667e-12,0
dctap_lowmoi,BH_q0.40_none,BH,0.4,none,low,5397,15753,2000,0.0535,0.008,0.0255,3,1,9.27164676304852e-05,0
dctap_lowmoi,perguideBH_q0.20_none,perguideBH,0.2,none,low,5397,9712,2000,0.082,0.0245,0.0555,3,1,1.4692039682883e-12,0
dctap_lowmoi,BH_q0.10_singleton,BH,0.1,singleton,low,3530,3232,2000,0.0985,0.0375,0.0815,3,1,2.91285825223133e-17,0
endoc,GS_q0.05_none,GS,0.05,none,high,41642,112856,2000,0.0755,0.0155,0.0740000000000001,61,0.819672131147541,3.8115318229635e-43,2
