"dataset","guide","gene","type","n_GS","n_BH","n_BHonly","lfc_GS","lfc_BH","lfc_BHonly","nlp_GS","nlp_BH","nlp_BHonly"
"highmoi","e-GATA1-1","GATA1","enh",2278,2367,89,-1.07881130240309,-1.05093384097642,-0.47298629068691,267.632756060631,267.44583329168,5.21919059844738
"highmoi","e-GATA1-2","GATA1","enh",2257,2360,103,-1.1100562058265,-1.07424359276167,-0.434705495919832,276.530576866047,276.973010120538,5.53018684826877
"highmoi","e-HDAC6-1","HDAC6","enh",1576,1667,91,-0.642550112000411,-0.605530785299967,-0.0708669169973739,63.6422191349695,59.2399422622195,0.0675267960720914
"highmoi","e-HDAC6-2","HDAC6","enh",2450,2547,97,-0.617992786711858,-0.601111284240644,-0.215811609991257,73.4598436531561,71.864273401179,1.49910757760451
"highmoi","GATA1-TSS-1","GATA1","TSS",2251,2360,109,-1.39209735956121,-1.33169823878967,-0.438133589130984,Inf,Inf,5.89945482222833
"highmoi","GATA1-TSS-2","GATA1","TSS",2975,3082,107,-2.07559287467443,-1.95557359988853,-0.268771234426041,Inf,Inf,3.45991298846872
"highmoi","HDAC6-TSS-1","HDAC6","TSS",2107,2213,106,-0.748309134527871,-0.715050615586589,-0.162684736526317,100.828235521268,95.2800461744871,0.700259890102754
"highmoi","HDAC6-TSS-2","HDAC6","TSS",2551,2622,71,-0.65132897274322,-0.630791566238586,-0.0382984331734624,85.097674062765,81.5922366026051,0.0148946642482113
"highmoi","MYC-e2-1","MYC","enh",2574,2677,103,-0.823565459442186,-0.789934456737496,-0.140027057020875,71.9237859711368,67.9856417166358,0.240925182187787
"highmoi","MYC-e2-2","MYC","enh",2706,2815,109,-0.921080092769174,-0.901886451734132,-0.475604549871257,88.356630585791,86.9688736219285,3.85427783574413
"highmoi","MYC-TSS-1","MYC","TSS",2112,2193,81,-0.763916237487983,-0.732002120801652,-0.0679901579295328,66.9431471257173,64.07447053089,0.159047420722563
"highmoi","MYC-TSS-2","MYC","TSS",1673,1773,100,-0.641304345334363,-0.606617672424178,-0.113163218785426,49.705273253512,48.2027431566228,1.31202283420998
"lowmoi","e-GATA1-1","GATA1","enh",198,205,7,-0.26063404913883,-0.269075076142004,-0.530923346811769,5.19440470563713,5.67848310952155,0.783678650754501
"lowmoi","e-GATA1-2","GATA1","enh",149,157,8,-0.393972668683777,-0.382649570422778,-0.186536688955699,7.99404642898099,7.98331226738227,0.283695742935827
"lowmoi","e-HDAC6-1","HDAC6","enh",96,103,7,-0.29297872794328,-0.273572577960746,-0.0308297909299536,1.43179096995251,1.31980629357877,0.00428948384518686
"lowmoi","e-HDAC6-2","HDAC6","enh",155,166,11,-0.498679258289507,-0.437605954771622,0.226019069718198,6.5139443198233,5.58297705358,1.04685192941285
"lowmoi","GATA1-TSS-1","GATA1","TSS",141,152,11,-0.756779448435721,-0.672319443090213,0.117513362636832,16.1193913228175,15.0161275028096,0.648601162316543
"lowmoi","GATA1-TSS-2","GATA1","TSS",234,247,13,-1.63647595753563,-1.50981727626046,-0.180467736648205,60.5699443990286,58.1253014832515,0.450896646036787
"lowmoi","HDAC6-TSS-1","HDAC6","TSS",71,78,7,-0.51885986345274,-0.466071338941599,-0.0177818886427901,3.47765854630265,3.31522297821929,0.139296205660043
"lowmoi","HDAC6-TSS-2","HDAC6","TSS",125,131,6,-0.594538730962431,-0.592034028658856,-0.540817947656622,6.86371751703259,7.0693936584205,0.785000763367312
"lowmoi","MYC-e2-1","MYC","enh",94,99,5,-0.320447019129218,-0.259426825229172,0.57130132202618,2.0379369683651,1.60033427618184,0.707546252796813
"lowmoi","MYC-e2-2","MYC","enh",281,292,11,-0.538687460756357,-0.532587279961447,-0.381842821827496,12.4514738899005,12.7955448588645,0.724570922346946
"lowmoi","MYC-TSS-1","MYC","TSS",71,83,12,-0.123000343235201,-0.12328437909557,-0.124966069803755,0.629799505093267,0.568750915795292,0.0522700866946659
"lowmoi","MYC-TSS-2","MYC","TSS",88,96,8,0.0757688109385121,0.058556189813814,-0.145719583962876,0.253227951830932,0.170768593633986,0.169704781071326
