"moi","display","stat","q25","q75","n","value"
0.1,"fishash (refit10)","F1",0.949331025933959,0.952182139331635,10,0.95019745923002
0.1,"fishash (refit10)","Precision",0.940129798589874,0.9448672997928,10,0.941059064133
0.1,"fishash (refit10)","Recall",0.958960312704513,0.959705998565682,10,0.959184211914939
0.1,"fishash+","F1",0.844366372987277,0.849641623377807,10,0.848631161291156
0.1,"fishash+","Precision",0.752339378520729,0.760905728619322,10,0.758641012226422
0.1,"fishash+","Recall",0.96112151539835,0.962399301288322,10,0.962033231577017
0.3,"fishash (refit10)","F1",0.945915531914334,0.948373234991131,10,0.946650583029012
0.3,"fishash (refit10)","Precision",0.943095201590797,0.94844387765333,10,0.945110939112487
0.3,"fishash (refit10)","Recall",0.947914445213812,0.949630069512365,10,0.948978515881827
0.3,"fishash+","F1",0.849886531458683,0.860841487509486,10,0.854545774446596
0.3,"fishash+","Precision",0.764372969320761,0.781200490283738,10,0.772547514441393
0.3,"fishash+","Recall",0.955964403505089,0.957728522183997,10,0.956896024955286
0.5,"fishash (refit10)","F1",0.945140174856501,0.946468326706547,10,0.945773537274904
0.5,"fishash (refit10)","Precision",0.9508618932307,0.953055608438326,10,0.952193150023102
0.5,"fishash (refit10)","Recall",0.938871706156359,0.940412477281343,10,0.93995510934668
0.5,"fishash+","F1",0.865430260062073,0.870157061452628,10,0.86678687310146
0.5,"fishash+","Precision",0.793162508991252,0.800174983804574,10,0.795396527692238
0.5,"fishash+","Recall",0.952235316512368,0.953674248309814,10,0.952530612864167
1,"fishash (refit10)","F1",0.937635579601094,0.938944550660181,10,0.937991115889447
1,"fishash (refit10)","Precision",0.962474041704912,0.9636799506935,10,0.963206254581569
1,"fishash (refit10)","Recall",0.913808686708726,0.915555477009362,10,0.914664487090679
1,"fishash+","F1",0.883289613529196,0.885436010306881,10,0.885000528626158
1,"fishash+","Precision",0.83380282676638,0.837861879961751,10,0.836571892791768
1,"fishash+","Recall",0.938075749756082,0.940199030345454,10,0.93903794939033
2,"fishash (refit10)","F1",0.913573132744237,0.916926899940238,10,0.915092024657193
2,"fishash (refit10)","Precision",0.977049297317464,0.978833141731615,10,0.977823149584746
2,"fishash (refit10)","Recall",0.856883132715653,0.862962705178028,10,0.85942828656321
2,"fishash+","F1",0.899173731010066,0.904150182517046,10,0.902565746029968
2,"fishash+","Precision",0.89280312363191,0.900731283122301,10,0.89707699678133
2,"fishash+","Recall",0.905503634858712,0.909146294434592,10,0.905889040383113
3,"fishash (refit10)","F1",0.881138579027587,0.885369968073753,10,0.88222692637305
3,"fishash (refit10)","Precision",0.983738275171492,0.985297558342543,10,0.984473200169436
3,"fishash (refit10)","Recall",0.797626864829448,0.803810856532017,10,0.799461812060823
3,"fishash+","F1",0.895583234677724,0.89860460856047,10,0.89729830610853
3,"fishash+","Precision",0.925803303377502,0.930038287003856,10,0.926130584801975
3,"fishash+","Recall",0.866325060297659,0.872693405032837,10,0.870574425709102
5,"fishash (refit10)","F1",0.80996095621152,0.817831295952357,10,0.815984105861776
5,"fishash (refit10)","Precision",0.991090062787172,0.992283898056417,10,0.99192416722452
5,"fishash (refit10)","Recall",0.684457609885194,0.695509154126149,10,0.693361380612863
5,"fishash+","F1",0.864171343244707,0.870390565493136,10,0.868621717265427
5,"fishash+","Precision",0.9582495246441,0.960107630635283,10,0.958960671209468
5,"fishash+","Recall",0.7866098887035,0.79579980352965,10,0.793644794529654
10,"fishash (refit10)","F1",0.651049800258184,0.660342581829766,10,0.657055046742626
10,"fishash (refit10)","Precision",0.994651268217471,0.995063918800201,10,0.994845628134283
10,"fishash (refit10)","Recall",0.483808159315503,0.494168333173585,10,0.490477837472505
10,"fishash+","F1",0.760146402526401,0.768006168982453,10,0.764838518727359
10,"fishash+","Precision",0.98103563534315,0.982469311751435,10,0.981732422258883
10,"fishash+","Recall",0.620206336372317,0.630378279258164,10,0.626199038450842
