"scn","moi","method","Precision","Recall","F1"
"varyMOI",0.1,"sceptre_mixture",0.956081081081081,0.955677501055298,0.955879248469495
"varyMOILow",0.1,"sceptre_mixture",0.991492599253009,0.759913061916879,0.860392533461377
"varyMOI",0.3,"sceptre_mixture",0.895300606226355,0.943193277310924,0.918623140959686
"varyMOILow",0.3,"sceptre_mixture",0.993270436102131,0.725087896739392,0.838251670378619
"varyMOI",0.5,"sceptre_mixture",0.974168902633135,0.937872154115587,0.955676013294965
"varyMOILow",0.5,"sceptre_mixture",0.993790347371657,0.71038059242331,0.828519439247546
"varyMOI",1,"sceptre_mixture",0.967723626456788,0.906464875593677,0.936093115186121
"varyMOILow",1,"sceptre_mixture",0.992815471045808,0.647695235410206,0.783953250298584
"varyMOI",2,"sceptre_mixture",0.987980023137045,0.854712329435887,0.916527065228772
"varyMOILow",2,"sceptre_mixture",0.994683289027409,0.526364297841378,0.688427864484202
"varyMOI",3,"sceptre_mixture",0.990441632002832,0.803474951986071,0.8872152137074
"varyMOILow",3,"sceptre_mixture",0.995170123765578,0.416432077378374,0.587163666433433
"varyMOI",5,"sceptre_mixture",0.996986391674907,0.717226349901764,0.834277908755984
"varyMOILow",5,"sceptre_mixture",0.994492996528193,0.282483762369504,0.439989406779661
"varyMOI",10,"sceptre_mixture",0.996892132937919,0.531091133809057,0.692992632431754
"varyMOILow",10,"sceptre_mixture",0.995447253176083,0.133864328112792,0.235993112841467
"varyMOI",0.1,"sceptre_mixture",0.946763651697238,0.951276347844508,0.94901463517726
"varyMOILow",0.1,"sceptre_mixture",0.991118512350819,0.755287648054145,0.857280038410755
"varyMOI",0.3,"sceptre_mixture",0.921966537001453,0.944225784774887,0.932963410874772
"varyMOILow",0.3,"sceptre_mixture",0.992836861125452,0.741767513620365,0.84913210254712
"varyMOI",0.5,"sceptre_mixture",0.913996989894646,0.933014354066986,0.923407767833869
"varyMOILow",0.5,"sceptre_mixture",0.992172690026295,0.711373202385128,0.828630525267485
"varyMOI",1,"sceptre_mixture",0.993806977728199,0.90856660571107,0.949277092939945
"varyMOILow",1,"sceptre_mixture",0.992196515909216,0.643740863550469,0.780858057261482
"varyMOI",2,"sceptre_mixture",0.977649484536082,0.860627767963021,0.91541392092257
"varyMOILow",2,"sceptre_mixture",0.992345892751378,0.52769163678651,0.688999604586793
"varyMOI",3,"sceptre_mixture",0.986011667992575,0.796369672306704,0.881101895734597
"varyMOILow",3,"sceptre_mixture",0.994963464475911,0.430344261124205,0.600820172759794
"varyMOI",5,"sceptre_mixture",0.993689437014495,0.701408673630896,0.822350500705826
"varyMOILow",5,"sceptre_mixture",0.996538817563488,0.280263500435772,0.437488957206968
"varyMOI",10,"sceptre_mixture",0.997339957791066,0.525841784989858,0.688615165107048
"varyMOILow",10,"sceptre_mixture",0.995042961004627,0.12375958568694,0.220139120989305
"varyMOI",0.1,"sceptre_mixture",0.968474284484614,0.952033423237612,0.960183481345174
"varyMOILow",0.1,"sceptre_mixture",0.992886823015705,0.749973401425684,0.854501924417371
"varyMOI",0.3,"sceptre_mixture",0.968576801266825,0.942777322864987,0.955502941248261
"varyMOILow",0.3,"sceptre_mixture",0.992418196328811,0.718578445535972,0.833584715937657
"varyMOI",0.5,"sceptre_mixture",0.96644264826083,0.932769426304948,0.949307522469279
"varyMOILow",0.5,"sceptre_mixture",0.993424691206293,0.710687123576735,0.828600717580728
"varyMOI",1,"sceptre_mixture",0.99001950212229,0.909953606073387,0.9482995439811
"varyMOILow",1,"sceptre_mixture",0.990042361225725,0.637026548672566,0.775238546535421
"varyMOI",2,"sceptre_mixture",0.992744044773181,0.862402579951626,0.922994456646794
"varyMOILow",2,"sceptre_mixture",0.994104843098132,0.528788865571556,0.690358846777622
"varyMOI",3,"sceptre_mixture",0.994370657049872,0.809784749829877,0.892635069780296
"varyMOILow",3,"sceptre_mixture",0.995047032381587,0.42806496087665,0.598610328638498
"varyMOI",5,"sceptre_mixture",0.995982439372094,0.697767588609822,0.820621996796583
"varyMOILow",5,"sceptre_mixture",0.994963022186688,0.281352445117678,0.438661578998387
"varyMOI",10,"sceptre_mixture",0.997141076073171,0.536624866965897,0.697747527544843
"varyMOILow",10,"sceptre_mixture",0.99442420972166,0.129166593658192,0.228635527159192
"varyMOI",0.1,"sceptre_mixture",0.976514947481821,0.954258342983472,0.965258365945212
"varyMOILow",0.1,"sceptre_mixture",0.990110489701269,0.762447478991597,0.861491899590529
"varyMOI",0.3,"sceptre_mixture",0.848915255705192,0.940239808153477,0.892246774230253
"varyMOILow",0.3,"sceptre_mixture",0.992977341990195,0.719470046082949,0.834381784779825
"varyMOI",0.5,"sceptre_mixture",0.968676230252406,0.938841957057374,0.953525784252391
"varyMOILow",0.5,"sceptre_mixture",0.993131362688581,0.709609570132772,0.827765992792701
"varyMOI",1,"sceptre_mixture",0.940937087549494,0.907531824611033,0.923932608539132
"varyMOILow",1,"sceptre_mixture",0.994630295870698,0.656471505528778,0.7909220948355
"varyMOI",2,"sceptre_mixture",0.994537826956105,0.855609921519233,0.919857814351376
"varyMOILow",2,"sceptre_mixture",0.994652891063984,0.531348341805858,0.692669380542144
"varyMOI",3,"sceptre_mixture",0.993183307843566,0.811952988247062,0.893470655293054
"varyMOILow",3,"sceptre_mixture",0.994380826699587,0.418695106649937,0.589271073775558
"varyMOI",5,"sceptre_mixture",0.996274158514737,0.709472733431184,0.828762290379378
"varyMOILow",5,"sceptre_mixture",0.995263260912116,0.288790949157163,0.447680509944445
"varyMOI",10,"sceptre_mixture",0.997202180977034,0.527109170305677,0.689668044260765
"varyMOILow",10,"sceptre_mixture",0.995132723421515,0.129067517725522,0.228498991048792
"varyMOI",0.1,"sceptre_mixture",0.920473773265651,0.94984126984127,0.934926958831341
"varyMOILow",0.1,"sceptre_mixture",0.98989898989899,0.757718582852301,0.858385577586465
"varyMOI",0.3,"sceptre_mixture",0.869093485673797,0.942015072241156,0.904086239461925
"varyMOILow",0.3,"sceptre_mixture",0.993075063696348,0.735662778880124,0.845204336947456
"varyMOI",0.5,"sceptre_mixture",0.987686445797128,0.93523407250968,0.960744875590409
"varyMOILow",0.5,"sceptre_mixture",0.993148214929679,0.722234363390008,0.836298301996609
"varyMOI",1,"sceptre_mixture",0.987909204973195,0.91216429699842,0.94852699594787
"varyMOILow",1,"sceptre_mixture",0.993706938642652,0.648779796691815,0.785025500364291
"varyMOI",2,"sceptre_mixture",0.984939339004323,0.857701462087725,0.916927390982617
"varyMOILow",2,"sceptre_mixture",0.995071142936855,0.518398294614956,0.681669772405116
"varyMOI",3,"sceptre_mixture",0.989860327692721,0.793906970899233,0.881120553103737
"varyMOILow",3,"sceptre_mixture",0.994620517097581,0.427628865979381,0.598106701774183
"varyMOI",5,"sceptre_mixture",0.996819298356113,0.710441262288459,0.829611574146878
"varyMOILow",5,"sceptre_mixture",0.99476926653493,0.290423293590643,0.449588918755636
"varyMOI",10,"sceptre_mixture",0.997074397081071,0.520789030271338,0.684205705212858
"varyMOILow",10,"sceptre_mixture",0.995729831489049,0.126519063037834,0.224511346695378
"varyMOI",0.1,"sceptre_mixture",0.973913986658713,0.951114877389969,0.962379421221865
"varyMOILow",0.1,"sceptre_mixture",0.99069222283508,0.762200297050711,0.861554143182636
"varyMOI",0.3,"sceptre_mixture",0.981799194390571,0.943287147634974,0.962157947318404
"varyMOILow",0.3,"sceptre_mixture",0.99386738213875,0.73972993533663,0.848170964400589
"varyMOI",0.5,"sceptre_mixture",0.955955865795992,0.933958113340373,0.944828967573943
"varyMOILow",0.5,"sceptre_mixture",0.993111436235065,0.713391136801541,0.83032619775739
"varyMOI",1,"sceptre_mixture",0.964622553588071,0.909525483304042,0.936264133876074
"varyMOILow",1,"sceptre_mixture",0.99233737296886,0.639803784162579,0.777997912272853
"varyMOI",2,"sceptre_mixture",0.966952096955106,0.85403276470304,0.906991365041892
"varyMOILow",2,"sceptre_mixture",0.99487800335258,0.516598563795063,0.680066841728336
"varyMOI",3,"sceptre_mixture",0.994827206691614,0.806491907421617,0.890813943174763
"varyMOILow",3,"sceptre_mixture",0.994204380806273,0.415272338910644,0.585842352409412
"varyMOI",5,"sceptre_mixture",0.99150234741784,0.71653792651067,0.83188792090388
"varyMOILow",5,"sceptre_mixture",0.996019859669279,0.273574592297896,0.429248452696729
"varyMOI",10,"sceptre_mixture",0.997204736540916,0.526210649183222,0.688899110119398
"varyMOILow",10,"sceptre_mixture",0.99539467624574,0.1255277753579,0.222940809390456
"varyMOI",0.1,"sceptre_mixture",0.98573450941958,0.95651714481957,0.970906068162926
"varyMOILow",0.1,"sceptre_mixture",0.991591339079252,0.745810055865922,0.851315987366521
"varyMOI",0.3,"sceptre_mixture",0.783988216091405,0.948785893235691,0.858550408719346
"varyMOILow",0.3,"sceptre_mixture",0.991103896103896,0.732881974455008,0.842654447082206
"varyMOI",0.5,"sceptre_mixture",0.955692779230145,0.932450855358635,0.94392877017251
"varyMOILow",0.5,"sceptre_mixture",0.992693174206905,0.71310471524801,0.82998599974545
"varyMOI",1,"sceptre_mixture",0.989997327530256,0.912099894477664,0.949453526902587
"varyMOILow",1,"sceptre_mixture",0.994110654851956,0.651730367326698,0.787308243650913
"varyMOI",2,"sceptre_mixture",0.9920934260889,0.860222868217054,0.921464066534325
"varyMOILow",2,"sceptre_mixture",0.994035038279085,0.510184895017236,0.674291904291586
"varyMOI",3,"sceptre_mixture",0.981654154857971,0.810340208947227,0.887808409477783
"varyMOILow",3,"sceptre_mixture",0.994691079341192,0.426051924798568,0.596575239432382
"varyMOI",5,"sceptre_mixture",0.996633596063897,0.70108386274108,0.823133116340621
"varyMOILow",5,"sceptre_mixture",0.995954120512216,0.288036625126382,0.446843195135921
"varyMOI",10,"sceptre_mixture",0.99683527271553,0.536520222707601,0.697584198989085
"varyMOILow",10,"sceptre_mixture",0.994454374627618,0.127465090731788,0.225966695479208
"varyMOI",0.1,"sceptre_mixture",0.938359017076218,0.951586505464337,0.944926472515662
"varyMOILow",0.1,"sceptre_mixture",0.98757806602155,0.7599281791297,0.858925000746113
"varyMOI",0.3,"sceptre_mixture",0.978520647405839,0.937400376756992,0.957519242155121
