"moi","display","q25","q75","n","F1","competitor_identity"
0.1,"fishash (refit10)",0.860686085263276,0.866049751883158,10,0.863483503630306,NA
0.1,"fishash+",0.854620229405578,0.860285100864677,10,0.85854172280649,NA
0.1,"sceptre mixture",0.855196452915717,0.861217058058241,10,0.858655289166289,NA
0.3,"fishash (refit10)",0.837825457217933,0.84862879487321,10,0.844639016159414,NA
0.3,"fishash+",0.837245618974341,0.84784927029926,10,0.843595048134288,NA
0.3,"sceptre mixture",0.837895329099079,0.846373876302943,10,0.843426427595195,NA
0.5,"fishash (refit10)",0.826818423094815,0.830410000768447,10,0.828230014781157,NA
0.5,"fishash+",0.829319176613797,0.83305315104127,10,0.831895551364371,NA
0.5,"sceptre mixture",0.827954354406412,0.830241148254405,10,0.828615621424106,NA
1,"fishash (refit10)",0.778174590115106,0.780283373814,10,0.779707915954648,NA
1,"fishash+",0.788777318822808,0.79216644950478,10,0.791359448783975,NA
1,"sceptre mixture",0.781613069674065,0.786737557829257,10,0.78429866231732,NA
2,"fishash (refit10)",0.67052906815678,0.677039081896404,10,0.674046771703686,NA
2,"fishash+",0.694582861694614,0.7007347404339,10,0.698516580986244,NA
2,"sceptre mixture",0.683013925074084,0.691294483921764,10,0.688713734535497,NA
3,"fishash (refit10)",0.562426444345221,0.572095898471868,10,0.569680643758159,NA
3,"fishash+",0.594109521271352,0.603243066923895,10,0.60140709572191,NA
3,"sceptre mixture",0.590218230000324,0.598484421922419,10,0.594898745454334,NA
5,"fishash (refit10)",0.404543933866732,0.413263931457187,10,0.407678237286995,NA
5,"fishash+",0.440169260248856,0.447175043864691,10,0.442627341743657,NA
5,"sceptre mixture",0.437733922054171,0.447471181242314,10,0.439325492889024,NA
10,"fishash (refit10)",0.190515676253198,0.193346626962408,10,0.192444222495783,NA
10,"fishash+",0.211645015659489,0.21443390165804,10,0.214119393730939,NA
10,"sceptre mixture",0.223333443716686,0.228373997465552,10,0.226480074884985,NA
