"moi","display","q25","q75","n","F1","competitor_identity"
0.1,"fishash (refit10)",0.976656881962053,0.978139108655265,10,0.977541736829033,NA
0.1,"fishash+",0.964802666976483,0.966828264555106,10,0.96494905215428,NA
0.1,"sceptre mixture",0.945948513181062,0.961830436252692,10,0.956521682057877,NA
0.3,"fishash (refit10)",0.972075559502008,0.973755607462382,10,0.972527828399284,NA
0.3,"fishash+",0.963844339472275,0.965566366951399,10,0.964523050628061,NA
0.3,"sceptre mixture",0.895206640538171,0.957015166928406,10,0.925793275917229,NA
0.5,"fishash (refit10)",0.967318483353254,0.968503551741661,10,0.967651064949736,NA
0.5,"fishash+",0.963162085160349,0.965136071618336,10,0.964025567100558,NA
0.5,"sceptre mixture",0.945948606297777,0.955233429156068,10,0.952707986635646,NA
1,"fishash (refit10)",0.953741279652264,0.956078986558724,10,0.954535233694156,NA
1,"fishash+",0.960024851478643,0.961849809153936,10,0.960890729506652,NA
1,"sceptre mixture",0.938218655164487,0.948470132956178,10,0.948207533593887,NA
2,"fishash (refit10)",0.923098624009804,0.925183152595567,10,0.924778544283087,NA
2,"fishash+",0.946662680352175,0.948187716622986,10,0.947675099914784,NA
2,"sceptre mixture",0.914954556301249,0.921059024971803,10,0.916727228105695,NA
3,"fishash (refit10)",0.887782011914484,0.89350643987912,10,0.8895617470319,NA
3,"fishash+",0.925176373380298,0.929423011278084,10,0.926711949594378,NA
3,"sceptre mixture",0.885547022133433,0.890521726324213,10,0.887511811592592,NA
5,"fishash (refit10)",0.815068035681177,0.820529797989794,10,0.818682236805711,NA
5,"fishash+",0.879742104010674,0.886055515075866,10,0.88219435216713,NA
5,"sceptre mixture",0.823451900375201,0.829399253205003,10,0.826262887445024,NA
10,"fishash (refit10)",0.65773010590067,0.66389376738666,10,0.660098332872818,NA
10,"fishash+",0.766545689835027,0.771857927930621,10,0.768287846731839,NA
10,"sceptre mixture",0.688686151360135,0.695676149384166,10,0.689408325387904,NA
0.1,"best remaining published method (digitized)",NA,NA,NA,0.97,"crispat_negbinom"
0.3,"best remaining published method (digitized)",NA,NA,NA,0.96,"cleanser_dc"
0.5,"best remaining published method (digitized)",NA,NA,NA,0.95,"cleanser_dc"
1,"best remaining published method (digitized)",NA,NA,NA,0.95,"cleanser_dc"
2,"best remaining published method (digitized)",NA,NA,NA,0.93,"cleanser_dc"
3,"best remaining published method (digitized)",NA,NA,NA,0.91,"cleanser_dc"
5,"best remaining published method (digitized)",NA,NA,NA,0.88,"cleanser_dc"
10,"best remaining published method (digitized)",NA,NA,NA,0.81,"crispat_poisgauss"
