"moi","iter","method","F1","Precision","Recall"
0.1,1,"sceptre_mixture",0.955879248469495,0.956081081081081,0.955677501055298
0.1,1,"fishash+ Poisson",0.967576294963077,0.970736629667003,0.964436471084846
0.3,1,"sceptre_mixture",0.918623140959686,0.895300606226355,0.943193277310924
0.3,1,"fishash+ Poisson",0.96624921425463,0.973024297609193,0.959567827130852
0.5,1,"sceptre_mixture",0.955676013294965,0.974168902633135,0.937872154115587
0.5,1,"fishash+ Poisson",0.966385809312639,0.978975741239892,0.954115586690018
1,1,"sceptre_mixture",0.936093115186121,0.967723626456788,0.906464875593677
1,1,"fishash+ Poisson",0.959359628264934,0.983183898210499,0.936662649748352
2,1,"sceptre_mixture",0.916527065228772,0.987980023137045,0.854712329435887
2,1,"fishash+ Poisson",0.94559142529029,0.990642461834612,0.904459687065199
3,1,"sceptre_mixture",0.8872152137074,0.990441632002832,0.803474951986071
3,1,"fishash+ Poisson",0.924849497364404,0.994301994301994,0.864466103063917
5,1,"sceptre_mixture",0.834277908755984,0.996986391674907,0.717226349901764
5,1,"fishash+ Poisson",0.886521131088632,0.996981451442274,0.798096248955534
10,1,"sceptre_mixture",0.692992632431754,0.996892132937919,0.531091133809057
10,1,"fishash+ Poisson",0.771834572643612,0.998482366767534,0.62904598666107
0.1,2,"sceptre_mixture",0.94901463517726,0.946763651697238,0.951276347844508
0.1,2,"fishash+ Poisson",0.964797913950456,0.969466873429228,0.960173710412033
0.3,2,"sceptre_mixture",0.932963410874772,0.921966537001453,0.944225784774887
0.3,2,"fishash+ Poisson",0.965060648528488,0.971681588166602,0.958529327061534
0.5,2,"sceptre_mixture",0.923407767833869,0.913996989894646,0.933014354066986
0.5,2,"fishash+ Poisson",0.961051628205981,0.970756829377519,0.951538562837452
1,2,"sceptre_mixture",0.949277092939945,0.993806977728199,0.90856660571107
1,2,"fishash+ Poisson",0.960017305404333,0.984836156520453,0.936418624279083
2,2,"sceptre_mixture",0.91541392092257,0.977649484536082,0.860627767963021
2,2,"fishash+ Poisson",0.94823122292527,0.991600190184373,0.908496890201108
3,2,"sceptre_mixture",0.881101895734597,0.986011667992575,0.796369672306704
3,2,"fishash+ Poisson",0.924002291388199,0.993389719165709,0.863675305204541
5,2,"sceptre_mixture",0.822350500705826,0.993689437014495,0.701408673630896
5,2,"fishash+ Poisson",0.879263150574952,0.997261059726106,0.786234341789897
10,2,"sceptre_mixture",0.688615165107048,0.997339957791066,0.525841784989858
10,2,"fishash+ Poisson",0.766286371527158,0.998659317741695,0.621640104317589
0.1,3,"sceptre_mixture",0.960183481345174,0.968474284484614,0.952033423237612
0.1,3,"fishash+ Poisson",0.964636542239686,0.968545076504772,0.960759426728013
0.3,3,"sceptre_mixture",0.955502941248261,0.968576801266825,0.942777322864987
