"moi","method","stat","mean","se","sd","n"
0.1,"sceptre_mixture","Precision",0.934317839239395,0.0116814570793984,0.0522410642115618,20
0.1,"sceptre_mixture","Recall",0.952199849239481,0.000546127247571943,0.00244235529987144,20
0.1,"sceptre_mixture","F1",0.94246584420094,0.00641313828478471,0.02868042630777,20
0.1,"fishash+ Poisson","Precision",0.968185259348631,0.000456950844416129,0.00204354630098079,20
0.1,"fishash+ Poisson","Recall",0.961888938249036,0.000443174632708309,0.00198193720927856,20
0.1,"fishash+ Poisson","F1",0.965025182615174,0.000345072334276452,0.00154321039319336,20
0.3,"sceptre_mixture","Precision",0.920772555751718,0.0163290307135361,0.0730256453642972,20
0.3,"sceptre_mixture","Recall",0.943012934855822,0.000610653455500114,0.0027309252743868,20
0.3,"sceptre_mixture","F1",0.930315746779842,0.00870198787012012,0.0389164728339344,20
0.3,"fishash+ Poisson","Precision",0.972731803975346,0.000391336012516816,0.00175010785206262,20
0.3,"fishash+ Poisson","Recall",0.957291551976281,0.000450100742678576,0.00201291171470488,20
0.3,"fishash+ Poisson","F1",0.96494861716777,0.000335519452458395,0.00150048860694096,20
0.5,"sceptre_mixture","Precision",0.959638574771093,0.00779699092812634,0.0348692034704793,20
0.5,"sceptre_mixture","Recall",0.933189322223933,0.000664714160258587,0.00297269209588978,20
0.5,"sceptre_mixture","F1",0.945936948917622,0.00408400039463384,0.0182642050050745,20
0.5,"fishash+ Poisson","Precision",0.976831605586382,0.000461908348163195,0.00206571693173509,20
0.5,"fishash+ Poisson","Recall",0.951446935807623,0.000462173438194043,0.00206690245039335,20
0.5,"fishash+ Poisson","F1",0.963970552214777,0.000362034057906841,0.00161906552729959,20
1,"sceptre_mixture","Precision",0.975641147737236,0.00503954708362342,0.0225375397095855,20
1,"sceptre_mixture","Recall",0.908661249205011,0.000785477132850427,0.00351276052765038,20
1,"sceptre_mixture","F1",0.940849967871632,0.00256944086006349,0.011490888854535,20
1,"fishash+ Poisson","Precision",0.983800492664581,0.000259301412986663,0.00115963117219985,20
1,"fishash+ Poisson","Recall",0.938281655351261,0.000550997536595138,0.00246413589452331,20
1,"fishash+ Poisson","F1",0.960500979200751,0.000371905796267845,0.00166321328336218,20
2,"sceptre_mixture","Precision",0.985317710612814,0.00202677773620482,0.00906402558687422,20
2,"sceptre_mixture","Recall",0.857671388435528,0.000623553241175958,0.00278861486971952,20
2,"sceptre_mixture","F1",0.917057179164584,0.00104115654905653,0.00465619363781898,20
2,"fishash+ Poisson","Precision",0.991094464342699,0.000166309322674792,0.000743757901585566,20
2,"fishash+ Poisson","Recall",0.907086197861611,0.00040021010948374,0.00178979402017655,20
2,"fishash+ Poisson","F1",0.94723053750381,0.000251193297767543,0.00112337057860115,20
3,"sceptre_mixture","Precision",0.990145934816998,0.00127877376314823,0.00571885012448532,20
3,"sceptre_mixture","Recall",0.804091239135818,0.0010152817128201,0.00454047785235634,20
3,"sceptre_mixture","F1",0.887457032322737,0.000765656444973314,0.00342411971674231,20
3,"fishash+ Poisson","Precision",0.993994248056941,0.00010012844099867,0.000447788001108205,20
3,"fishash+ Poisson","Recall",0.869318970971565,0.000796347056191432,0.00356137230265177,20
3,"fishash+ Poisson","F1",0.92748192615607,0.0004602954517001,0.00205850383947079,20
5,"sceptre_mixture","Precision",0.994448034822596,0.000837767325225301,0.00374660937706389,20
5,"sceptre_mixture","Recall",0.703918743391722,0.00137842085972056,0.00616448548787777,20
5,"sceptre_mixture","F1",0.824320063314368,0.00105830357419885,0.00473287746547924,20
5,"fishash+ Poisson","Precision",0.996626689654238,6.56671121681262e-05,0.000293672253388068,20
5,"fishash+ Poisson","Recall",0.790446947379246,0.00108280068008506,0.00484243185350641,20
5,"fishash+ Poisson","F1",0.881635491830744,0.000679109107556211,0.00303706825726981,20
10,"sceptre_mixture","Precision",0.995432619955094,0.00152649792339168,0.00682670624843214,20
10,"sceptre_mixture","Recall",0.528626937936133,0.00165521193512801,0.0074023328082304,20
10,"sceptre_mixture","F1",0.690506806901475,0.00149385832998714,0.00668073754921114,20
10,"fishash+ Poisson","Precision",0.998448083831765,3.70067997561013e-05,0.00016549943976873,20
10,"fishash+ Poisson","Recall",0.625646949001184,0.00142505225075057,0.00637302740833469,20
10,"fishash+ Poisson","F1",0.769242774766296,0.00108296613406722,0.00484317178620891,20
