"scenario","x","iter","method","F1","Precision","Recall","secs"
"varyMOI",0.1,1,"sceptre_mixture",0.955879248469495,0.956081081081081,0.955677501055298,8.749
"varyMOI",0.1,1,"fishash+ Poisson",0.967576294963077,0.970736629667003,0.964436471084846,0.561999999999999
"varyMOI",0.1,2,"sceptre_mixture",0.94901463517726,0.946763651697238,0.951276347844508,8.733
"varyMOI",0.1,2,"fishash+ Poisson",0.964797913950456,0.969466873429228,0.960173710412033,0.338000000000001
"varyMOI",0.1,3,"sceptre_mixture",0.960183481345174,0.968474284484614,0.952033423237612,7.383
"varyMOI",0.1,3,"fishash+ Poisson",0.964636542239686,0.968545076504772,0.960759426728013,0.489000000000001
"varyMOI",0.1,4,"sceptre_mixture",0.965258365945212,0.976514947481821,0.954258342983472,7.66
"varyMOI",0.1,4,"fishash+ Poisson",0.966645522782535,0.970750610468203,0.962575007895568,0.411999999999999
"varyMOI",0.1,5,"sceptre_mixture",0.934926958831341,0.920473773265651,0.94984126984127,9.114
"varyMOI",0.1,5,"fishash+ Poisson",0.965028280092408,0.968655045578123,0.961428571428571,0.403999999999996
"varyMOI",0.3,1,"sceptre_mixture",0.918623140959686,0.895300606226355,0.943193277310924,9.67
"varyMOI",0.3,1,"fishash+ Poisson",0.96624921425463,0.973024297609193,0.959567827130852,0.285000000000004
"varyMOI",0.3,2,"sceptre_mixture",0.932963410874772,0.921966537001453,0.944225784774887,8.98
"varyMOI",0.3,2,"fishash+ Poisson",0.965060648528488,0.971681588166602,0.958529327061534,0.344000000000008
"varyMOI",0.3,3,"sceptre_mixture",0.955502941248261,0.968576801266825,0.942777322864987,7.878
"varyMOI",0.3,3,"fishash+ Poisson",0.96461960612904,0.972673849167483,0.956697654255575,0.320000000000007
"varyMOI",0.3,4,"sceptre_mixture",0.892246774230253,0.848915255705192,0.940239808153477,7.79000000000001
"varyMOI",0.3,4,"fishash+ Poisson",0.963841999467196,0.973484663176948,0.954388489208633,0.562000000000012
"varyMOI",0.3,5,"sceptre_mixture",0.904086239461925,0.869093485673797,0.942015072241156,7.62599999999999
"varyMOI",0.3,5,"fishash+ Poisson",0.964426495127083,0.971829613022712,0.957135314165027,0.337000000000003
"varyMOI",0.5,1,"sceptre_mixture",0.955676013294965,0.974168902633135,0.937872154115587,7.79900000000001
"varyMOI",0.5,1,"fishash+ Poisson",0.966385809312639,0.978975741239892,0.954115586690018,0.242000000000004
"varyMOI",0.5,2,"sceptre_mixture",0.923407767833869,0.913996989894646,0.933014354066986,7.474
"varyMOI",0.5,2,"fishash+ Poisson",0.961051628205981,0.970756829377519,0.951538562837452,0.335999999999999
"varyMOI",0.5,3,"sceptre_mixture",0.949307522469279,0.96644264826083,0.932769426304948,7.70099999999999
"varyMOI",0.5,3,"fishash+ Poisson",0.962843008939861,0.974845027400952,0.951132927203401,0.308000000000007
"varyMOI",0.5,4,"sceptre_mixture",0.953525784252391,0.968676230252406,0.938841957057374,7.64399999999999
"varyMOI",0.5,4,"fishash+ Poisson",0.965317919075145,0.975642638863922,0.955209433298134,0.344999999999999
"varyMOI",0.5,5,"sceptre_mixture",0.960744875590409,0.987686445797128,0.93523407250968,7.44500000000002
"varyMOI",0.5,5,"fishash+ Poisson",0.964590529247911,0.977242967444801,0.952261527631116,0.407999999999987
"varyMOI",1,1,"sceptre_mixture",0.936093115186121,0.967723626456788,0.906464875593677,7.22200000000001
"varyMOI",1,1,"fishash+ Poisson",0.959359628264934,0.983183898210499,0.936662649748352,0.336999999999989
"varyMOI",1,2,"sceptre_mixture",0.949277092939945,0.993806977728199,0.90856660571107,7.07900000000001
"varyMOI",1,2,"fishash+ Poisson",0.960017305404333,0.984836156520453,0.936418624279083,0.433999999999997
"varyMOI",1,3,"sceptre_mixture",0.9482995439811,0.99001950212229,0.909953606073387,7.334
"varyMOI",1,3,"fishash+ Poisson",0.959948180934902,0.983410749834107,0.937579080556727,0.400999999999982
"varyMOI",1,4,"sceptre_mixture",0.923932608539132,0.940937087549494,0.907531824611033,7.34
"varyMOI",1,4,"fishash+ Poisson",0.961420144041113,0.984545252390483,0.939356435643564,0.300999999999988
"varyMOI",1,5,"sceptre_mixture",0.94852699594787,0.987909204973195,0.91216429699842,7.43600000000001
"varyMOI",1,5,"fishash+ Poisson",0.96199303085821,0.984920372209349,0.940108829208355,0.260999999999996
"varyMOI",2,1,"sceptre_mixture",0.916527065228772,0.987980023137045,0.854712329435887,8.15299999999999
"varyMOI",2,1,"fishash+ Poisson",0.94559142529029,0.990642461834612,0.904459687065199,0.312000000000012
"varyMOI",2,2,"sceptre_mixture",0.91541392092257,0.977649484536082,0.860627767963021,7.876
"varyMOI",2,2,"fishash+ Poisson",0.94823122292527,0.991600190184373,0.908496890201108,0.363
"varyMOI",2,3,"sceptre_mixture",0.922994456646794,0.992744044773181,0.862402579951626,8.68900000000002
"varyMOI",2,3,"fishash+ Poisson",0.948373444829696,0.991523842524722,0.908822164129877,0.573999999999984
"varyMOI",2,4,"sceptre_mixture",0.919857814351376,0.994537826956105,0.855609921519233,7.88999999999999
"varyMOI",2,4,"fishash+ Poisson",0.946542273757231,0.991355765916262,0.90560507702742,0.408000000000015
"varyMOI",2,5,"sceptre_mixture",0.916927390982617,0.984939339004323,0.857701462087725,8.786
"varyMOI",2,5,"fishash+ Poisson",0.947313656320585,0.991895195578231,0.906567251177928,0.450000000000017
"varyMOI",3,1,"sceptre_mixture",0.8872152137074,0.990441632002832,0.803474951986071,8.52199999999999
"varyMOI",3,1,"fishash+ Poisson",0.924849497364404,0.994301994301994,0.864466103063917,0.399000000000001
"varyMOI",3,2,"sceptre_mixture",0.881101895734597,0.986011667992575,0.796369672306704,8.58799999999999
"varyMOI",3,2,"fishash+ Poisson",0.924002291388199,0.993389719165709,0.863675305204541,0.36699999999999
"varyMOI",3,3,"sceptre_mixture",0.892635069780296,0.994370657049872,0.809784749829877,8.49199999999999
"varyMOI",3,3,"fishash+ Poisson",0.929162535275723,0.993536679851568,0.872622757064575,0.360000000000014
"varyMOI",3,4,"sceptre_mixture",0.893470655293054,0.993183307843566,0.811952988247062,8.01500000000001
"varyMOI",3,4,"fishash+ Poisson",0.9301958697243,0.993947641001686,0.874129246597364,0.506000000000029
"varyMOI",3,5,"sceptre_mixture",0.881120553103737,0.989860327692721,0.793906970899233,7.70699999999999
"varyMOI",3,5,"fishash+ Poisson",0.923647473650836,0.993551054154609,0.862933773764429,0.581999999999994
"varyMOI",5,1,"sceptre_mixture",0.834277908755984,0.996986391674907,0.717226349901764,7.81200000000001
"varyMOI",5,1,"fishash+ Poisson",0.886521131088632,0.996981451442274,0.798096248955534,0.413000000000011
"varyMOI",5,2,"sceptre_mixture",0.822350500705826,0.993689437014495,0.701408673630896,8.19400000000002
"varyMOI",5,2,"fishash+ Poisson",0.879263150574952,0.997261059726106,0.786234341789897,0.427999999999997
"varyMOI",5,3,"sceptre_mixture",0.820621996796583,0.995982439372094,0.697767588609822,8.10499999999996
"varyMOI",5,3,"fishash+ Poisson",0.878397329728975,0.996200126662445,0.785509187275142,0.366999999999962
"varyMOI",5,4,"sceptre_mixture",0.828762290379378,0.996274158514737,0.709472733431184,6.92599999999999
"varyMOI",5,4,"fishash+ Poisson",0.881575217782929,0.99700807818889,0.790098227390764,0.57099999999997
"varyMOI",5,5,"sceptre_mixture",0.829611574146878,0.996819298356113,0.710441262288459,6.67200000000003
"varyMOI",5,5,"fishash+ Poisson",0.886548468513383,0.996818812450075,0.798244826502671,0.350999999999999
"varyMOI",10,1,"sceptre_mixture",0.692992632431754,0.996892132937919,0.531091133809057,7.02299999999997
"varyMOI",10,1,"fishash+ Poisson",0.771834572643612,0.998482366767534,0.62904598666107,0.98599999999999
"varyMOI",10,2,"sceptre_mixture",0.688615165107048,0.997339957791066,0.525841784989858,7.16199999999998
"varyMOI",10,2,"fishash+ Poisson",0.766286371527158,0.998659317741695,0.621640104317589,0.786000000000001
"varyMOI",10,3,"sceptre_mixture",0.697747527544843,0.997141076073171,0.536624866965897,7.13899999999995
"varyMOI",10,3,"fishash+ Poisson",0.775424418481222,0.998560154555562,0.633797603072509,0.620000000000005
"varyMOI",10,4,"sceptre_mixture",0.689668044260765,0.997202180977034,0.527109170305677,7.20400000000001
"varyMOI",10,4,"fishash+ Poisson",0.767323644758634,0.998320958173203,0.623138282387191,0.692999999999984
"varyMOI",10,5,"sceptre_mixture",0.684205705212858,0.997074397081071,0.520789030271338,7.19400000000002
"varyMOI",10,5,"fishash+ Poisson",0.760502584504484,0.99828128393756,0.614206031026669,0.784999999999968
"varyNguides",20,1,"sceptre_mixture",0.674451965750661,0.624196158154587,0.733508848910341,0.745000000000005
"varyNguides",20,1,"fishash+ Poisson",0.941030230708035,0.960077106477959,0.922724391789771,0.177000000000021
"varyNguides",20,2,"sceptre_mixture",0.821383719602694,0.995158724669756,0.699275890557418,0.77800000000002
"varyNguides",20,2,"fishash+ Poisson",0.945703144281554,0.96078431372549,0.931088108081839,0.187999999999988
"varyNguides",20,3,"sceptre_mixture",0.812816861293079,0.977864583333333,0.695438151866654,0.795000000000016
"varyNguides",20,3,"fishash+ Poisson",0.939850724425582,0.94072265625,0.93898040744712,0.235000000000014
"varyNguides",20,4,"sceptre_mixture",0.85559233733109,0.969320627113434,0.765748700762543,0.728999999999985
"varyNguides",20,4,"fishash+ Poisson",0.94448275862069,0.958123032332217,0.931225411627568,0.230999999999995
"varyNguides",20,5,"sceptre_mixture",0.769355711965349,0.998360655737705,0.625807398708162,0.706999999999994
"varyNguides",20,5,"fishash+ Poisson",0.936933366361159,0.948730811678539,0.925425719318849,0.192999999999984
"varyNguides",200,1,"sceptre_mixture",0.961366867676619,0.97854184340536,0.944784389303782,6.84800000000001
"varyNguides",200,1,"fishash+ Poisson",0.966642353513251,0.975656441717791,0.957793302818598,0.283000000000015
"varyNguides",200,2,"sceptre_mixture",0.965013362100669,0.985823773981866,0.945063388398002,6.98599999999999
"varyNguides",200,2,"fishash+ Poisson",0.964765710134399,0.973083874749646,0.956588551671149,0.30499999999995
"varyNguides",200,3,"sceptre_mixture",0.958089692462016,0.974080891497935,0.94261505873291,7.02699999999999
"varyNguides",200,3,"fishash+ Poisson",0.963784111582777,0.971300053781841,0.956383593298671,0.288000000000011
"varyNguides",200,4,"sceptre_mixture",0.926596985786053,0.91421188630491,0.939322262985132,7.02699999999999
"varyNguides",200,4,"fishash+ Poisson",0.962721114955412,0.971957099281708,0.953659007530411,0.323000000000036
"varyNguides",200,5,"sceptre_mixture",0.922664660805792,0.904507327864319,0.941565918249856,6.98199999999997
"varyNguides",200,5,"fishash+ Poisson",0.966502081518056,0.975283313794451,0.957877566685857,0.286999999999978
"varyNguides",2000,1,"sceptre_mixture",0.960383401969993,0.961518059507161,0.959251419224478,53.399
"varyNguides",2000,1,"fishash+ Poisson",0.966004372582467,0.964822191294332,0.967189454440489,0.266999999999996
"varyNguides",2000,2,"sceptre_mixture",0.967598306110103,0.976030072251513,0.959310973561729,53.439
"varyNguides",2000,2,"fishash+ Poisson",0.966859169442381,0.965725227381522,0.96799577755386,0.41799999999995
"varyNguides",2000,3,"sceptre_mixture",0.95696312155693,0.957723420647149,0.956204028652469,54.742
"varyNguides",2000,3,"fishash+ Poisson",0.962480233839667,0.959354253235898,0.96562665256478,0.355000000000018
"varyNguides",2000,4,"sceptre_mixture",0.965505555421074,0.972117962466488,0.958982496633968,54.295
"varyNguides",2000,4,"fishash+ Poisson",0.964133301366579,0.961413407286985,0.96686862858242,0.346000000000004
"varyNguides",2000,5,"sceptre_mixture",0.960051638815176,0.960809646856158,0.959294825856385,52.945
"varyNguides",2000,5,"fishash+ Poisson",0.963689144815115,0.959943114482105,0.967464526300702,0.34599999999989
"varyNguides",20000,1,"sceptre_mixture",0.921952347906546,0.887384779801398,0.959322197082752,357.372
"varyNguides",20000,1,"fishash+ Poisson",0.955385671345057,0.939705745413912,0.971597747075531,0.34699999999998
