"scenario","x","method","F1","Precision","Recall","secs"
"varyMOI",0.1,"sceptre_mixture",0.953052537953696,0.953661547602081,0.952617376992432,8.733
"varyMOI",0.1,"fishash+ Poisson",0.965736910805632,0.969630847129466,0.961874637509806,0.411999999999999
"varyMOI",0.3,"sceptre_mixture",0.920684501354979,0.900770537174724,0.942490253069086,7.878
"varyMOI",0.3,"fishash+ Poisson",0.964839592701287,0.972538802228588,0.957263722364324,0.337000000000003
"varyMOI",0.5,"sceptre_mixture",0.948532392688183,0.962194243367629,0.935546392810915,7.64399999999999
"varyMOI",0.5,"fishash+ Poisson",0.964037778956307,0.975492640865417,0.952851607532024,0.335999999999999
"varyMOI",1,"sceptre_mixture",0.941225871318834,0.976079279765993,0.908936241797517,7.334
"varyMOI",1,"fishash+ Poisson",0.960547657900698,0.984179285832978,0.938025123887216,0.336999999999989
"varyMOI",2,"sceptre_mixture",0.918344129626426,0.987570143681347,0.858210812191498,8.15299999999999
"varyMOI",2,"fishash+ Poisson",0.947210404624614,0.99140349120764,0.906790213920306,0.408000000000015
"varyMOI",3,"sceptre_mixture",0.887108677523817,0.990773518516313,0.803097866653789,8.49199999999999
"varyMOI",3,"fishash+ Poisson",0.926371533480692,0.993745417695113,0.867565437138965,0.399000000000001
"varyMOI",5,"sceptre_mixture",0.82712485415693,0.995950344986469,0.707263321572425,7.81200000000001
"varyMOI",5,"fishash+ Poisson",0.882461059537774,0.996853905693958,0.791636566382802,0.413000000000011
"varyMOI",10,"sceptre_mixture",0.690645814911454,0.997129948972052,0.528291197268365,7.16199999999998
"varyMOI",10,"fishash+ Poisson",0.768274318383022,0.998460816235111,0.624365601493006,0.784999999999968
"varyNguides",20,"sceptre_mixture",0.786720119188575,0.912980149801763,0.703955798161024,0.745000000000005
"varyNguides",20,"fishash+ Poisson",0.941600044879404,0.953687584092841,0.929888807653029,0.192999999999984
"varyNguides",200,"sceptre_mixture",0.94674631376623,0.951433144610878,0.942670203533936,6.98599999999999
"varyNguides",200,"fishash+ Poisson",0.964883074340779,0.973456156665087,0.956460404400937,0.288000000000011
"varyNguides",2000,"sceptre_mixture",0.962100404774655,0.965639832345694,0.958608748785806,53.439
"varyNguides",2000,"fishash+ Poisson",0.964633244409242,0.962251638736168,0.96702900788845,0.346000000000004
"varyNguides",20000,"sceptre_mixture",0.921952347906546,0.887384779801398,0.959322197082752,357.372
"varyNguides",20000,"fishash+ Poisson",0.955385671345057,0.939705745413912,0.971597747075531,0.34699999999998
