"method","sim_label","subset","TN","FN","FP","TP","Precision","Recall","secs"
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_1","full",379392,2407,64,18137,0.996483709686281,0.882836838006231,0.157778978347778
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_1","nonzero",214431,2355,64,18137,0.996483709686281,0.885077103259809,0.157778978347778
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_1","full",379390,2420,66,18124,0.996371632765256,0.882204049844237,1.50044703483582
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_1","nonzero",214429,2368,66,18124,0.996371632765256,0.88444270934999,1.50044703483582
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_1","full",379223,1926,233,18618,0.987639913001963,0.90625,0.147057056427002
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_1","nonzero",214262,1874,233,18618,0.987639913001963,0.908549677923092,0.147057056427002
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_1","full",379411,2540,45,18004,0.997506787079617,0.87636292834891,0.348676919937134
"fishash_poisson_rawd","corr_high_unif_0.000000_sum_1e+06_iter_1","nonzero",214450,2488,45,18004,0.997506787079617,0.87858676556705,0.348676919937134
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_1","full",379137,1827,319,18717,0.983242277789452,0.911068925233645,0.605605125427246
"fishash+_contingency","corr_high_unif_0.000000_sum_1e+06_iter_1","nonzero",214176,1775,319,18717,0.983242277789452,0.913380831544017,0.605605125427246
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_2","full",379390,2155,49,18406,0.997344892982931,0.895189922669131,0.168774127960205
"fishash_refit0","corr_high_unif_0.000000_sum_1e+06_iter_2","nonzero",224295,2083,49,18406,0.997344892982931,0.89833569232271,0.168774127960205
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_2","full",379381,2184,58,18377,0.996853810686195,0.893779485433588,1.45097494125366
"fishash_refit10","corr_high_unif_0.000000_sum_1e+06_iter_2","nonzero",224286,2112,58,18377,0.996853810686195,0.896920298696862,1.45097494125366
"fishash+_poisson","corr_high_unif_0.000000_sum_1e+06_iter_2","full",379209,1687,230,18874,0.987960636515913,0.917951461504791,0.15018105506897
