"x","method","Precision","Recall","F1","F1_sd","n"
"low","fishash (refit10)",0.996746070638562,0.913446927074192,0.953233246082756,NA,20
"low","fishash+ Poisson (ours)",0.980951496829663,0.93606601242851,0.957966081341468,NA,20
"low","fishash+ contingency (depth_fix)",0.981933851751694,0.935113144065601,0.957933680693317,NA,20
"low","fishash Poisson, raw depth",0.997697426728582,0.909842871347268,0.951689850306922,NA,20
"low","fishash (refit0, uncorrected)",0.803329937962622,0.883092734141864,0.84033765622926,NA,20
"mid","fishash (refit10)",0.997043478070116,0.892504429594088,0.941817939587433,NA,20
"mid","fishash+ Poisson (ours)",0.9880464939089,0.923180853968455,0.954481153577653,NA,20
"mid","fishash+ contingency (depth_fix)",0.986117174620025,0.922818997895784,0.953383607566812,NA,20
"mid","fishash Poisson, raw depth",0.997871499883575,0.883170937590862,0.936903684849545,NA,20
"mid","fishash (refit0, uncorrected)",0.951996434828214,0.890215523504486,0.919726477632781,NA,20
"high","fishash (refit10)",0.996690935328086,0.893341657571557,0.942174229729011,NA,20
"high","fishash+ Poisson (ours)",0.987829936713863,0.918618183614547,0.951953873822426,NA,20
"high","fishash+ contingency (depth_fix)",0.983539851212874,0.923792940202464,0.952718656894302,NA,20
"high","fishash Poisson, raw depth",0.997541340928129,0.88694257607695,0.938973607000363,NA,20
"high","fishash (refit0, uncorrected)",0.996784636652742,0.894719680865513,0.94298367017506,NA,20
