"method","sim_label","subset","TN","FN","FP","TP","Precision","Recall","secs"
"fishash_refit0","moi_0.100000_iter_1","full",3980836,741,212,18211,0.988492645063236,0.960901224145209,0.646532773971558
"fishash_refit0","moi_0.100000_iter_1","nonzero",516512,580,212,18211,0.988492645063236,0.969134159970198,0.646532773971558
"fishash_refit10","moi_0.100000_iter_1","full",3980993,708,55,18244,0.996994371277119,0.962642465175179,2.11571311950684
"fishash_refit10","moi_0.100000_iter_1","nonzero",516669,547,55,18244,0.996994371277119,0.970890319833963,2.11571311950684
"fishash+_poisson","moi_0.100000_iter_1","full",3980497,674,551,18278,0.970736629667003,0.964436471084846,0.504488945007324
"fishash+_poisson","moi_0.100000_iter_1","nonzero",516173,513,551,18278,0.970736629667003,0.972699696663296,0.504488945007324
"fishash_poisson_rawd","moi_0.100000_iter_1","full",3980997,723,51,18229,0.997210065645514,0.961850991979738,0.197249174118042
"fishash_poisson_rawd","moi_0.100000_iter_1","nonzero",516673,562,51,18229,0.997210065645514,0.970092065350434,0.197249174118042
"fishash+_contingency","moi_0.100000_iter_1","full",3980463,675,585,18277,0.968985261372071,0.96438370620515,0.965072870254517
"fishash+_contingency","moi_0.100000_iter_1","nonzero",516139,514,585,18277,0.968985261372071,0.972646479697728,0.965072870254517
"fishash_refit0","moi_0.100000_iter_2","full",3980972,829,146,18053,0.991977581185779,0.956095752568584,0.642160892486572
"fishash_refit0","moi_0.100000_iter_2","nonzero",519371,644,146,18053,0.991977581185779,0.965555971546237,0.642160892486572
"fishash_refit10","moi_0.100000_iter_2","full",3981049,814,69,18068,0.996195622208745,0.956890159940684,2.23931002616882
"fishash_refit10","moi_0.100000_iter_2","nonzero",519448,629,69,18068,0.996195622208745,0.966358239289726,2.23931002616882
"fishash+_poisson","moi_0.100000_iter_2","full",3980547,752,571,18130,0.969466873429228,0.960173710412033,0.319788932800293
"fishash+_poisson","moi_0.100000_iter_2","nonzero",518946,567,571,18130,0.969466873429228,0.969674279296144,0.319788932800293
"fishash_poisson_rawd","moi_0.100000_iter_2","full",3981054,828,64,18054,0.996467601280494,0.956148713060057,0.520428895950317
"fishash_poisson_rawd","moi_0.100000_iter_2","nonzero",519453,643,64,18054,0.996467601280494,0.96560945606247,0.520428895950317
"fishash+_contingency","moi_0.100000_iter_2","full",3980519,760,599,18122,0.9680038459484,0.959750026480246,1.13597393035889
"fishash+_contingency","moi_0.100000_iter_2","nonzero",518918,575,599,18122,0.9680038459484,0.969246403166283,1.13597393035889
"fishash_refit0","moi_0.100000_iter_3","full",3980869,814,222,18095,0.98788011137195,0.95695171611402,0.665298938751221
"fishash_refit0","moi_0.100000_iter_3","nonzero",525442,633,222,18095,0.98788011137195,0.966200341734302,0.665298938751221
"fishash_refit10","moi_0.100000_iter_3","full",3981043,778,48,18131,0.997359590736564,0.958855571421016,2.06424498558044
"fishash_refit10","moi_0.100000_iter_3","nonzero",525616,597,48,18131,0.997359590736564,0.968122597180692,2.06424498558044
"fishash+_poisson","moi_0.100000_iter_3","full",3980501,742,590,18167,0.968545076504772,0.960759426728013,0.520099878311157
"fishash+_poisson","moi_0.100000_iter_3","nonzero",525074,561,590,18167,0.968545076504772,0.970044852627082,0.520099878311157
"fishash_poisson_rawd","moi_0.100000_iter_3","full",3981044,788,47,18121,0.997413033905768,0.958326722724628,0.204150915145874
"fishash_poisson_rawd","moi_0.100000_iter_3","nonzero",525617,607,47,18121,0.997413033905768,0.967588637334472,0.204150915145874
"fishash+_contingency","moi_0.100000_iter_3","full",3980486,741,605,18168,0.96777286528525,0.960812311597652,1.01514720916748
"fishash+_contingency","moi_0.100000_iter_3","nonzero",525059,560,605,18168,0.96777286528525,0.970098248611704,1.01514720916748
"fishash_refit0","moi_0.100000_iter_4","full",3980773,771,229,18227,0.987592110966623,0.959416780713759,0.658673048019409
"fishash_refit0","moi_0.100000_iter_4","nonzero",489198,606,229,18227,0.987592110966623,0.96782243933521,0.658673048019409
"fishash_refit10","moi_0.100000_iter_4","full",3980933,746,69,18252,0.996233830031112,0.96073270870618,1.80309581756592
"fishash_refit10","moi_0.100000_iter_4","nonzero",489358,581,69,18252,0.996233830031112,0.969149896458344,1.80309581756592
"fishash+_poisson","moi_0.100000_iter_4","full",3980451,711,551,18287,0.970750610468203,0.962575007895568,0.56437087059021
"fishash+_poisson","moi_0.100000_iter_4","nonzero",488876,546,551,18287,0.970750610468203,0.971008336430733,0.56437087059021
"fishash_poisson_rawd","moi_0.100000_iter_4","full",3980940,761,62,18237,0.996611836712389,0.959943151910727,0.246572017669678
"fishash_poisson_rawd","moi_0.100000_iter_4","nonzero",489365,596,62,18237,0.996611836712389,0.968353422184463,0.246572017669678
"fishash+_contingency","moi_0.100000_iter_4","full",3980420,711,582,18287,0.969155758121787,0.962575007895568,0.549120187759399
"fishash+_contingency","moi_0.100000_iter_4","nonzero",488845,546,582,18287,0.969155758121787,0.971008336430733,0.549120187759399
"fishash_refit0","moi_0.100000_iter_5","full",3980948,805,152,18095,0.991669863539212,0.957407407407407,0.656974077224731
"fishash_refit0","moi_0.100000_iter_5","nonzero",517779,614,152,18095,0.991669863539212,0.967181570367203,0.656974077224731
"fishash_refit10","moi_0.100000_iter_5","full",3981033,773,67,18127,0.996317467296911,0.959100529100529,1.84552001953125
"fishash_refit10","moi_0.100000_iter_5","nonzero",517864,582,67,18127,0.996317467296911,0.96889197712331,1.84552001953125
"fishash+_poisson","moi_0.100000_iter_5","full",3980512,729,588,18171,0.968655045578123,0.961428571428571,0.515843868255615
"fishash+_poisson","moi_0.100000_iter_5","nonzero",517343,538,588,18171,0.968655045578123,0.971243786412956,0.515843868255615
"fishash_poisson_rawd","moi_0.100000_iter_5","full",3981044,777,56,18123,0.996919522525991,0.958888888888889,0.259230852127075
"fishash_poisson_rawd","moi_0.100000_iter_5","nonzero",517875,586,56,18123,0.996919522525991,0.968678176278796,0.259230852127075
"fishash+_contingency","moi_0.100000_iter_5","full",3980490,731,610,18169,0.967516907183556,0.961322751322751,1.01481795310974
"fishash+_contingency","moi_0.100000_iter_5","nonzero",517321,540,610,18169,0.967516907183556,0.9711368859907,1.01481795310974
"fishash_refit0","moi_0.100000_iter_6","full",3980909,830,210,18051,0.98850008214227,0.956040463958477,0.655236959457397
"fishash_refit0","moi_0.100000_iter_6","nonzero",514237,665,210,18051,0.98850008214227,0.964468903611883,0.655236959457397
"fishash_refit10","moi_0.100000_iter_6","full",3981058,804,61,18077,0.996636894916749,0.957417509665802,2.10342788696289
"fishash_refit10","moi_0.100000_iter_6","nonzero",514386,639,61,18077,0.996636894916749,0.965858089335328,2.10342788696289
"fishash+_poisson","moi_0.100000_iter_6","full",3980538,740,581,18141,0.968966990706121,0.960807160637678,0.476996898651123
"fishash+_poisson","moi_0.100000_iter_6","nonzero",513866,575,581,18141,0.968966990706121,0.969277623423809,0.476996898651123
"fishash_poisson_rawd","moi_0.100000_iter_6","full",3981061,821,58,18060,0.996798763660448,0.956517133626397,0.268378019332886
"fishash_poisson_rawd","moi_0.100000_iter_6","nonzero",514389,656,58,18060,0.996798763660448,0.964949775593075,0.268378019332886
"fishash+_contingency","moi_0.100000_iter_6","full",3980535,745,584,18136,0.968803418803419,0.9605423441555,1.12634301185608
"fishash+_contingency","moi_0.100000_iter_6","nonzero",513863,580,584,18136,0.968803418803419,0.969010472323146,1.12634301185608
"fishash_refit0","moi_0.100000_iter_7","full",3980900,714,173,18213,0.990590666811705,0.962276113488667,0.654804944992065
"fishash_refit0","moi_0.100000_iter_7","nonzero",518572,574,173,18213,0.990590666811705,0.969446958002874,0.654804944992065
"fishash_refit10","moi_0.100000_iter_7","full",3981016,700,57,18227,0.996882520236272,0.963015797537909,1.84514117240906
"fishash_refit10","moi_0.100000_iter_7","nonzero",518688,560,57,18227,0.996882520236272,0.970192154149146,1.84514117240906
"fishash+_poisson","moi_0.100000_iter_7","full",3980524,654,549,18273,0.970832005100414,0.965446187985418,0.384315967559814
