"method","moi","F1","source"
"cleanser_cs",0.1,0.93,"paper (digitized)"
"cleanser_cs",0.3,0.94,"paper (digitized)"
"cleanser_cs",0.5,0.93,"paper (digitized)"
"cleanser_cs",1,0.94,"paper (digitized)"
"cleanser_cs",2,0.92,"paper (digitized)"
"cleanser_cs",3,0.9,"paper (digitized)"
"cleanser_cs",5,0.86,"paper (digitized)"
"cleanser_cs",10,0.75,"paper (digitized)"
"cleanser_dc",0.1,0.96,"paper (digitized)"
"cleanser_dc",0.3,0.96,"paper (digitized)"
"cleanser_dc",0.5,0.95,"paper (digitized)"
"cleanser_dc",1,0.95,"paper (digitized)"
"cleanser_dc",2,0.93,"paper (digitized)"
"cleanser_dc",3,0.91,"paper (digitized)"
"cleanser_dc",5,0.88,"paper (digitized)"
"cleanser_dc",10,0.77,"paper (digitized)"
"crispat_gauss",0.1,0.65,"paper (digitized)"
"crispat_gauss",0.3,0.65,"paper (digitized)"
"crispat_gauss",0.5,0.72,"paper (digitized)"
"crispat_gauss",1,0.79,"paper (digitized)"
"crispat_gauss",2,0.85,"paper (digitized)"
"crispat_gauss",3,0.85,"paper (digitized)"
"crispat_gauss",5,0.8,"paper (digitized)"
"crispat_gauss",10,0.72,"paper (digitized)"
"crispat_poisgauss",0.1,0.94,"paper (digitized)"
"crispat_poisgauss",0.3,0.94,"paper (digitized)"
"crispat_poisgauss",0.5,0.95,"paper (digitized)"
"crispat_poisgauss",1,0.93,"paper (digitized)"
"crispat_poisgauss",2,0.92,"paper (digitized)"
"crispat_poisgauss",3,0.89,"paper (digitized)"
"crispat_poisgauss",5,0.88,"paper (digitized)"
"crispat_poisgauss",10,0.81,"paper (digitized)"
"crispat_poisson",0.1,0.95,"paper (digitized)"
"crispat_poisson",0.3,0.95,"paper (digitized)"
"crispat_poisson",0.5,0.94,"paper (digitized)"
"crispat_poisson",1,0.92,"paper (digitized)"
"crispat_poisson",2,0.9,"paper (digitized)"
"crispat_poisson",3,0.86,"paper (digitized)"
"crispat_poisson",5,0.85,"paper (digitized)"
"crispat_poisson",10,0.75,"paper (digitized)"
"crispat_negbinom",0.1,0.97,"paper (digitized)"
"crispat_negbinom",0.3,0.96,"paper (digitized)"
"crispat_negbinom",0.5,0.95,"paper (digitized)"
"crispat_negbinom",1,0.94,"paper (digitized)"
"crispat_negbinom",2,0.92,"paper (digitized)"
"crispat_negbinom",3,0.9,"paper (digitized)"
"crispat_negbinom",5,0.87,"paper (digitized)"
"crispat_negbinom",10,0.75,"paper (digitized)"
"sceptre_mixture",0.1,0.92,"paper (digitized)"
"sceptre_mixture",0.3,0.92,"paper (digitized)"
"sceptre_mixture",0.5,0.93,"paper (digitized)"
"sceptre_mixture",1,0.9,"paper (digitized)"
"sceptre_mixture",2,0.91,"paper (digitized)"
"sceptre_mixture",3,0.88,"paper (digitized)"
"sceptre_mixture",5,0.82,"paper (digitized)"
"sceptre_mixture",10,0.68,"paper (digitized)"
"demuxem",0.1,0.94,"paper (digitized)"
"demuxem",0.3,0.94,"paper (digitized)"
"demuxem",0.5,0.92,"paper (digitized)"
"demuxem",1,0.88,"paper (digitized)"
"demuxem",2,0.84,"paper (digitized)"
"demuxem",3,0.79,"paper (digitized)"
"demuxem",5,0.7,"paper (digitized)"
"demuxem",10,0.51,"paper (digitized)"
"geomux",0.1,0.93,"paper (digitized)"
"geomux",0.3,0.93,"paper (digitized)"
"geomux",0.5,0.92,"paper (digitized)"
"geomux",1,0.92,"paper (digitized)"
"geomux",2,0.9,"paper (digitized)"
"geomux",3,0.89,"paper (digitized)"
"geomux",5,0.85,"paper (digitized)"
"geomux",10,0.75,"paper (digitized)"
"fishash (digitized)",0.1,0.97,"paper (digitized)"
"fishash (digitized)",0.3,0.96,"paper (digitized)"
"fishash (digitized)",0.5,0.96,"paper (digitized)"
"fishash (digitized)",1,0.95,"paper (digitized)"
"fishash (digitized)",2,0.92,"paper (digitized)"
"fishash (digitized)",3,0.88,"paper (digitized)"
"fishash (digitized)",5,0.82,"paper (digitized)"
"fishash (digitized)",10,0.66,"paper (digitized)"
"fishash+ Poisson (ours)",0.1,0.96570429670401,"exact (this work)"
"fishash",0.1,0.977623255185946,"exact (this work)"
"fishash+ Poisson (ours)",0.3,0.964843387863516,"exact (this work)"
"fishash",0.3,0.97278349015314,"exact (this work)"
"fishash+ Poisson (ours)",0.5,0.964083309668692,"exact (this work)"
"fishash",0.5,0.967857089060074,"exact (this work)"
"fishash+ Poisson (ours)",1,0.960985419218664,"exact (this work)"
"fishash",1,0.954762629521514,"exact (this work)"
"fishash+ Poisson (ours)",2,0.947526131485008,"exact (this work)"
"fishash",2,0.924258440458101,"exact (this work)"
"fishash+ Poisson (ours)",3,0.92709447912973,"exact (this work)"
"fishash",3,0.889971206343265,"exact (this work)"
"fishash+ Poisson (ours)",5,0.882838697099329,"exact (this work)"
"fishash",5,0.818243334673633,"exact (this work)"
"fishash+ Poisson (ours)",10,0.768815021014526,"exact (this work)"
"fishash",10,0.659856102570368,"exact (this work)"
