"x","method","Precision","Recall","F1","F1_sd","n"
0.1,"fishash (refit10)",0.996506923155168,0.959443644417209,0.977623255185946,NA,10
0.1,"fishash+ Poisson (ours)",0.969536495182162,0.961903083329326,0.96570429670401,NA,10
0.1,"fishash+ contingency (depth_fix)",0.968253532275343,0.961775952984251,0.965003176431134,NA,10
0.1,"fishash Poisson, raw depth",0.996806064535318,0.958851551088002,0.977459612499152,NA,10
0.1,"fishash (refit0, uncorrected)",0.989103369233969,0.95822284751371,0.973416105533396,NA,10
0.3,"fishash (refit10)",0.996815764273543,0.949886717890104,0.97278349015314,NA,10
0.3,"fishash+ Poisson (ours)",0.972677563108914,0.957138185401109,0.964843387863516,NA,10
0.3,"fishash+ contingency (depth_fix)",0.9713684149534,0.957123715102716,0.964191545536766,NA,10
0.3,"fishash Poisson, raw depth",0.997074913565553,0.949295789273152,0.97259681727738,NA,10
0.3,"fishash (refit0, uncorrected)",0.99022715060824,0.947850671138081,0.968573655288194,NA,10
0.5,"fishash (refit10)",0.997009726539904,0.940362609329345,0.967857089060074,NA,10
0.5,"fishash+ Poisson (ours)",0.976405418692578,0.95207184438737,0.964083309668692,NA,10
0.5,"fishash+ contingency (depth_fix)",0.97528601820658,0.95211573559792,0.963559820415767,NA,10
0.5,"fishash Poisson, raw depth",0.99730956934705,0.939603059992391,0.967595716831028,NA,10
0.5,"fishash (refit0, uncorrected)",0.992053451533985,0.938745841196262,0.96466108200972,NA,10
1,"fishash (refit10)",0.997882694487294,0.915217413938334,0.954762629521514,NA,10
1,"fishash+ Poisson (ours)",0.984185299825571,0.938855490833321,0.960985419218664,NA,10
1,"fishash+ contingency (depth_fix)",0.98339662335068,0.939257005003692,0.960819492494634,NA,10
1,"fishash Poisson, raw depth",0.998038632746449,0.91446347173247,0.954423495869551,NA,10
1,"fishash (refit0, uncorrected)",0.993690080211976,0.912967477757953,0.951617591042272,NA,10
2,"fishash (refit10)",0.998613912681891,0.860213780067982,0.924258440458101,NA,10
2,"fishash+ Poisson (ours)",0.991224833927852,0.907519087936655,0.947526131485008,NA,10
2,"fishash+ contingency (depth_fix)",0.990758785077201,0.908424225628036,0.947805943384843,NA,10
2,"fishash Poisson, raw depth",0.998783623506924,0.858825884989387,0.923529134316594,NA,10
2,"fishash (refit0, uncorrected)",0.996248738158032,0.857900583972078,0.921911754129203,NA,10
3,"fishash (refit10)",0.999107871978999,0.802346833797319,0.889971206343265,NA,10
3,"fishash+ Poisson (ours)",0.993914478455094,0.868701307072478,0.92709447912973,NA,10
3,"fishash+ contingency (depth_fix)",0.993670464878487,0.870127778134368,0.927800250137233,NA,10
3,"fishash Poisson, raw depth",0.999199706409379,0.800602014416371,0.888932200845791,NA,10
3,"fishash (refit0, uncorrected)",0.997029504759067,0.798207381938311,0.886598795995907,NA,10
5,"fishash (refit10)",0.999436211705109,0.692689727327379,0.818243334673633,NA,10
5,"fishash+ Poisson (ours)",0.996724766054849,0.792326207832591,0.882838697099329,NA,10
5,"fishash+ contingency (depth_fix)",0.996628260427198,0.794603929914088,0.884212525981276,NA,10
5,"fishash Poisson, raw depth",0.999498314040188,0.690232666880242,0.816546699398671,NA,10
5,"fishash (refit0, uncorrected)",0.998274527773265,0.690248844576625,0.816152697114593,NA,10
10,"fishash (refit10)",0.999586514974589,0.49249724606257,0.659856102570368,NA,10
10,"fishash+ Poisson (ours)",0.99848340815392,0.625061126961013,0.768815021014526,NA,10
10,"fishash+ contingency (depth_fix)",0.998479853864036,0.628566412208911,0.7714595379,NA,10
10,"fishash Poisson, raw depth",0.99962694499357,0.489728844999484,0.657375015225593,NA,10
10,"fishash (refit0, uncorrected)",0.999103656257874,0.492033461873706,0.659338369424775,NA,10
