"method","sim_label","subset","TN","FN","FP","TP","Precision","Recall","secs"
"fishash_refit0","moi_0.100000_iter_1","full",3981048,4396,88,14468,0.993954383072273,0.76696352841391,0.171597003936768
"fishash_refit0","moi_0.100000_iter_1","nonzero",272913,2824,88,14468,0.993954383072273,0.836687485542447,0.171597003936768
"fishash_refit10","moi_0.100000_iter_1","full",3981048,4366,88,14498,0.993966817496229,0.768553859202714,1.57982492446899
"fishash_refit10","moi_0.100000_iter_1","nonzero",272913,2794,88,14498,0.993966817496229,0.838422391857506,1.57982492446899
"fishash+_poisson","moi_0.100000_iter_1","full",3980843,4391,293,14473,0.980157117702831,0.767228583545377,0.633258104324341
"fishash+_poisson","moi_0.100000_iter_1","nonzero",272708,2819,293,14473,0.980157117702831,0.836976636594957,0.633258104324341
"fishash_poisson_rawd","moi_0.100000_iter_1","full",3981061,4480,75,14384,0.994812919289024,0.762510602205259,0.128827095031738
"fishash_poisson_rawd","moi_0.100000_iter_1","nonzero",272926,2908,75,14384,0.994812919289024,0.831829747860282,0.128827095031738
"fishash+_contingency","moi_0.100000_iter_1","full",3980802,4323,334,14541,0.977546218487395,0.770833333333333,0.470083951950073
"fishash+_contingency","moi_0.100000_iter_1","nonzero",272667,2751,334,14541,0.977546218487395,0.840909090909091,0.470083951950073
"fishash_refit0","moi_0.100000_iter_2","full",3980988,4564,100,14348,0.993078626799557,0.758671742808799,0.180088996887207
"fishash_refit0","moi_0.100000_iter_2","nonzero",284262,2949,100,14348,0.993078626799557,0.829508007168873,0.180088996887207
"fishash_refit10","moi_0.100000_iter_2","full",3980978,4558,110,14354,0.992394911504425,0.758989001692047,2.03900599479675
"fishash_refit10","moi_0.100000_iter_2","nonzero",284252,2943,110,14354,0.992394911504425,0.82985488813089,2.03900599479675
"fishash+_poisson","moi_0.100000_iter_2","full",3980717,4538,371,14374,0.974838928450322,0.760046531302876,0.495053052902222
"fishash+_poisson","moi_0.100000_iter_2","nonzero",283991,2923,371,14374,0.974838928450322,0.831011158004278,0.495053052902222
"fishash_poisson_rawd","moi_0.100000_iter_2","full",3980984,4625,104,14287,0.992773261065944,0.75544627749577,0.199506044387817
"fishash_poisson_rawd","moi_0.100000_iter_2","nonzero",284258,3010,104,14287,0.992773261065944,0.825981384055038,0.199506044387817
"fishash+_contingency","moi_0.100000_iter_2","full",3980694,4505,394,14407,0.973380177015067,0.761791455160745,0.931666135787964
"fishash+_contingency","moi_0.100000_iter_2","nonzero",283968,2890,394,14407,0.973380177015067,0.832919003295369,0.931666135787964
"fishash_refit0","moi_0.100000_iter_3","full",3981086,4653,116,14145,0.991865928055536,0.752473667411427,0.16746997833252
"fishash_refit0","moi_0.100000_iter_3","nonzero",274064,3160,116,14145,0.991865928055536,0.817393816815949,0.16746997833252
"fishash_refit10","moi_0.100000_iter_3","full",3981081,4623,121,14175,0.991536094012311,0.754069581870412,2.21274280548096
"fishash_refit10","moi_0.100000_iter_3","nonzero",274059,3130,121,14175,0.991536094012311,0.819127419820861,2.21274280548096
"fishash+_poisson","moi_0.100000_iter_3","full",3980905,4648,297,14150,0.979442098705614,0.752739653154591,0.187465906143188
"fishash+_poisson","moi_0.100000_iter_3","nonzero",273883,3155,297,14150,0.979442098705614,0.817682750650101,0.187465906143188
"fishash_poisson_rawd","moi_0.100000_iter_3","full",3981095,4744,107,14054,0.992444036438105,0.747632726885839,0.262714147567749
"fishash_poisson_rawd","moi_0.100000_iter_3","nonzero",274073,3251,107,14054,0.992444036438105,0.812135221034383,0.262714147567749
"fishash+_contingency","moi_0.100000_iter_3","full",3980884,4564,318,14234,0.978147333699835,0.757208213639749,0.655815124511719
"fishash+_contingency","moi_0.100000_iter_3","nonzero",273862,3071,318,14234,0.978147333699835,0.822536839063854,0.655815124511719
"fishash_refit0","moi_0.100000_iter_4","full",3980862,4388,98,14652,0.99335593220339,0.76953781512605,0.181225061416626
"fishash_refit0","moi_0.100000_iter_4","nonzero",289016,2829,98,14652,0.99335593220339,0.838167152908872,0.181225061416626
"fishash_refit10","moi_0.100000_iter_4","full",3980864,4368,96,14672,0.993499458288191,0.770588235294118,2.46974492073059
"fishash_refit10","moi_0.100000_iter_4","nonzero",289018,2809,96,14672,0.993499458288191,0.839311252216692,2.46974492073059
"fishash+_poisson","moi_0.100000_iter_4","full",3980648,4350,312,14690,0.979202772963605,0.771533613445378,0.183581829071045
"fishash+_poisson","moi_0.100000_iter_4","nonzero",288802,2791,312,14690,0.979202772963605,0.84034094159373,0.183581829071045
"fishash_poisson_rawd","moi_0.100000_iter_4","full",3980876,4443,84,14597,0.994278318915605,0.766649159663866,0.179638862609863
"fishash_poisson_rawd","moi_0.100000_iter_4","nonzero",289030,2884,84,14597,0.994278318915605,0.835020879812368,0.179638862609863
"fishash+_contingency","moi_0.100000_iter_4","full",3980609,4331,351,14709,0.976693227091633,0.772531512605042,0.504948854446411
"fishash+_contingency","moi_0.100000_iter_4","nonzero",288763,2772,351,14709,0.976693227091633,0.841427835936159,0.504948854446411
"fishash_refit0","moi_0.100000_iter_5","full",3981011,4478,106,14405,0.992695196747295,0.7628554784727,0.174804925918579
"fishash_refit0","moi_0.100000_iter_5","nonzero",282280,2945,106,14405,0.992695196747295,0.830259365994236,0.174804925918579
"fishash_refit10","moi_0.100000_iter_5","full",3980998,4447,119,14436,0.991824115424253,0.764497166763756,2.23380708694458
"fishash_refit10","moi_0.100000_iter_5","nonzero",282267,2914,119,14436,0.991824115424253,0.832046109510087,2.23380708694458
"fishash+_poisson","moi_0.100000_iter_5","full",3980794,4433,323,14450,0.978135788262371,0.765238574379071,0.174422979354858
"fishash+_poisson","moi_0.100000_iter_5","nonzero",282063,2900,323,14450,0.978135788262371,0.832853025936599,0.174422979354858
"fishash_poisson_rawd","moi_0.100000_iter_5","full",3981010,4543,107,14340,0.992593618052191,0.759413228830165,0.174153089523315
"fishash_poisson_rawd","moi_0.100000_iter_5","nonzero",282279,3010,107,14340,0.992593618052191,0.826512968299712,0.174153089523315
"fishash+_contingency","moi_0.100000_iter_5","full",3980754,4390,363,14493,0.975565428109855,0.767515754911825,0.64343786239624
"fishash+_contingency","moi_0.100000_iter_5","nonzero",282023,2857,363,14493,0.975565428109855,0.835331412103746,0.64343786239624
"fishash_refit0","moi_0.100000_iter_6","full",3981054,4444,94,14408,0.993518135429596,0.764269043072353,0.177950143814087
"fishash_refit0","moi_0.100000_iter_6","nonzero",274275,3011,94,14408,0.993518135429596,0.827142775130605,0.177950143814087
"fishash_refit10","moi_0.100000_iter_6","full",3981047,4447,101,14405,0.993037363849442,0.764109908762996,2.172776222229
"fishash_refit10","moi_0.100000_iter_6","nonzero",274268,3014,101,14405,0.993037363849442,0.82697054940008,2.172776222229
"fishash+_poisson","moi_0.100000_iter_6","full",3980852,4437,296,14415,0.979879002107267,0.764640356460853,0.168007135391235
"fishash+_poisson","moi_0.100000_iter_6","nonzero",274073,3004,296,14415,0.979879002107267,0.827544635168494,0.168007135391235
"fishash_poisson_rawd","moi_0.100000_iter_6","full",3981056,4530,92,14322,0.993617316497849,0.759707192870783,0.176239967346191
"fishash_poisson_rawd","moi_0.100000_iter_6","nonzero",274277,3097,92,14322,0.993617316497849,0.822205637522246,0.176239967346191
"fishash+_contingency","moi_0.100000_iter_6","full",3980830,4391,318,14461,0.978482982610461,0.767080415870995,0.284923076629639
"fishash+_contingency","moi_0.100000_iter_6","nonzero",274051,2958,318,14461,0.978482982610461,0.830185429703198,0.284923076629639
"fishash_refit0","moi_0.100000_iter_7","full",3980934,4748,92,14226,0.993574521581226,0.749762833350901,0.178670167922974
"fishash_refit0","moi_0.100000_iter_7","nonzero",281963,3214,92,14226,0.993574521581226,0.815711009174312,0.178670167922974
"fishash_refit10","moi_0.100000_iter_7","full",3980922,4724,104,14250,0.992754632854953,0.751027722146095,2.01385498046875
"fishash_refit10","moi_0.100000_iter_7","nonzero",281951,3190,104,14250,0.992754632854953,0.817087155963303,2.01385498046875
"fishash+_poisson","moi_0.100000_iter_7","full",3980711,4711,315,14263,0.978392097681438,0.751712870243491,0.190112829208374
"fishash+_poisson","moi_0.100000_iter_7","nonzero",281740,3177,315,14263,0.978392097681438,0.81783256880734,0.190112829208374
"fishash_poisson_rawd","moi_0.100000_iter_7","full",3980935,4817,91,14157,0.993613138686131,0.74612627806472,0.376501083374023
"fishash_poisson_rawd","moi_0.100000_iter_7","nonzero",281964,3283,91,14157,0.993613138686131,0.811754587155963,0.376501083374023
"fishash+_contingency","moi_0.100000_iter_7","full",3980691,4661,335,14313,0.977129983615511,0.754348055233477,0.778450012207031
"fishash+_contingency","moi_0.100000_iter_7","nonzero",281720,3127,335,14313,0.977129983615511,0.820699541284404,0.778450012207031
"fishash_refit0","moi_0.100000_iter_8","full",3980950,4500,114,14436,0.992164948453608,0.762357414448669,0.178144931793213
"fishash_refit0","moi_0.100000_iter_8","nonzero",270062,3050,114,14436,0.992164948453608,0.825574745510694,0.178144931793213
"fishash_refit10","moi_0.100000_iter_8","full",3980940,4489,124,14447,0.991489945782719,0.762938318546684,1.93481206893921
"fishash_refit10","moi_0.100000_iter_8","nonzero",270052,3039,124,14447,0.991489945782719,0.826203820199016,1.93481206893921
"fishash+_poisson","moi_0.100000_iter_8","full",3980698,4492,366,14444,0.975286968264686,0.762779890156316,0.170248031616211
"fishash+_poisson","moi_0.100000_iter_8","nonzero",269810,3042,366,14444,0.975286968264686,0.826032254374929,0.170248031616211
"fishash_poisson_rawd","moi_0.100000_iter_8","full",3980953,4588,111,14348,0.992323120547756,0.757710181664554,0.173820018768311
"fishash_poisson_rawd","moi_0.100000_iter_8","nonzero",270065,3138,111,14348,0.992323120547756,0.820542148004118,0.173820018768311
"fishash+_contingency","moi_0.100000_iter_8","full",3980657,4440,407,14496,0.972690062403543,0.76552598225602,0.565943002700806
"fishash+_contingency","moi_0.100000_iter_8","nonzero",269769,2990,407,14496,0.972690062403543,0.829006061992451,0.565943002700806
