"method","sim_label","subset","TN","FN","FP","TP","Precision","Recall","secs"
"fishash_refit0","moi_0.100000_iter_1","full",3978629,809,2420,18142,0.882307168563369,0.957310959843808,0.64800214767456
"fishash_refit0","moi_0.100000_iter_1","nonzero",450120,614,2420,18142,0.882307168563369,0.967263808914481,0.64800214767456
"fishash_refit10","moi_0.100000_iter_1","full",3979975,773,1074,18178,0.944213588198629,0.959210595746926,2.16592621803284
"fishash_refit10","moi_0.100000_iter_1","nonzero",451466,578,1074,18178,0.944213588198629,0.969183194711026,2.16592621803284
"fishash+_poisson","moi_0.100000_iter_1","full",3975126,723,5923,18228,0.754751356051509,0.961848978945702,0.406177043914795
"fishash+_poisson","moi_0.100000_iter_1","nonzero",446617,528,5923,18228,0.754751356051509,0.971849008317338,0.406177043914795
"fishash_poisson_rawd","moi_0.100000_iter_1","full",3980072,784,977,18167,0.948965733389051,0.958630151443196,0.288508892059326
"fishash_poisson_rawd","moi_0.100000_iter_1","nonzero",451563,589,977,18167,0.948965733389051,0.968596715717637,0.288508892059326
"fishash+_contingency","moi_0.100000_iter_1","full",3974921,728,6128,18223,0.748347090468564,0.961585140625824,1.20461106300354
"fishash+_contingency","moi_0.100000_iter_1","nonzero",446412,533,6128,18223,0.748347090468564,0.971582426956707,1.20461106300354
"fishash_refit0","moi_0.100000_iter_2","full",3978911,785,2135,18169,0.894848305752561,0.958583940065422,0.648157835006714
"fishash_refit0","moi_0.100000_iter_2","nonzero",436038,625,2135,18169,0.894848305752561,0.966744705757157,0.648157835006714
"fishash_refit10","moi_0.100000_iter_2","full",3979989,763,1057,18191,0.945085203657523,0.95974464492983,1.97923994064331
"fishash_refit10","moi_0.100000_iter_2","nonzero",437116,603,1057,18191,0.945085203657523,0.967915292114505,1.97923994064331
"fishash+_poisson","moi_0.100000_iter_2","full",3975297,709,5749,18245,0.760398432941569,0.962593647778833,0.508949041366577
"fishash+_poisson","moi_0.100000_iter_2","nonzero",432424,549,5749,18245,0.760398432941569,0.970788549537086,0.508949041366577
"fishash_poisson_rawd","moi_0.100000_iter_2","full",3980085,773,961,18181,0.949796259534009,0.959217051809644,0.459725141525269
