"method","sim_label","subset","TN","FN","FP","TP","Precision","Recall","secs"
"fishash_refit0","nguides_20_iter_1","full",378724,2315,765,18196,0.959654026686356,0.887133733118814,0.146600961685181
"fishash_refit0","nguides_20_iter_1","nonzero",182734,2187,765,18196,0.959654026686356,0.892704704901143,0.146600961685181
"fishash_refit10","nguides_20_iter_1","full",379434,2073,55,18438,0.997025901692532,0.898932280239871,1.70409297943115
"fishash_refit10","nguides_20_iter_1","nonzero",183444,1945,55,18438,0.997025901692532,0.904577343864986,1.70409297943115
"fishash+_poisson","nguides_20_iter_1","full",378702,1585,787,18926,0.960077106477959,0.922724391789771,0.223886966705322
"fishash+_poisson","nguides_20_iter_1","nonzero",182712,1457,787,18926,0.960077106477959,0.928518863759015,0.223886966705322
"fishash_poisson_rawd","nguides_20_iter_1","full",379451,2223,38,18288,0.997926443304595,0.891619131197894,0.227033853530884
"fishash_poisson_rawd","nguides_20_iter_1","nonzero",183461,2095,38,18288,0.997926443304595,0.897218270127067,0.227033853530884
"fishash+_contingency","nguides_20_iter_1","full",378649,1524,840,18987,0.957633530034801,0.925698405733509,0.363293170928955
"fishash+_contingency","nguides_20_iter_1","nonzero",182659,1396,840,18987,0.957633530034801,0.931511553745769,0.363293170928955
"fishash_refit0","nguides_20_iter_2","full",378620,2133,803,18444,0.958279212344781,0.896340574427759,0.145581960678101
"fishash_refit0","nguides_20_iter_2","nonzero",189053,2020,803,18444,0.958279212344781,0.901290070367475,0.145581960678101
"fishash_refit10","nguides_20_iter_2","full",379376,1982,47,18595,0.997478811286343,0.903678864751908,1.74997210502625
"fishash_refit10","nguides_20_iter_2","nonzero",189809,1869,47,18595,0.997478811286343,0.908668881939015,1.74997210502625
"fishash+_poisson","nguides_20_iter_2","full",378641,1418,782,19159,0.96078431372549,0.931088108081839,0.216917037963867
"fishash+_poisson","nguides_20_iter_2","nonzero",189074,1305,782,19159,0.96078431372549,0.936229476153245,0.216917037963867
"fishash_poisson_rawd","nguides_20_iter_2","full",379391,2094,32,18483,0.998271671617607,0.898235894445254,0.19287896156311
"fishash_poisson_rawd","nguides_20_iter_2","nonzero",189824,1981,32,18483,0.998271671617607,0.903195856137608,0.19287896156311
"fishash+_contingency","nguides_20_iter_2","full",378555,1397,868,19180,0.956703910614525,0.932108665014336,0.37883996963501
"fishash+_contingency","nguides_20_iter_2","nonzero",188988,1284,868,19180,0.956703910614525,0.937255668491009,0.37883996963501
"fishash_refit0","nguides_20_iter_3","full",378653,1937,829,18581,0.957290056671819,0.905595087240472,0.138607978820801
"fishash_refit0","nguides_20_iter_3","nonzero",166048,1829,829,18581,0.957290056671819,0.910387065164135,0.138607978820801
"fishash_refit10","nguides_20_iter_3","full",379407,1825,75,18693,0.996003836317136,0.911053708938493,1.73868989944458
"fishash_refit10","nguides_20_iter_3","nonzero",166802,1717,75,18693,0.996003836317136,0.915874571288584,1.73868989944458
"fishash+_poisson","nguides_20_iter_3","full",378268,1252,1214,19266,0.94072265625,0.93898040744712,0.283581972122192
"fishash+_poisson","nguides_20_iter_3","nonzero",165663,1144,1214,19266,0.94072265625,0.943949044585987,0.283581972122192
"fishash_poisson_rawd","nguides_20_iter_3","full",379428,2039,54,18479,0.997086278530189,0.900623842479774,0.23319411277771
"fishash_poisson_rawd","nguides_20_iter_3","nonzero",166823,1931,54,18479,0.997086278530189,0.905389514943655,0.23319411277771
"fishash+_contingency","nguides_20_iter_3","full",378217,1247,1265,19271,0.938400857031554,0.939224095915781,0.427499055862427
"fishash+_contingency","nguides_20_iter_3","nonzero",165612,1139,1265,19271,0.938400857031554,0.944194022537972,0.427499055862427
"fishash_refit0","nguides_20_iter_4","full",378977,2078,434,18511,0.977091580892056,0.899072320170965,0.13950514793396
"fishash_refit0","nguides_20_iter_4","nonzero",170115,2001,434,18511,0.977091580892056,0.902447347893916,0.13950514793396
"fishash_refit10","nguides_20_iter_4","full",379361,2140,50,18449,0.997297151197362,0.896061003448443,1.70837593078613
