"x","method","Precision","Recall","F1","F1_sd","n"
20,"fishash (refit10)",0.996553391217759,0.900182808878623,0.945900117260134,NA,10
20,"fishash+ Poisson (ours)",0.955504019176604,0.928555955067199,0.941789871271942,NA,10
20,"fishash+ contingency (depth_fix)",0.952112185656302,0.9301582449708,0.940973384885375,NA,10
20,"fishash Poisson, raw depth",0.997529665802914,0.891955254635061,0.941762647356208,NA,10
20,"fishash (refit0, uncorrected)",0.95824178805055,0.898077331826548,0.927049040108521,NA,10
200,"fishash (refit10)",0.996641445880397,0.949622020709763,0.972562937369914,NA,10
200,"fishash+ Poisson (ours)",0.973912820293417,0.956863083243395,0.965311755138183,NA,10
200,"fishash+ contingency (depth_fix)",0.972840078468652,0.95682954227817,0.964767393977605,NA,10
200,"fishash Poisson, raw depth",0.996931214253185,0.948958149299163,0.972352583242809,NA,10
200,"fishash (refit0, uncorrected)",0.991607724532884,0.9484377905291,0.969540770807038,NA,10
2000,"fishash (refit10)",0.994126019338713,0.964080174931777,0.978872154536162,NA,10
2000,"fishash+ Poisson (ours)",0.962587130286576,0.966689379351627,0.964632777948094,NA,10
2000,"fishash+ contingency (depth_fix)",0.961778543024153,0.966698954411086,0.96423141874662,NA,10
2000,"fishash Poisson, raw depth",0.994316787175871,0.963917027116045,0.97888054331921,NA,10
2000,"fishash (refit0, uncorrected)",0.993987714435314,0.963327121124505,0.978416880358923,NA,10
