"method","sim_label","subset","TN","FN","FP","TP","Precision","Recall","secs"
"fishash_refit0","nguides_20_iter_1","full",379302,7478,158,13062,0.988048411497731,0.635929892891918,0.117511034011841
"fishash_refit0","nguides_20_iter_1","nonzero",141784,6183,158,13062,0.988048411497731,0.678721745908028,0.117511034011841
"fishash_refit10","nguides_20_iter_1","full",379384,7568,76,12972,0.994175352544451,0.631548198636806,0.571187973022461
"fishash_refit10","nguides_20_iter_1","nonzero",141866,6273,76,12972,0.994175352544451,0.674045206547155,0.571187973022461
"fishash+_poisson","nguides_20_iter_1","full",379242,7466,218,13074,0.983599157387902,0.6365141187926,0.155591011047363
"fishash+_poisson","nguides_20_iter_1","nonzero",141724,6171,218,13074,0.983599157387902,0.679345284489478,0.155591011047363
"fishash_poisson_rawd","nguides_20_iter_1","full",379417,8035,43,12505,0.996573159069174,0.608812074001947,0.143404960632324
"fishash_poisson_rawd","nguides_20_iter_1","nonzero",141899,6740,43,12505,0.996573159069174,0.64977916341907,0.143404960632324
"fishash+_contingency","nguides_20_iter_1","full",379216,7232,244,13308,0.981995277449823,0.647906523855891,0.307939052581787
"fishash+_contingency","nguides_20_iter_1","nonzero",141698,5937,244,13308,0.981995277449823,0.691504286827747,0.307939052581787
"fishash_refit0","nguides_20_iter_2","full",379275,8151,155,12419,0.987672975982186,0.603743315508021,0.105041027069092
"fishash_refit0","nguides_20_iter_2","nonzero",105604,7104,155,12419,0.987672975982186,0.636121497720637,0.105041027069092
"fishash_refit10","nguides_20_iter_2","full",379320,8053,110,12517,0.991288508751089,0.608507535245503,0.487107992172241
"fishash_refit10","nguides_20_iter_2","nonzero",105649,7006,110,12517,0.991288508751089,0.641141218050505,0.487107992172241
"fishash+_poisson","nguides_20_iter_2","full",379196,8444,234,12126,0.981067961165049,0.589499270782693,0.130201101303101
"fishash+_poisson","nguides_20_iter_2","nonzero",105525,7397,234,12126,0.981067961165049,0.621113558367054,0.130201101303101
"fishash_poisson_rawd","nguides_20_iter_2","full",379358,9047,72,11523,0.99379042690815,0.560184735051045,0.154815912246704
"fishash_poisson_rawd","nguides_20_iter_2","nonzero",105687,8000,72,11523,0.99379042690815,0.590226911847564,0.154815912246704
"fishash+_contingency","nguides_20_iter_2","full",379138,7605,292,12965,0.977973900580825,0.630286825473991,0.260088920593262
"fishash+_contingency","nguides_20_iter_2","nonzero",105467,6558,292,12965,0.977973900580825,0.664088510987041,0.260088920593262
"fishash_refit0","nguides_20_iter_3","full",379368,8173,68,12391,0.994542098081708,0.602557868119043,0.110810041427612
"fishash_refit0","nguides_20_iter_3","nonzero",131571,7090,68,12391,0.994542098081708,0.636055643960782,0.110810041427612
"fishash_refit10","nguides_20_iter_3","full",379363,8226,73,12338,0.994118121021674,0.599980548531414,0.417503118515015
"fishash_refit10","nguides_20_iter_3","nonzero",131566,7143,73,12338,0.994118121021674,0.633335044402238,0.417503118515015
"fishash+_poisson","nguides_20_iter_3","full",379278,8380,158,12184,0.987198185059148,0.592491733125851,0.141155004501343
"fishash+_poisson","nguides_20_iter_3","nonzero",131481,7297,158,12184,0.987198185059148,0.625429906062317,0.141155004501343
"fishash_poisson_rawd","nguides_20_iter_3","full",379384,8898,52,11666,0.995562382659157,0.567302081307139,0.147855043411255
"fishash_poisson_rawd","nguides_20_iter_3","nonzero",131587,7815,52,11666,0.995562382659157,0.598839895282583,0.147855043411255
"fishash+_contingency","nguides_20_iter_3","full",379211,7840,225,12724,0.982624140860298,0.618751215716787,0.276087045669556
"fishash+_contingency","nguides_20_iter_3","nonzero",131414,6757,225,12724,0.982624140860298,0.653149222319183,0.276087045669556
"fishash_refit0","nguides_20_iter_4","full",379442,7013,90,13455,0.993355481727575,0.657367598202072,0.116429090499878
"fishash_refit0","nguides_20_iter_4","nonzero",152569,5623,90,13455,0.993355481727575,0.705262606143202,0.116429090499878
"fishash_refit10","nguides_20_iter_4","full",379465,6979,67,13489,0.995057539097079,0.659028727770178,0.460165023803711
"fishash_refit10","nguides_20_iter_4","nonzero",152592,5589,67,13489,0.995057539097079,0.707044763602055,0.460165023803711
"fishash+_poisson","nguides_20_iter_4","full",379359,6910,173,13558,0.987400771975821,0.662399843658394,0.157378911972046
"fishash+_poisson","nguides_20_iter_4","nonzero",152486,5520,173,13558,0.987400771975821,0.71066149491561,0.157378911972046
"fishash_poisson_rawd","nguides_20_iter_4","full",379491,7347,41,13121,0.996884971888771,0.641049443033027,0.122885942459106
"fishash_poisson_rawd","nguides_20_iter_4","nonzero",152618,5957,41,13121,0.996884971888771,0.687755529929762,0.122885942459106
"fishash+_contingency","nguides_20_iter_4","full",379295,6651,237,13817,0.983136473601822,0.675053742427203,0.250541925430298
"fishash+_contingency","nguides_20_iter_4","nonzero",152422,5261,237,13817,0.983136473601822,0.724237341440403,0.250541925430298
"fishash_refit0","nguides_20_iter_5","full",379399,7832,121,12648,0.990523925131177,0.617578125,0.122058868408203
