"method","sim_label","subset","TN","FN","FP","TP","Precision","Recall","secs"
"fishash_refit0","nguides_20_iter_1","full",377322,7407,2174,13097,0.85763866151529,0.638753413968006,0.136506795883179
"fishash_refit0","nguides_20_iter_1","nonzero",115392,5991,2174,13097,0.85763866151529,0.686137887678122,0.136506795883179
"fishash_refit10","nguides_20_iter_1","full",377695,7492,1801,13012,0.878417606156754,0.634607881388997,1.04510903358459
"fishash_refit10","nguides_20_iter_1","nonzero",115765,6076,1801,13012,0.878417606156754,0.681684828164292,1.04510903358459
"fishash+_poisson","nguides_20_iter_1","full",374502,7179,4994,13325,0.727386866095311,0.649873195474054,0.321597099304199
"fishash+_poisson","nguides_20_iter_1","nonzero",112572,5763,4994,13325,0.727386866095311,0.69808256496228,0.321597099304199
"fishash_poisson_rawd","nguides_20_iter_1","full",378114,7905,1382,12599,0.901151562835276,0.614465470152165,0.192790985107422
"fishash_poisson_rawd","nguides_20_iter_1","nonzero",116184,6489,1382,12599,0.901151562835276,0.66004819782062,0.192790985107422
"fishash+_contingency","nguides_20_iter_1","full",373451,6910,6045,13594,0.692194103569428,0.662992586812329,0.454820871353149
"fishash+_contingency","nguides_20_iter_1","nonzero",111521,5494,6045,13594,0.692194103569428,0.712175188600168,0.454820871353149
"fishash_refit0","nguides_20_iter_2","full",377750,7386,1680,13184,0.88697524219591,0.64093339815265,0.136500835418701
"fishash_refit0","nguides_20_iter_2","nonzero",114380,6112,1680,13184,0.88697524219591,0.683250414593698,0.136500835418701
"fishash_refit10","nguides_20_iter_2","full",377887,7364,1543,13206,0.895382737812733,0.642002916869227,0.786750078201294
"fishash_refit10","nguides_20_iter_2","nonzero",114517,6090,1543,13206,0.895382737812733,0.684390547263682,0.786750078201294
"fishash+_poisson","nguides_20_iter_2","full",375290,7226,4140,13344,0.763212079615649,0.648711716091395,0.205387115478516
"fishash+_poisson","nguides_20_iter_2","nonzero",111920,5952,4140,13344,0.763212079615649,0.691542288557214,0.205387115478516
"fishash_poisson_rawd","nguides_20_iter_2","full",378255,7891,1175,12679,0.915186949617439,0.616383082158483,0.201887845993042
"fishash_poisson_rawd","nguides_20_iter_2","nonzero",114885,6617,1175,12679,0.915186949617439,0.657079187396352,0.201887845993042
"fishash+_contingency","nguides_20_iter_2","full",374210,6784,5220,13786,0.725349889508576,0.67019931939718,0.370667934417725
"fishash+_contingency","nguides_20_iter_2","nonzero",110840,5510,5220,13786,0.725349889508576,0.714448590381426,0.370667934417725
"fishash_refit0","nguides_20_iter_3","full",377624,7997,1829,12550,0.872800612003616,0.610794763225775,0.134844064712524
"fishash_refit0","nguides_20_iter_3","nonzero",104855,6820,1829,12550,0.872800612003616,0.647909137842024,0.134844064712524
"fishash_refit10","nguides_20_iter_3","full",377894,7857,1559,12690,0.890588813250053,0.617608409986859,0.644449949264526
"fishash_refit10","nguides_20_iter_3","nonzero",105125,6680,1559,12690,0.890588813250053,0.655136809499226,0.644449949264526
"fishash+_poisson","nguides_20_iter_3","full",375371,7919,4082,12628,0.755715140634351,0.614590937849808,0.198102951049805
"fishash+_poisson","nguides_20_iter_3","nonzero",102602,6742,4082,12628,0.755715140634351,0.651935983479608,0.198102951049805
"fishash_poisson_rawd","nguides_20_iter_3","full",378291,8589,1162,11958,0.911432926829268,0.581982771207476,0.134433031082153
"fishash_poisson_rawd","nguides_20_iter_3","nonzero",105522,7412,1162,11958,0.911432926829268,0.617346411977284,0.134433031082153
"fishash+_contingency","nguides_20_iter_3","full",374294,7146,5159,13401,0.722036637931034,0.652212001752081,0.370137929916382
"fishash+_contingency","nguides_20_iter_3","nonzero",101525,5969,5159,13401,0.722036637931034,0.691843056272586,0.370137929916382
"fishash_refit0","nguides_20_iter_4","full",377675,7579,1776,12970,0.879560558795606,0.631174266387659,0.131856918334961
"fishash_refit0","nguides_20_iter_4","nonzero",110654,6180,1776,12970,0.879560558795606,0.677284595300261,0.131856918334961
"fishash_refit10","nguides_20_iter_4","full",377739,7630,1712,12919,0.882988175791128,0.628692393790452,0.810819149017334
"fishash_refit10","nguides_20_iter_4","nonzero",110718,6231,1712,12919,0.882988175791128,0.674621409921671,0.810819149017334
"fishash+_poisson","nguides_20_iter_4","full",375279,7413,4172,13136,0.758955396348509,0.639252518370724,0.257671117782593
"fishash+_poisson","nguides_20_iter_4","nonzero",108258,6014,4172,13136,0.758955396348509,0.685953002610966,0.257671117782593
"fishash_poisson_rawd","nguides_20_iter_4","full",378191,8175,1260,12374,0.907583981223412,0.602170421918341,0.173697948455811
"fishash_poisson_rawd","nguides_20_iter_4","nonzero",111170,6776,1260,12374,0.907583981223412,0.646161879895561,0.173697948455811
"fishash+_contingency","nguides_20_iter_4","full",374126,7031,5325,13518,0.717401687629358,0.657842230765487,0.390717029571533
"fishash+_contingency","nguides_20_iter_4","nonzero",107105,5632,5325,13518,0.717401687629358,0.705900783289817,0.390717029571533
"fishash_refit0","nguides_20_iter_5","full",377392,7964,2054,12590,0.85973777656378,0.612532840323051,0.121078968048096
"fishash_refit0","nguides_20_iter_5","nonzero",113458,6513,2054,12590,0.85973777656378,0.659058786578024,0.121078968048096
"fishash_refit10","nguides_20_iter_5","full",377619,7855,1827,12699,0.874225526641883,0.617835944341734,0.674547910690308
"fishash_refit10","nguides_20_iter_5","nonzero",113685,6404,1827,12699,0.874225526641883,0.664764696644506,0.674547910690308
"fishash+_poisson","nguides_20_iter_5","full",374748,7700,4698,12854,0.732338195077484,0.625377055560961,0.258059978485107
"fishash+_poisson","nguides_20_iter_5","nonzero",110814,6249,4698,12854,0.732338195077484,0.672878605454641,0.258059978485107
"fishash_poisson_rawd","nguides_20_iter_5","full",378091,8364,1355,12190,0.899963086009598,0.5930719081444,0.15876317024231
"fishash_poisson_rawd","nguides_20_iter_5","nonzero",114157,6913,1355,12190,0.899963086009598,0.638119667068,0.15876317024231
"fishash+_contingency","nguides_20_iter_5","full",373504,7247,5942,13307,0.69130863940984,0.647416561253284,0.381814002990723
"fishash+_contingency","nguides_20_iter_5","nonzero",109570,5796,5942,13307,0.69130863940984,0.696592158299744,0.381814002990723
"fishash_refit0","nguides_20_iter_6","full",378059,8769,1596,11576,0.878833890069845,0.568985008601622,0.122632026672363
"fishash_refit0","nguides_20_iter_6","nonzero",100063,7621,1596,11576,0.878833890069845,0.603010887117779,0.122632026672363
"fishash_refit10","nguides_20_iter_6","full",378083,9164,1572,11181,0.876734885909198,0.549569918898992,0.635569095611572
"fishash_refit10","nguides_20_iter_6","nonzero",100087,8016,1572,11181,0.876734885909198,0.582434755430536,0.635569095611572
"fishash+_poisson","nguides_20_iter_6","full",375983,9227,3672,11118,0.751724137931034,0.546473334971738,0.24089503288269
"fishash+_poisson","nguides_20_iter_6","nonzero",97987,8079,3672,11118,0.751724137931034,0.579152992655102,0.24089503288269
"fishash_poisson_rawd","nguides_20_iter_6","full",378299,10544,1356,9801,0.878461952137671,0.481739985254362,0.174510955810547
"fishash_poisson_rawd","nguides_20_iter_6","nonzero",100303,9396,1356,9801,0.878461952137671,0.510548523206751,0.174510955810547
"fishash+_contingency","nguides_20_iter_6","full",375102,8536,4553,11809,0.721733284439555,0.580437453919882,0.386373996734619
"fishash+_contingency","nguides_20_iter_6","nonzero",97106,7388,4553,11809,0.721733284439555,0.615148200239621,0.386373996734619
"fishash_refit0","nguides_20_iter_7","full",377473,8482,2095,11950,0.850836596653613,0.584866875489428,0.129387140274048
"fishash_refit0","nguides_20_iter_7","nonzero",108966,7297,2095,11950,0.850836596653613,0.620875980672313,0.129387140274048
"fishash_refit10","nguides_20_iter_7","full",377751,8430,1817,12002,0.868514364281062,0.587411902897416,0.659692049026489
"fishash_refit10","nguides_20_iter_7","nonzero",109244,7245,1817,12002,0.868514364281062,0.623577700420845,0.659692049026489
"fishash+_poisson","nguides_20_iter_7","full",375543,8584,4025,11848,0.746424746424746,0.579874706342991,0.229088068008423
"fishash+_poisson","nguides_20_iter_7","nonzero",107036,7399,4025,11848,0.746424746424746,0.615576453473269,0.229088068008423
"fishash_poisson_rawd","nguides_20_iter_7","full",378163,9330,1405,11102,0.887662908771088,0.543363351605325,0.185647010803223
"fishash_poisson_rawd","nguides_20_iter_7","nonzero",109656,8145,1405,11102,0.887662908771088,0.576817166311633,0.185647010803223
"fishash+_contingency","nguides_20_iter_7","full",374587,7843,4981,12589,0.716505406943654,0.616141346906813,0.375906944274902
"fishash+_contingency","nguides_20_iter_7","nonzero",106080,6658,4981,12589,0.716505406943654,0.654075959889853,0.375906944274902
"fishash_refit0","nguides_20_iter_8","full",377554,8063,1974,12409,0.862754640895502,0.606144978507229,0.126585006713867
"fishash_refit0","nguides_20_iter_8","nonzero",116978,6870,1974,12409,0.862754640895502,0.64365371647907,0.126585006713867
"fishash_refit10","nguides_20_iter_8","full",377754,8192,1774,12280,0.873772591433044,0.599843688940993,0.655704021453857
"fishash_refit10","nguides_20_iter_8","nonzero",117178,6999,1774,12280,0.873772591433044,0.636962498054878,0.655704021453857
"fishash+_poisson","nguides_20_iter_8","full",375069,7957,4459,12515,0.737304112171556,0.61132278233685,0.248039960861206
"fishash+_poisson","nguides_20_iter_8","nonzero",114493,6764,4459,12515,0.737304112171556,0.649151926967166,0.248039960861206
"fishash_poisson_rawd","nguides_20_iter_8","full",378151,8836,1377,11636,0.894182740336587,0.568386088315748,0.196747779846191
"fishash_poisson_rawd","nguides_20_iter_8","nonzero",117575,7643,1377,11636,0.894182740336587,0.603558275844183,0.196747779846191
"fishash+_contingency","nguides_20_iter_8","full",374086,7590,5442,12882,0.703012442698101,0.629249706916764,0.500077962875366
"fishash+_contingency","nguides_20_iter_8","nonzero",113510,6397,5442,12882,0.703012442698101,0.668188184034442,0.500077962875366
"fishash_refit0","nguides_20_iter_9","full",377464,7273,1940,13323,0.872895236847278,0.646873179258108,0.124096155166626
"fishash_refit0","nguides_20_iter_9","nonzero",111871,5970,1940,13323,0.872895236847278,0.690561343492458,0.124096155166626
"fishash_refit10","nguides_20_iter_9","full",377706,7321,1698,13275,0.886595872570627,0.644542629636823,0.579879999160767
"fishash_refit10","nguides_20_iter_9","nonzero",112113,6018,1698,13275,0.886595872570627,0.688073394495413,0.579879999160767
"fishash+_poisson","nguides_20_iter_9","full",374760,7070,4644,13526,0.74441386901486,0.656729462031462,0.323809146881104
"fishash+_poisson","nguides_20_iter_9","nonzero",109167,5767,4644,13526,0.74441386901486,0.70108329445913,0.323809146881104
"fishash_poisson_rawd","nguides_20_iter_9","full",378071,7799,1333,12797,0.905661712668082,0.621334239658186,0.161226034164429
"fishash_poisson_rawd","nguides_20_iter_9","nonzero",112478,6496,1333,12797,0.905661712668082,0.663297569066501,0.161226034164429
"fishash+_contingency","nguides_20_iter_9","full",373712,6715,5692,13881,0.709191232820722,0.673965818605554,0.455358982086182
"fishash+_contingency","nguides_20_iter_9","nonzero",108119,5412,5692,13881,0.709191232820722,0.719483750583113,0.455358982086182
"fishash_refit0","nguides_20_iter_10","full",377808,7940,1649,12603,0.884296940780241,0.613493647471158,0.121119022369385
"fishash_refit0","nguides_20_iter_10","nonzero",102847,6685,1649,12603,0.884296940780241,0.653411447532144,0.121119022369385
"fishash_refit10","nguides_20_iter_10","full",377904,7935,1553,12608,0.890332603629687,0.613737039380811,0.681544065475464
"fishash_refit10","nguides_20_iter_10","nonzero",102943,6680,1553,12608,0.890332603629687,0.653670676068022,0.681544065475464
"fishash+_poisson","nguides_20_iter_10","full",375642,7975,3815,12568,0.767136666056278,0.611789904103588,0.204405069351196
"fishash+_poisson","nguides_20_iter_10","nonzero",100681,6720,3815,12568,0.767136666056278,0.651596847781004,0.204405069351196
"fishash_poisson_rawd","nguides_20_iter_10","full",378209,8777,1248,11766,0.904103273397879,0.572749841795259,0.18981409072876
"fishash_poisson_rawd","nguides_20_iter_10","nonzero",103248,7522,1248,11766,0.904103273397879,0.610016590626296,0.18981409072876
"fishash+_contingency","nguides_20_iter_10","full",374571,7298,4886,13245,0.730516794440461,0.644745168670593,0.531598091125488
