"method","sim_label","subset","TN","FN","FP","TP","Precision","Recall","secs"
"fishash_refit0","nguides_20_iter_1","full",374420,2281,5074,18225,0.782222412979098,0.888764264117819,0.305299043655396
"fishash_refit0","nguides_20_iter_1","nonzero",145639,2146,5074,18225,0.782222412979098,0.894654165234893,0.305299043655396
"fishash_refit10","nguides_20_iter_1","full",376581,2050,2913,18456,0.863681033272498,0.90002925972886,1.50350594520569
"fishash_refit10","nguides_20_iter_1","nonzero",147800,1915,2913,18456,0.863681033272498,0.905993814736635,1.50350594520569
"fishash+_poisson","nguides_20_iter_1","full",365810,1423,13684,19083,0.582384716330454,0.930605676387399,0.454210996627808
"fishash+_poisson","nguides_20_iter_1","nonzero",137029,1288,13684,19083,0.582384716330454,0.936772863384223,0.454210996627808
"fishash_poisson_rawd","nguides_20_iter_1","full",377015,2197,2479,18309,0.880748508755051,0.892860626158198,0.240252017974854
"fishash_poisson_rawd","nguides_20_iter_1","nonzero",148234,2062,2479,18309,0.880748508755051,0.898777674144617,0.240252017974854
"fishash+_contingency","nguides_20_iter_1","full",363655,1296,15839,19210,0.548089817113184,0.936798985662733,0.681574821472168
"fishash+_contingency","nguides_20_iter_1","nonzero",134874,1161,15839,19210,0.548089817113184,0.943007216140592,0.681574821472168
"fishash_refit0","nguides_20_iter_2","full",375011,2307,4442,18240,0.804161890485848,0.887720835158417,0.291213989257812
"fishash_refit0","nguides_20_iter_2","nonzero",155243,2201,4442,18240,0.804161890485848,0.892324250281297,0.291213989257812
"fishash_refit10","nguides_20_iter_2","full",376693,2256,2760,18291,0.86888983896252,0.89020294933567,1.78961491584778
"fishash_refit10","nguides_20_iter_2","nonzero",156925,2150,2760,18291,0.86888983896252,0.894819235849518,1.78961491584778
"fishash+_poisson","nguides_20_iter_2","full",365561,1459,13892,19088,0.578775015160704,0.928992066968414,0.382519006729126
"fishash+_poisson","nguides_20_iter_2","nonzero",145793,1353,13892,19088,0.578775015160704,0.933809500513674,0.382519006729126
"fishash_poisson_rawd","nguides_20_iter_2","full",377129,2387,2324,18160,0.886545596563171,0.883827322723512,0.238595962524414
"fishash_poisson_rawd","nguides_20_iter_2","nonzero",157361,2281,2324,18160,0.886545596563171,0.888410547429186,0.238595962524414
"fishash+_contingency","nguides_20_iter_2","full",363770,1379,15683,19168,0.549998565320938,0.932885579403319,0.688951969146729
"fishash+_contingency","nguides_20_iter_2","nonzero",144002,1273,15683,19168,0.549998565320938,0.937723203365784,0.688951969146729
"fishash_refit0","nguides_20_iter_3","full",374619,2360,4913,18108,0.786586160462187,0.884698065272621,0.301069021224976
"fishash_refit0","nguides_20_iter_3","nonzero",147047,2251,4913,18108,0.786586160462187,0.889434648067194,0.301069021224976
"fishash_refit10","nguides_20_iter_3","full",376458,2372,3074,18096,0.854794520547945,0.884111784248583,1.29550790786743
"fishash_refit10","nguides_20_iter_3","nonzero",148886,2263,3074,18096,0.854794520547945,0.888845228154625,1.29550790786743
"fishash+_poisson","nguides_20_iter_3","full",364859,1494,14673,18974,0.563913573275478,0.927008012507329,0.516986131668091
"fishash+_poisson","nguides_20_iter_3","nonzero",137287,1385,14673,18974,0.563913573275478,0.931971118424284,0.516986131668091
"fishash_poisson_rawd","nguides_20_iter_3","full",376937,2547,2595,17921,0.873513355429908,0.875561852648036,0.266784906387329
"fishash_poisson_rawd","nguides_20_iter_3","nonzero",149365,2438,2595,17921,0.873513355429908,0.880249521096321,0.266784906387329
"fishash+_contingency","nguides_20_iter_3","full",362837,1438,16695,19030,0.532680195941218,0.929743990619504,0.69849419593811
"fishash+_contingency","nguides_20_iter_3","nonzero",135265,1329,16695,19030,0.532680195941218,0.934721744682941,0.69849419593811
"fishash_refit0","nguides_20_iter_4","full",376174,2006,3227,18593,0.852108157653529,0.902616631875334,0.298838138580322
"fishash_refit0","nguides_20_iter_4","nonzero",149729,1896,3227,18593,0.852108157653529,0.907462540875592,0.298838138580322
"fishash_refit10","nguides_20_iter_4","full",376900,2080,2501,18519,0.881018078020932,0.899024224476916,1.57448983192444
"fishash_refit10","nguides_20_iter_4","nonzero",150455,1970,2501,18519,0.881018078020932,0.903850846795842,1.57448983192444
"fishash+_poisson","nguides_20_iter_4","full",366983,1291,12418,19308,0.608586017777217,0.937327054711394,0.36282205581665
"fishash+_poisson","nguides_20_iter_4","nonzero",140538,1181,12418,19308,0.608586017777217,0.942359314754258,0.36282205581665
"fishash_poisson_rawd","nguides_20_iter_4","full",377271,2235,2130,18364,0.89606714160242,0.89149958735861,0.278687953948975
"fishash_poisson_rawd","nguides_20_iter_4","nonzero",150826,2125,2130,18364,0.89606714160242,0.896285811899068,0.278687953948975
"fishash+_contingency","nguides_20_iter_4","full",365010,1243,14391,19356,0.573562094408392,0.939657264915773,0.761480808258057
"fishash+_contingency","nguides_20_iter_4","nonzero",138565,1133,14391,19356,0.573562094408392,0.944702035238421,0.761480808258057
"fishash_refit0","nguides_20_iter_5","full",376036,1948,3376,18640,0.846656976744186,0.905381775791723,0.175834178924561
"fishash_refit0","nguides_20_iter_5","nonzero",146061,1829,3376,18640,0.846656976744186,0.910645366163467,0.175834178924561
"fishash_refit10","nguides_20_iter_5","full",376894,1980,2518,18608,0.880810375840197,0.903827472313969,0.817405939102173
"fishash_refit10","nguides_20_iter_5","nonzero",146919,1861,2518,18608,0.880810375840197,0.909082026479066,0.817405939102173
"fishash+_poisson","nguides_20_iter_5","full",366662,1300,12750,19288,0.602035083338536,0.936856421216242,0.373751163482666
"fishash+_poisson","nguides_20_iter_5","nonzero",136687,1181,12750,19288,0.602035083338536,0.942302994772583,0.373751163482666
"fishash_poisson_rawd","nguides_20_iter_5","full",377271,2103,2141,18485,0.896198972171046,0.897853118321352,0.167360067367554
"fishash_poisson_rawd","nguides_20_iter_5","nonzero",147296,1984,2141,18485,0.896198972171046,0.90307293956715,0.167360067367554
"fishash+_contingency","nguides_20_iter_5","full",364564,1241,14848,19347,0.565784471413949,0.939722168253351,0.604153156280518
"fishash+_contingency","nguides_20_iter_5","nonzero",134589,1122,14848,19347,0.565784471413949,0.945185402315697,0.604153156280518
"fishash_refit0","nguides_20_iter_6","full",374786,2289,4704,18221,0.794809160305344,0.88839590443686,0.15876317024231
"fishash_refit0","nguides_20_iter_6","nonzero",150594,2187,4704,18221,0.794809160305344,0.892836142689141,0.15876317024231
"fishash_refit10","nguides_20_iter_6","full",376778,2030,2712,18480,0.87202718006795,0.901023890784983,1.48509001731873
"fishash_refit10","nguides_20_iter_6","nonzero",152586,1928,2712,18480,0.87202718006795,0.905527244217954,1.48509001731873
"fishash+_poisson","nguides_20_iter_6","full",365962,1292,13528,19218,0.586880840407989,0.937006338371526,0.40527081489563
"fishash+_poisson","nguides_20_iter_6","nonzero",141770,1190,13528,19218,0.586880840407989,0.941689533516268,0.40527081489563
"fishash_poisson_rawd","nguides_20_iter_6","full",377238,2185,2252,18325,0.89055741847694,0.893466601657728,0.236600875854492
"fishash_poisson_rawd","nguides_20_iter_6","nonzero",153046,2083,2252,18325,0.89055741847694,0.897932183457468,0.236600875854492
"fishash+_contingency","nguides_20_iter_6","full",364168,1247,15322,19263,0.556975567442533,0.939200390053632,0.59467601776123
"fishash+_contingency","nguides_20_iter_6","nonzero",139976,1145,15322,19263,0.556975567442533,0.943894551156409,0.59467601776123
"fishash_refit0","nguides_20_iter_7","full",375772,2196,3837,18195,0.825844226579521,0.892305428865676,0.15521502494812
"fishash_refit0","nguides_20_iter_7","nonzero",145877,2117,3837,18195,0.825844226579521,0.895775896022056,0.15521502494812
"fishash_refit10","nguides_20_iter_7","full",376595,2433,3014,17958,0.856284569902727,0.880682654112108,0.938297033309937
"fishash_refit10","nguides_20_iter_7","nonzero",146700,2354,3014,17958,0.856284569902727,0.88410791650256,0.938297033309937
"fishash+_poisson","nguides_20_iter_7","full",365977,1522,13632,18869,0.580566751792253,0.92535922711,0.381628036499023
"fishash+_poisson","nguides_20_iter_7","nonzero",136082,1443,13632,18869,0.580566751792253,0.928958251280032,0.381628036499023
"fishash_poisson_rawd","nguides_20_iter_7","full",377064,2580,2545,17811,0.874975437217528,0.873473591290275,0.218112945556641
"fishash_poisson_rawd","nguides_20_iter_7","nonzero",147169,2501,2545,17811,0.874975437217528,0.876870815281607,0.218112945556641
"fishash+_contingency","nguides_20_iter_7","full",363605,1467,16004,18924,0.541800274851122,0.928056495512726,0.574906826019287
"fishash+_contingency","nguides_20_iter_7","nonzero",133710,1388,16004,18924,0.541800274851122,0.931666010240252,0.574906826019287
"fishash_refit0","nguides_20_iter_8","full",375328,2049,4004,18619,0.823011978959466,0.900861234759048,0.15648889541626
"fishash_refit0","nguides_20_iter_8","nonzero",163550,1878,4004,18619,0.823011978959466,0.908376835634483,0.15648889541626
"fishash_refit10","nguides_20_iter_8","full",376536,1912,2796,18756,0.870267260579065,0.907489839365202,1.01075792312622
"fishash_refit10","nguides_20_iter_8","nonzero",164758,1741,2796,18756,0.870267260579065,0.915060740596185,1.01075792312622
"fishash+_poisson","nguides_20_iter_8","full",365324,1284,14008,19384,0.580498322951605,0.937874975808012,0.400290966033936
"fishash+_poisson","nguides_20_iter_8","nonzero",153546,1113,14008,19384,0.580498322951605,0.945699370639606,0.400290966033936
"fishash_poisson_rawd","nguides_20_iter_8","full",376963,2006,2369,18662,0.887356759069944,0.902941745693826,0.22737193107605
"fishash_poisson_rawd","nguides_20_iter_8","nonzero",165185,1835,2369,18662,0.887356759069944,0.910474703615163,0.22737193107605
"fishash+_contingency","nguides_20_iter_8","full",363242,1262,16090,19406,0.546709488393058,0.938939423263015,0.671580076217651
"fishash+_contingency","nguides_20_iter_8","nonzero",151464,1091,16090,19406,0.546709488393058,0.946772698443675,0.671580076217651
"fishash_refit0","nguides_20_iter_9","full",374509,1890,4979,18622,0.789034362950722,0.907858814352574,0.155255079269409
"fishash_refit0","nguides_20_iter_9","nonzero",147783,1765,4979,18622,0.789034362950722,0.913425221955168,0.155255079269409
"fishash_refit10","nguides_20_iter_9","full",377359,1786,2129,18726,0.897914169263966,0.912929017160686,0.835500001907349
"fishash_refit10","nguides_20_iter_9","nonzero",150633,1661,2129,18726,0.897914169263966,0.918526511992937,0.835500001907349
"fishash+_poisson","nguides_20_iter_9","full",366697,1155,12791,19357,0.602121438347642,0.943691497659906,0.419574022293091
"fishash+_poisson","nguides_20_iter_9","nonzero",139971,1030,12791,19357,0.602121438347642,0.949477608279786,0.419574022293091
"fishash_poisson_rawd","nguides_20_iter_9","full",377708,1895,1780,18617,0.912732264548708,0.907615054602184,0.240426063537598
"fishash_poisson_rawd","nguides_20_iter_9","nonzero",150982,1770,1780,18617,0.912732264548708,0.913179967626429,0.240426063537598
"fishash+_contingency","nguides_20_iter_9","full",365426,1121,14062,19391,0.579649059875049,0.945349063962558,0.750662088394165
"fishash+_contingency","nguides_20_iter_9","nonzero",138700,996,14062,19391,0.579649059875049,0.951145337715211,0.750662088394165
"fishash_refit0","nguides_20_iter_10","full",376469,2083,3049,18399,0.8578422230511,0.898300947173128,0.144243955612183
"fishash_refit0","nguides_20_iter_10","nonzero",137644,1967,3049,18399,0.8578422230511,0.903417460473338,0.144243955612183
"fishash_refit10","nguides_20_iter_10","full",377240,1985,2278,18497,0.890348977135981,0.903085636168343,0.988626956939697
"fishash_refit10","nguides_20_iter_10","nonzero",138415,1869,2278,18497,0.890348977135981,0.908229401944417,0.988626956939697
"fishash+_poisson","nguides_20_iter_10","full",368748,1325,10770,19157,0.640124302469342,0.935309051850405,0.333675861358643
"fishash+_poisson","nguides_20_iter_10","nonzero",129923,1209,10770,19157,0.640124302469342,0.940636354708828,0.333675861358643
"fishash_poisson_rawd","nguides_20_iter_10","full",377627,2133,1891,18349,0.906571146245059,0.895859779318426,0.255263090133667
"fishash_poisson_rawd","nguides_20_iter_10","nonzero",138802,2017,1891,18349,0.906571146245059,0.900962388294216,0.255263090133667
"fishash+_contingency","nguides_20_iter_10","full",367016,1250,12502,19232,0.60603768828386,0.938970803632458,0.762274026870728
"fishash+_contingency","nguides_20_iter_10","nonzero",128191,1134,12502,19232,0.60603768828386,0.944318962977512,0.762274026870728
"fishash_refit0","nguides_200_iter_1","full",3976958,1065,2238,19739,0.89816626473131,0.948807921553547,0.234397172927856
"fishash_refit0","nguides_200_iter_1","nonzero",438766,866,2238,19739,0.89816626473131,0.957971366173259,0.234397172927856
"fishash_refit10","nguides_200_iter_1","full",3978097,1023,1099,19781,0.947365900383142,0.95082676408383,1.25563597679138
"fishash_refit10","nguides_200_iter_1","nonzero",439905,824,1099,19781,0.947365900383142,0.960009706381946,1.25563597679138
"fishash+_poisson","nguides_200_iter_1","full",3973482,871,5714,19933,0.777205911022732,0.958133051336281,0.491297960281372
"fishash+_poisson","nguides_200_iter_1","nonzero",435290,672,5714,19933,0.777205911022732,0.967386556661005,0.491297960281372
"fishash_poisson_rawd","nguides_200_iter_1","full",3978190,1035,1006,19769,0.951576413959085,0.950249951932321,0.336647987365723
"fishash_poisson_rawd","nguides_200_iter_1","nonzero",439998,836,1006,19769,0.951576413959085,0.959427323465178,0.336647987365723
"fishash+_contingency","nguides_200_iter_1","full",3973195,871,6001,19933,0.768604920182,0.958133051336281,0.855432987213135
"fishash+_contingency","nguides_200_iter_1","nonzero",435003,672,6001,19933,0.768604920182,0.967386556661005,0.855432987213135
"fishash_refit0","nguides_200_iter_2","full",3977273,1078,1884,19765,0.91297519515913,0.94827999808089,0.234233856201172
"fishash_refit0","nguides_200_iter_2","nonzero",459641,856,1884,19765,0.91297519515913,0.958488919063091,0.234233856201172
"fishash_refit10","nguides_200_iter_2","full",3978182,1045,975,19798,0.953064073557021,0.949863263445761,1.04763293266296
"fishash_refit10","nguides_200_iter_2","nonzero",460550,823,975,19798,0.953064073557021,0.960089229426313,1.04763293266296
"fishash+_poisson","nguides_200_iter_2","full",3973791,889,5366,19954,0.788072669826224,0.95734779062515,0.650552034378052
"fishash+_poisson","nguides_200_iter_2","nonzero",456159,667,5366,19954,0.788072669826224,0.967654332961544,0.650552034378052
"fishash_poisson_rawd","nguides_200_iter_2","full",3978245,1057,912,19786,0.955937771765388,0.949287530585808,0.269351959228516
"fishash_poisson_rawd","nguides_200_iter_2","nonzero",460613,835,912,19786,0.955937771765388,0.959507298385141,0.269351959228516
"fishash+_contingency","nguides_200_iter_2","full",3973572,886,5585,19957,0.781340537154491,0.957491723840138,0.969697952270508
"fishash+_contingency","nguides_200_iter_2","nonzero",455940,664,5585,19957,0.781340537154491,0.967799815721837,0.969697952270508
"fishash_refit0","nguides_200_iter_3","full",3977090,1067,2087,19756,0.904454516321018,0.948758584257792,0.254276990890503
"fishash_refit0","nguides_200_iter_3","nonzero",434297,854,2087,19756,0.904454516321018,0.958563803978651,0.254276990890503
"fishash_refit10","nguides_200_iter_3","full",3978089,1040,1088,19783,0.947870250586939,0.950055227392787,1.28623509407043
"fishash_refit10","nguides_200_iter_3","nonzero",435296,827,1088,19783,0.947870250586939,0.959873847646773,1.28623509407043
"fishash+_poisson","nguides_200_iter_3","full",3973519,876,5658,19947,0.779027533684827,0.957931133842386,0.479932069778442
"fishash+_poisson","nguides_200_iter_3","nonzero",430726,663,5658,19947,0.779027533684827,0.96783114992722,0.479932069778442
"fishash_poisson_rawd","nguides_200_iter_3","full",3978173,1051,1004,19772,0.951675009626492,0.949526965374826,0.283128023147583
"fishash_poisson_rawd","nguides_200_iter_3","nonzero",435380,838,1004,19772,0.951675009626492,0.959340126152353,0.283128023147583
"fishash+_contingency","nguides_200_iter_3","full",3973271,880,5906,19943,0.771519207706294,0.957739038563127,0.834534168243408
"fishash+_contingency","nguides_200_iter_3","nonzero",430478,667,5906,19943,0.771519207706294,0.967637069383794,0.834534168243408
"fishash_refit0","nguides_200_iter_4","full",3977481,1039,1716,19764,0.920111731843575,0.950055280488391,0.249134063720703
"fishash_refit0","nguides_200_iter_4","nonzero",406693,829,1716,19764,0.920111731843575,0.959743602194921,0.249134063720703
"fishash_refit10","nguides_200_iter_4","full",3978157,1038,1040,19765,0.950012016342225,0.950103350478296,1.27302289009094
"fishash_refit10","nguides_200_iter_4","nonzero",407369,828,1040,19765,0.950012016342225,0.959792162385277,1.27302289009094
"fishash+_poisson","nguides_200_iter_4","full",3973384,886,5813,19917,0.774076952973183,0.957409988943902,0.538532972335815
"fishash+_poisson","nguides_200_iter_4","nonzero",402596,676,5813,19917,0.774076952973183,0.96717331131938,0.538532972335815
"fishash_poisson_rawd","nguides_200_iter_4","full",3978253,1050,944,19753,0.95438952505194,0.949526510599433,0.329539060592651
"fishash_poisson_rawd","nguides_200_iter_4","nonzero",407465,840,944,19753,0.95438952505194,0.959209440101005,0.329539060592651
"fishash+_contingency","nguides_200_iter_4","full",3973028,884,6169,19919,0.76353112542165,0.957506128923713,0.965893983840942
"fishash+_contingency","nguides_200_iter_4","nonzero",402240,674,6169,19919,0.76353112542165,0.967270431700092,0.965893983840942
"fishash_refit0","nguides_200_iter_5","full",3976893,1122,2278,19707,0.896383898112349,0.946132795621489,0.267593860626221
"fishash_refit0","nguides_200_iter_5","nonzero",456002,893,2278,19707,0.896383898112349,0.956650485436893,0.267593860626221
"fishash_refit10","nguides_200_iter_5","full",3977879,1106,1292,19723,0.938520104687128,0.946900955398723,1.36277985572815
"fishash_refit10","nguides_200_iter_5","nonzero",456988,877,1292,19723,0.938520104687128,0.957427184466019,1.36277985572815
"fishash+_poisson","nguides_200_iter_5","full",3973020,940,6151,19889,0.76378648233487,0.954870613087522,0.746231079101562
"fishash+_poisson","nguides_200_iter_5","nonzero",452129,711,6151,19889,0.76378648233487,0.965485436893204,0.746231079101562
"fishash_poisson_rawd","nguides_200_iter_5","full",3977988,1122,1183,19707,0.943370033508856,0.946132795621489,0.294420957565308
"fishash_poisson_rawd","nguides_200_iter_5","nonzero",457097,893,1183,19707,0.943370033508856,0.956650485436893,0.294420957565308
"fishash+_contingency","nguides_200_iter_5","full",3972741,940,6430,19889,0.755689805843687,0.954870613087522,1.02932000160217
"fishash+_contingency","nguides_200_iter_5","nonzero",451850,711,6430,19889,0.755689805843687,0.965485436893204,1.02932000160217
"fishash_refit0","nguides_200_iter_6","full",3976860,1163,2410,19567,0.890339900805387,0.943897732754462,0.27548098564148
"fishash_refit0","nguides_200_iter_6","nonzero",491481,916,2410,19567,0.890339900805387,0.955279988282966,0.27548098564148
"fishash_refit10","nguides_200_iter_6","full",3978131,1124,1139,19606,0.945095203663533,0.945779064158225,1.43947291374207
"fishash_refit10","nguides_200_iter_6","nonzero",492752,877,1139,19606,0.945095203663533,0.957184006249085,1.43947291374207
"fishash+_poisson","nguides_200_iter_6","full",3973319,956,5951,19774,0.768668610301263,0.953883260974433,0.553525924682617
"fishash+_poisson","nguides_200_iter_6","nonzero",487940,709,5951,19774,0.768668610301263,0.96538592979544,0.553525924682617
"fishash_poisson_rawd","nguides_200_iter_6","full",3978232,1138,1038,19592,0.949684924866699,0.945103714423541,0.289267778396606
"fishash_poisson_rawd","nguides_200_iter_6","nonzero",492853,891,1038,19592,0.949684924866699,0.956500512620222,0.289267778396606
"fishash+_contingency","nguides_200_iter_6","full",3973061,965,6209,19765,0.760953260953261,0.953449107573565,1.08560299873352
"fishash+_contingency","nguides_200_iter_6","nonzero",487682,718,6209,19765,0.760953260953261,0.964946541034028,1.08560299873352
"fishash_refit0","nguides_200_iter_7","full",3977337,1027,1752,19884,0.919023849140322,0.950887092917603,0.283649206161499
"fishash_refit0","nguides_200_iter_7","nonzero",456162,844,1752,19884,0.919023849140322,0.959282130451563,0.283649206161499
"fishash_refit10","nguides_200_iter_7","full",3978020,991,1069,19920,0.949068559721759,0.952608674860121,1.48376202583313
"fishash_refit10","nguides_200_iter_7","nonzero",456845,808,1069,19920,0.949068559721759,0.961018911617136,1.48376202583313
"fishash+_poisson","nguides_200_iter_7","full",3973700,845,5389,20066,0.788293066195247,0.959590646071446,0.532531976699829
"fishash+_poisson","nguides_200_iter_7","nonzero",452525,662,5389,20066,0.788293066195247,0.968062524121961,0.532531976699829
"fishash_poisson_rawd","nguides_200_iter_7","full",3978114,1004,975,19907,0.953309070012451,0.95198699249199,0.275205135345459
"fishash_poisson_rawd","nguides_200_iter_7","nonzero",456939,821,975,19907,0.953309070012451,0.960391740640679,0.275205135345459
"fishash+_contingency","nguides_200_iter_7","full",3973465,843,5624,20068,0.781099174840417,0.959686289512697,1.10494804382324
"fishash+_contingency","nguides_200_iter_7","nonzero",452290,660,5624,20068,0.781099174840417,0.968159011964492,1.10494804382324
