"dataset","cell_set","n_cells","p_other_strong","p_other_mod","p_focal_max","med_other_max"
"barnyard_mch2_0hr","count-2 (tested)",2,0,1,0,13
"barnyard_mch2_0hr","count-1",46,0.826,0.109,0.065,1089
"barnyard_mch2_0hr","signal-mode (real integ.)",25,1,0,0,705
"dctap_k562_lowmoi","count-2 (tested)",2654,0.836,0.16,0.004,406
"dctap_k562_lowmoi","count-1",14667,0.833,0.167,0.001,367
"dctap_k562_lowmoi","signal-mode (real integ.)",544,0.978,0.009,0.029,594
"endoc_t2d","count-2 (tested)",314,0.946,0.032,0.022,487
"endoc_t2d","count-1",7458,0.941,0.043,0.016,389
"endoc_t2d","signal-mode (real integ.)",2348,0.982,0.017,0.002,354
"ipsc_crispri","count-2 (tested)",10270,0.676,0.288,0.037,366
"ipsc_crispri","count-1",113696,0.702,0.288,0.01,383
"ipsc_crispri","signal-mode (real integ.)",3318,0.985,0.01,0.015,1655
"replogle_rd7","count-2 (tested)",12585,0.799,0.078,0.122,1547
"replogle_rd7","count-1",595861,0.821,0.119,0.06,1440
"replogle_rd7","signal-mode (real integ.)",40257,0.994,0.004,0.003,1406
"tcell_cd4","count-2 (tested)",834,0.511,0.297,0.192,62
"tcell_cd4","count-1",21347,0.491,0.338,0.171,40
"tcell_cd4","signal-mode (real integ.)",6383,0.892,0.079,0.036,102
"barnyard_mch2_0hr","count-2 (tested)",2,0,1,0,13
"barnyard_mch2_0hr","count-1",46,0.826,0.109,0.065,1089
"barnyard_mch2_0hr","signal-mode (real integ.)",25,0.96,0,0.32,705
"dctap_k562_lowmoi","count-2 (tested)",2654,0.836,0.16,0.004,406
"dctap_k562_lowmoi","count-1",14667,0.833,0.167,0.001,367
"dctap_k562_lowmoi","signal-mode (real integ.)",544,0.219,0.002,0.875,828
"endoc_t2d","count-2 (tested)",314,0.946,0.032,0.022,487
"endoc_t2d","count-1",7458,0.941,0.043,0.016,389
"endoc_t2d","signal-mode (real integ.)",2348,0.888,0.006,0.367,386
"ipsc_crispri","count-2 (tested)",10270,0.676,0.288,0.037,366
"ipsc_crispri","count-1",113696,0.702,0.288,0.01,383
"ipsc_crispri","signal-mode (real integ.)",3318,0.799,0.003,0.432,2344
"replogle_rd7","count-2 (tested)",12585,0.799,0.078,0.122,1547
"replogle_rd7","count-1",595861,0.821,0.119,0.06,1440
"replogle_rd7","signal-mode (real integ.)",40257,0.688,0.001,0.617,1503
"tcell_cd4","count-2 (tested)",834,0.511,0.297,0.192,62
"tcell_cd4","count-1",21347,0.491,0.338,0.171,40
"tcell_cd4","signal-mode (real integ.)",6383,0.215,0.007,0.9,134
