"dataset","guide","target","base_cp10k","n_weak","n_strong","kd_strong","kd_weak","kd_one"
"replogle_rd7","10_AARS2_P1P2_ENSG00000124608","ENSG00000124608",0.088,97,292,0.069,0.814,0.978
"replogle_rd7","39_ABHD11_P1P2_ENSG00000106077","ENSG00000106077",0.201,28,162,0.104,1.024,0.875
"replogle_rd7","139_ADAT2_P1P2_ENSG00000189007","ENSG00000189007",0.054,81,215,0.108,0.817,1.017
"replogle_rd7","158_ADNP2_P1P2_ENSG00000101544","ENSG00000101544",0.168,31,162,0.107,1.619,0.869
"replogle_rd7","182_AGBL5_P1_ENSG00000084693","ENSG00000084693",0.145,19,124,0.099,0.642,1.112
"replogle_rd7","263_ALG11_P1P2_ENSG00000253710","ENSG00000253710",0.056,48,98,0.31,0.61,0.954
"replogle_rd7","308_ANAPC4_P1P2_ENSG00000053900","ENSG00000053900",0.128,11,52,0.155,0.734,0.967
"replogle_rd7","309_ANAPC5_P1P2_ENSG00000089053","ENSG00000089053",0.994,85,113,0.12,0.722,0.903
"replogle_rd7","350_ANLN_P1P2_ENSG00000011426","ENSG00000011426",1.569,40,27,0.057,0.367,0.707
"replogle_rd7","378_AP2S1_P1P2_ENSG00000042753","ENSG00000042753",6.383,114,184,0.171,0.848,0.967
"replogle_rd7","534_ARPC1B_P1P2_ENSG00000130429","ENSG00000130429",3.097,24,145,0.181,1.181,1.016
"replogle_rd7","592_INTS13_P1P2_ENSG00000064102","ENSG00000064102",0.526,59,223,0.127,1.088,0.872
"replogle_rd7","681_ATP6V1C1_P1P2_ENSG00000155097","ENSG00000155097",0.397,6,156,0.366,0,0.965
"replogle_rd7","682_ATP6V1D_P1P2_ENSG00000100554","ENSG00000100554",1.269,55,253,0.202,1.051,1.043
"replogle_rd7","697_ATRIP_P1P2_ENSG00000164053","ENSG00000164053",0.078,185,259,0.118,1.154,0.917
"replogle_rd7","700_ATXN10_P1P2_ENSG00000130638","ENSG00000130638",1.477,38,180,0.099,1.007,0.95
"replogle_rd7","715_AURKB_P1P2_ENSG00000178999","ENSG00000178999",0.359,27,33,0.102,0.75,0.962
