"dataset","guide","target","base_cp10k","n_weak","n_strong","kd_strong","kd_weak","kd_one"
"tcell","FNDC10-1","ENSG00000228594",0.11,5,5,0,0,2.241
"tcell","MOSMO-1","ENSG00000185716",0.303,17,48,0.237,0.341,0.927
"tcell","SUPT20H-1","ENSG00000102710",0.791,5,15,0.596,1.011,1.078
"tcell","GPATCH4-1","ENSG00000160818",0.518,6,7,0.205,2.296,0
"tcell","SMIM13-1","ENSG00000224531",0.213,14,9,0,0.267,0.961
"tcell","DMRTA2-1","ENSG00000142700",0,22,14,0,0,0
"tcell","CDK6-1","ENSG00000105810",1.425,5,8,1.65,0.57,0.906
"tcell","CPEB3-1","ENSG00000107864",0.079,5,5,0,0,0.562
"tcell","NR2F1-1","ENSG00000175745",0,9,11,0,0,0
"tcell","ATAD5-1","ENSG00000176208",0.615,7,11,0.5,0.864,1.272
"tcell","FSCN1-1","ENSG00000075618",0.021,7,7,0,0,5.488
"tcell","NRAS-1","ENSG00000213281",1.859,7,7,0.064,0.446,0.847
"tcell","ATG4A-1","ENSG00000101844",0.324,7,7,0,0.435,0.683
"tcell","NDUFS4-1","ENSG00000164258",1.154,7,9,0.073,1.164,0.945
"tcell","PGC-1","ENSG00000096088",0,5,28,0,0,0
"tcell","DNTTIP1-1","ENSG00000101457",0.671,5,12,0.38,1.37,1.126
"tcell","ENDOV-1","ENSG00000173818",0.161,5,5,0.322,0,0.403
"tcell","PIMREG-1","ENSG00000129195",0.027,5,6,3.624,0,0.867
"tcell","CDH23-1","ENSG00000107736",0.011,6,23,0,0,2.284
"tcell","JMJD4-1","ENSG00000081692",0.308,5,6,0,0.736,0
"tcell","C1QTNF3-1","ENSG00000082196",0.009,6,10,0,0,0
"tcell","MNX1-1","ENSG00000130675",0,9,6,0,0,0
"tcell","TRPM2-1","ENSG00000142185",0.014,7,33,0,0,1.775
"tcell","ADAM12-1","ENSG00000148848",0.003,7,10,0,0,0
"tcell","HBD-1","ENSG00000223609",0,5,7,0,0,0
"tcell","TMEM131-1","ENSG00000075568",0.941,6,14,0.231,0.368,1.245
"tcell","THYN1-1","ENSG00000151500",0.964,25,8,0.134,0.528,1.031
"tcell","DNAJB9-1","ENSG00000128590",0.589,7,6,0,0.541,0.686
"tcell","NFE2L1-1","ENSG00000082641",1.256,14,6,0.084,0.363,1.275
"tcell","CLIP3-1","ENSG00000105270",0.015,7,11,0,0,6.588
"tcell","CCNB1-1","ENSG00000134057",1.246,5,14,0.075,0,1.066
"tcell","TTC39B-1","ENSG00000155158",0.81,5,12,0.079,0,0.465
"tcell","TMEM238-1","ENSG00000233493",0.726,5,7,0.106,0.4,0.47
"tcell","NT5DC1-1","ENSG00000178425",0.543,5,8,0.268,0.551,0.843
"tcell","TCF24-1","ENSG00000261787",0,7,6,0,0,0
"tcell","TNNC1-1","ENSG00000114854",0.015,8,6,0,0,0
"tcell","ABLIM1-1","ENSG00000099204",1.146,5,9,0.892,0.676,1.286
"tcell","LRRC75A-1","ENSG00000181350",0.002,9,5,0,0,0
"tcell","UBE2E3-1","ENSG00000170035",1.05,6,8,0.343,0.517,1.024
"tcell","THNSL1-1","ENSG00000185875",0.037,15,11,4.449,0,1.034
"tcell","CNN3-1","ENSG00000117519",0.012,5,12,0,0,0
"tcell","LNX2-1","ENSG00000139517",0.148,10,8,0,0.196,0.995
"tcell","PABPC1L-1","ENSG00000101104",0.268,5,5,0,2.667,1.055
"tcell","BAD-1","ENSG00000002330",0.253,8,12,0.257,0,0.858
"tcell","CTSB-1","ENSG00000164733",2.874,14,23,0.14,1.119,0.971
