"guide","gap_lo","gap_hi","n_assigned","n_lower","n_count2","n_signal","frac_lower","frac_count2"
"10_AARS2_P1P2_ENSG00000124608",8,31,321,29,12,292,0.0903426791277259,0.0373831775700935
"39_ABHD11_P1P2_ENSG00000106077",6,21,190,24,15,166,0.126315789473684,0.0789473684210526
"81_ACD_P1P2_ENSG00000102977",3,16,119,4,3,115,0.0336134453781513,0.0252100840336134
"106_ACTL6A_P1P2_ENSG00000136518",3,104,28,3,2,25,0.107142857142857,0.0714285714285714
"139_ADAT2_P1P2_ENSG00000189007",8,34,246,31,17,215,0.126016260162602,0.0691056910569106
"158_ADNP2_P1P2_ENSG00000101544",6,19,187,21,14,166,0.112299465240642,0.0748663101604278
"182_AGBL5_P1_ENSG00000084693",2,7,150,18,18,132,0.12,0.12
"263_ALG11_P1P2_ENSG00000253710",4,18,126,25,18,101,0.198412698412698,0.142857142857143
"308_ANAPC4_P1P2_ENSG00000053900",5,17,65,11,9,54,0.169230769230769,0.138461538461538
"309_ANAPC5_P1P2_ENSG00000089053",22,74,173,60,17,113,0.346820809248555,0.0982658959537572
"350_ANLN_P1P2_ENSG00000011426",5,26,67,39,32,28,0.582089552238806,0.477611940298507
"378_AP2S1_P1P2_ENSG00000042753",9,30,230,46,16,184,0.2,0.0695652173913043
"534_ARPC1B_P1P2_ENSG00000130429",3,9,171,24,21,147,0.140350877192982,0.12280701754386
"592_INTS13_P1P2_ENSG00000064102",3,10,249,20,12,229,0.0803212851405622,0.0481927710843374
"681_ATP6V1C1_P1P2_ENSG00000155097",6,18,166,6,4,160,0.036144578313253,0.0240963855421687
"682_ATP6V1D_P1P2_ENSG00000100554",7,25,275,21,9,254,0.0763636363636364,0.0327272727272727
"697_ATRIP_P1P2_ENSG00000164053",10,45,304,45,9,259,0.148026315789474,0.0296052631578947
"700_ATXN10_P1P2_ENSG00000130638",7,25,214,33,29,181,0.154205607476636,0.135514018691589
"715_AURKB_P1P2_ENSG00000178999",5,23,55,21,17,34,0.381818181818182,0.309090909090909
"751_BAG6_P1P2_ENSG00000204463",12,42,303,56,23,247,0.184818481848185,0.0759075907590759
"825_BGLAP_P1P2_ENSG00000242252",5,22,114,10,7,104,0.087719298245614,0.0614035087719298
"888_BRD2_P1_ENSG00000204256",8,25,224,26,11,198,0.116071428571429,0.0491071428571429
"893_BRD8_P1P2_ENSG00000112983",5,20,258,126,96,132,0.488372093023256,0.372093023255814
"968_C12orf60_P1P2_ENSG00000182993",10,40,244,74,20,170,0.30327868852459,0.0819672131147541
"1011_C18orf21_P1P2_ENSG00000141428",3,22,78,28,22,50,0.358974358974359,0.282051282051282
"1032_C1QBP_P1P2_ENSG00000108561",11,33,248,44,20,204,0.17741935483871,0.0806451612903226
"1083_NEPRO_P1P2_ENSG00000163608",6,65,83,40,25,43,0.481927710843373,0.301204819277108
"1129_SPOUT1_P1P2_ENSG00000198917",11,104,226,163,111,63,0.721238938053097,0.491150442477876
"1175_CAP1_P1P2_ENSG00000131236",12,81,147,28,18,119,0.19047619047619,0.122448979591837
"1192_CARF_P1P2_ENSG00000138380",2,6,170,26,26,144,0.152941176470588,0.152941176470588
"1290_CCDC6_P1P2_ENSG00000108091",4,14,382,15,7,367,0.0392670157068063,0.0183246073298429
"1315_CCNA2_P1P2_ENSG00000145386",11,38,137,31,23,106,0.226277372262774,0.167883211678832
"1334_CCNL1_P1P2_ENSG00000163660",23,90,258,42,16,216,0.162790697674419,0.062015503875969
"1346_CCT2_P1P2_ENSG00000166226",8,27,317,55,18,262,0.173501577287066,0.056782334384858
"1361_CD2BP2_P1P2_ENSG00000169217",36,110,302,38,15,264,0.125827814569536,0.0496688741721854
"1399_CDC40_P1P2_ENSG00000168438",5,65,66,14,8,52,0.212121212121212,0.121212121212121
"1441_CDK7_P1P2_ENSG00000134058",5,21,68,14,10,54,0.205882352941176,0.147058823529412
"1474_CENPA_P1_ENSG00000115163",5,16,173,12,8,161,0.069364161849711,0.046242774566474
"1533_CFDP1_P2_ENSG00000153774",27,95,180,33,16,147,0.183333333333333,0.0888888888888889
"1550_CHCHD3_P1P2_ENSG00000106554",10,54,222,43,17,179,0.193693693693694,0.0765765765765766
"1583_CHMP3_P1P2_ENSG00000115561",28,85,189,71,42,118,0.375661375661376,0.222222222222222
"1586_CHMP4B_P1P2_ENSG00000101421",9,59,97,62,47,35,0.639175257731959,0.484536082474227
"1605_CHTF8_P1P2_ENSG00000168802",15,57,134,27,23,107,0.201492537313433,0.171641791044776
"1614_CINP_P1P2_ENSG00000100865",10,33,321,161,87,160,0.501557632398754,0.271028037383178
"1629_CKAP5_P2_ENSG00000175216",5,15,242,13,8,229,0.0537190082644628,0.0330578512396694
"1669_CLOCK_P1P2_ENSG00000134852",11,37,222,60,44,162,0.27027027027027,0.198198198198198
"1742_COG3_P1P2_ENSG00000136152",8,30,122,34,23,88,0.278688524590164,0.188524590163934
"1773_COPE_P1P2_ENSG00000105669",5,20,215,48,42,167,0.223255813953488,0.195348837209302
"1774_COPG1_P1_ENSG00000181789",5,21,16,4,1,12,0.25,0.0625
"1810_COX17_P1P2_ENSG00000138495",4,19,256,22,18,234,0.0859375,0.0703125
"1828_CPEB1_ENST00000568128.1_ENSG00000214575",3,22,168,20,17,148,0.119047619047619,0.101190476190476
"1836_CPOX_P1P2_ENSG00000080819",4,17,140,19,18,121,0.135714285714286,0.128571428571429
"1840_CPSF2_P1P2_ENSG00000165934",2,8,83,6,6,77,0.072289156626506,0.072289156626506
"1898_CSNK1A1_P1P2_ENSG00000113712",7,22,125,32,23,93,0.256,0.184
"1941_CTPS1_P1P2_ENSG00000171793",14,58,139,21,12,118,0.151079136690647,0.0863309352517986
"1961_CUL2_P1P2_ENSG00000108094",10,36,162,38,23,124,0.234567901234568,0.141975308641975
"2001_CYFIP1_P1P2_ENSG00000273749",6,18,166,23,14,143,0.13855421686747,0.0843373493975904
