"dataset","guide","gap_lo","gap_hi","gap_ratio","n_amb","n_sig","a_g","max_amb_rate","obs2","exp2_single","exp2_den","c2_oe_single","c2_oe_den","tail_oe_single","tail_oe_den"
"dctap_k562_lowmoi","safe_3",5,22,4.4,1021,38,0.00525033083823828,1.9396,108,99.56,109.94,1.08,0.98,1.09,0.96
"dctap_k562_lowmoi","safe_11",10,34,3.4,356,17,0.00182393899245025,0.6738,16,13.87,16.17,1.15,0.99,1.48,1.25
"dctap_k562_lowmoi","safe_16",4,14,3.5,770,27,0.00397354337118317,1.4679,77,60.19,67.71,1.28,1.14,1.38,1.2
"dctap_k562_lowmoi","safe_18",2,6,3,209,23,0.000970541668131604,0.3585,4,4.06,4.81,0.99,0.83,0.99,0.83
"dctap_k562_lowmoi","safe_25",11,33,3,1038,41,0.00544006288734791,2.0096,107,105.86,116.74,1.01,0.92,1.09,0.96
"dctap_k562_lowmoi","safe_28",6,33,5.5,704,29,0.00356597311982902,1.3173,60,49.24,55.78,1.22,1.08,1.3,1.12
"dctap_k562_lowmoi","safe_34",3,14,4.67,166,22,0.000792966413299363,0.2929,6,2.73,3.25,2.2,1.85,2.54,2.12
"dctap_k562_lowmoi","safe_45",4,95,23.75,381,14,0.00189673035667689,0.7007,25,14.95,17.42,1.67,1.44,1.96,1.66
"dctap_k562_lowmoi","nontarget_1",12,40,3.33,997,28,0.00570740658912062,2.1084,133,115.61,126.95,1.15,1.05,1.32,1.17
"dctap_k562_lowmoi","nontarget_13",5,27,5.4,602,25,0.00314800910437073,1.1629,61,39.08,44.54,1.56,1.37,1.79,1.54
"dctap_k562_lowmoi","nontarget_22",5,25,5,1027,18,0.0054408065897806,2.0099,121,106.3,117.27,1.14,1.03,1.22,1.08
"dctap_k562_lowmoi","nontarget_25",35,115,3.29,535,28,0.0032142380172708,1.1874,43,40.59,46.24,1.06,0.93,1.32,1.14
"dctap_k562_lowmoi","nontarget_27",7,42,6,1096,29,0.00570565731331102,2.1078,107,115.47,126.86,0.93,0.84,1.02,0.9
"dctap_k562_lowmoi","nontarget_31",5,23,4.6,198,21,0.000946973773995104,0.3498,6,3.87,4.59,1.55,1.31,1.79,1.5
"dctap_k562_lowmoi","nontarget_36",7,56,8,446,24,0.0021959953198551,0.8112,28,19.76,22.9,1.42,1.22,1.47,1.25
"dctap_k562_lowmoi","nontarget_38",5,15,3,1067,19,0.00560509019456754,2.0706,135,112.06,123.33,1.2,1.09,1.21,1.07
"dctap_k562_lowmoi","nontarget_39",39,121,3.1,2714,43,0.0215316723862005,7.9541,666,857.52,810.4,0.78,0.82,0.87,0.86
"dctap_k562_lowmoi","nontarget_41",37,134,3.62,1858,34,0.0117743301403923,4.3496,362,383.37,392.65,0.94,0.92,1.08,1
"dctap_k562_lowmoi","nontarget_43",27,135,5,2305,42,0.0154246096476672,5.6981,545,565.61,560.07,0.96,0.97,1.05,1
"dctap_k562_lowmoi","nontarget_47",7,25,3.57,685,22,0.00338430237922562,1.2502,44,44.72,50.82,0.98,0.87,1.05,0.9
