"dataset","guide","gap_lo","gap_hi","gap_ratio","n_amb","n_sig","a_g","max_amb_rate","obs2","exp2_single","exp2_den","c2_oe_single","c2_oe_den","tail_oe_single","tail_oe_den"
"replogle_rd7","10_AARS2_P1P2_ENSG00000124608",8,31,3.88,3569,292,0.000279555789573215,0.0828,81,11.03,17.4,7.34,4.66,8.87,5.61
"replogle_rd7","39_ABHD11_P1P2_ENSG00000106077",6,21,3.5,1957,166,0.000151428389040769,0.0448,19,3.25,5.14,5.85,3.7,8.62,5.44
"replogle_rd7","81_ACD_P1P2_ENSG00000102977",3,16,5.33,380,115,2.9103535167526e-05,0.0086,3,0.12,0.19,24.95,15.72,33.26,20.95
"replogle_rd7","106_ACTL6A_P1P2_ENSG00000136518",3,104,34.67,362,25,2.76632514781834e-05,0.0082,2,0.11,0.17,18.41,11.6,27.61,17.39
"replogle_rd7","139_ADAT2_P1P2_ENSG00000189007",8,34,4.25,4147,215,0.000321778952180732,0.0953,68,14.6,23.01,4.66,2.96,5.6,3.55
"replogle_rd7","158_ADNP2_P1P2_ENSG00000101544",6,19,3.17,1848,166,0.000143190969430981,0.0424,24,2.9,4.59,8.27,5.22,10.67,6.73
"replogle_rd7","182_AGBL5_P1_ENSG00000084693",2,7,3.5,1237,132,9.48727038574342e-05,0.0281,18,1.28,2.02,14.11,8.9,14.11,8.9
"replogle_rd7","263_ALG11_P1P2_ENSG00000253710",4,18,4.5,2256,101,0.000174847398970815,0.0518,41,4.33,6.84,9.48,5.99,11.08,7
"replogle_rd7","308_ANAPC4_P1P2_ENSG00000053900",5,17,3.4,1092,54,8.36731430751564e-05,0.0248,9,0.99,1.57,9.07,5.72,11.07,6.98
"replogle_rd7","309_ANAPC5_P1P2_ENSG00000089053",22,74,3.36,2522,113,0.0002099210136279,0.0622,49,6.23,9.85,7.86,4.98,14.74,9.31
"replogle_rd7","350_ANLN_P1P2_ENSG00000011426",5,26,5.2,1369,28,0.000107253790116205,0.0318,33,1.63,2.58,20.24,12.78,24.52,15.46
"replogle_rd7","378_AP2S1_P1P2_ENSG00000042753",9,30,3.33,2889,184,0.000231423177884312,0.0685,86,7.57,11.95,11.36,7.2,15.3,9.67
"replogle_rd7","534_ARPC1B_P1P2_ENSG00000130429",3,9,3,932,147,7.24980406106762e-05,0.0215,21,0.75,1.18,28.18,17.77,32.19,20.29
"replogle_rd7","592_INTS13_P1P2_ENSG00000064102",3,10,3.33,2597,229,0.000201421629135398,0.0596,51,5.74,9.07,8.89,5.63,10.27,6.49
"replogle_rd7","681_ATP6V1C1_P1P2_ENSG00000155097",6,18,3,537,160,4.1504946369001e-05,0.0123,4,0.24,0.39,16.37,10.31,24.54,15.46
"replogle_rd7","682_ATP6V1D_P1P2_ENSG00000100554",7,25,3.57,3811,254,0.000293752067684913,0.087,43,12.18,19.2,3.53,2.24,4.51,2.85
"replogle_rd7","697_ATRIP_P1P2_ENSG00000164053",10,45,4.5,4850,259,0.000385242587624097,0.1141,150,20.9,32.88,7.18,4.56,8.88,5.62
"replogle_rd7","700_ATXN10_P1P2_ENSG00000130638",7,25,3.57,2026,181,0.000156800417853249,0.0464,34,3.48,5.51,9.77,6.17,10.91,6.88
"replogle_rd7","715_AURKB_P1P2_ENSG00000178999",5,23,4.6,915,34,7.18050158910113e-05,0.0213,23,0.73,1.16,31.45,19.84,36.9,23.26
"replogle_rd7","751_BAG6_P1P2_ENSG00000204463",12,42,3.5,4640,247,0.000369899548068887,0.1095,136,19.27,30.34,7.06,4.48,8.75,5.54
"replogle_rd7","825_BGLAP_P1P2_ENSG00000242252",5,22,4.4,1190,104,9.11660079801826e-05,0.027,8,1.18,1.87,6.79,4.28,9.33,5.88
"replogle_rd7","888_BRD2_P1_ENSG00000204256",8,25,3.12,3054,198,0.000236646770640154,0.0701,35,7.91,12.49,4.42,2.8,6.31,3.99
"replogle_rd7","893_BRD8_P1P2_ENSG00000112983",5,20,4,1979,132,0.000162834200311075,0.0482,103,3.75,5.94,27.45,17.35,35.4,22.35
"replogle_rd7","968_C12orf60_P1P2_ENSG00000182993",10,40,4,4366,170,0.000352305387470695,0.1043,137,17.49,27.54,7.83,4.97,10.89,6.9
"replogle_rd7","1011_C18orf21_P1P2_ENSG00000141428",3,22,7.33,1017,50,7.9592002432401e-05,0.0236,24,0.9,1.42,26.72,16.85,33.38,21.04
"replogle_rd7","1032_C1QBP_P1P2_ENSG00000108561",11,33,3,3565,204,0.000281328744911442,0.0833,86,11.17,17.62,7.7,4.88,9.83,6.22
"replogle_rd7","1083_NEPRO_P1P2_ENSG00000163608",6,65,10.83,765,43,6.28114230500625e-05,0.0186,25,0.56,0.89,44.67,28.17,71.44,45.02
