"guide","target","base_cp10k","n_weak","n_strong","kd_strong","kd_weak","kd_one"
"10_AARS2_P1P2_ENSG00000124608","ENSG00000124608",0.088,98,292,0.069,0.806,0.978
"39_ABHD11_P1P2_ENSG00000106077","ENSG00000106077",0.201,28,166,0.101,1.024,0.875
"81_ACD_P1P2_ENSG00000102977","ENSG00000102977",0.241,4,115,0.2,0,0.957
"106_ACTL6A_P1P2_ENSG00000136518","ENSG00000136518",0.558,3,25,0.223,1.221,0.951
"139_ADAT2_P1P2_ENSG00000189007","ENSG00000189007",0.054,82,215,0.108,0.807,1.017
"158_ADNP2_P1P2_ENSG00000101544","ENSG00000101544",0.168,31,166,0.119,1.619,0.869
"182_AGBL5_P1_ENSG00000084693","ENSG00000084693",0.145,18,132,0.093,0.677,1.112
"263_ALG11_P1P2_ENSG00000253710","ENSG00000253710",0.056,48,101,0.3,0.61,0.954
"308_ANAPC4_P1P2_ENSG00000053900","ENSG00000053900",0.128,11,54,0.15,0.734,0.967
"309_ANAPC5_P1P2_ENSG00000089053","ENSG00000089053",0.994,92,113,0.12,0.673,0.903
"350_ANLN_P1P2_ENSG00000011426","ENSG00000011426",1.569,40,28,0.055,0.367,0.707
"378_AP2S1_P1P2_ENSG00000042753","ENSG00000042753",6.383,116,184,0.171,0.833,0.967
"534_ARPC1B_P1P2_ENSG00000130429","ENSG00000130429",3.097,24,147,0.178,1.181,1.016
"592_INTS13_P1P2_ENSG00000064102","ENSG00000064102",0.526,59,229,0.128,1.088,0.872
"681_ATP6V1C1_P1P2_ENSG00000155097","ENSG00000155097",0.397,6,160,0.367,0,0.965
"682_ATP6V1D_P1P2_ENSG00000100554","ENSG00000100554",1.269,55,254,0.203,1.051,1.043
"697_ATRIP_P1P2_ENSG00000164053","ENSG00000164053",0.078,186,259,0.118,1.148,0.917
"700_ATXN10_P1P2_ENSG00000130638","ENSG00000130638",1.477,38,181,0.098,1.007,0.95
"715_AURKB_P1P2_ENSG00000178999","ENSG00000178999",0.359,27,34,0.099,0.75,0.962
"751_BAG6_P1P2_ENSG00000204463","ENSG00000204463",0.387,169,247,0.16,1.013,0.998
"825_BGLAP_P1P2_ENSG00000242252","ENSG00000242252",0.051,11,104,0,0,1.025
"888_BRD2_P1_ENSG00000204256","ENSG00000204256",0.891,50,198,0.253,1.112,0.968
"893_BRD8_P1P2_ENSG00000112983","ENSG00000112983",0.362,133,132,0.31,0.806,0.874
"968_C12orf60_P1P2_ENSG00000182993","ENSG00000182993",0.025,191,170,0.264,0.066,0.915
"1011_C18orf21_P1P2_ENSG00000141428","ENSG00000141428",0.157,30,50,0.068,1.452,0.937
"1032_C1QBP_P1P2_ENSG00000108561","ENSG00000108561",3.572,110,204,0.151,1.012,0.944
"1083_NEPRO_P1P2_ENSG00000163608","ENSG00000163608",0.307,40,43,0.177,0.604,0.9
"1129_SPOUT1_P1P2_ENSG00000198917","ENSG00000198917",0.111,198,63,0.203,1.16,0.918
"1175_CAP1_P1P2_ENSG00000131236","ENSG00000131236",3.335,42,119,0.091,1.004,0.974
"1192_CARF_P1P2_ENSG00000138380","ENSG00000138380",0.052,26,144,0.092,0,0.924
"1290_CCDC6_P1P2_ENSG00000108091","ENSG00000108091",0.464,49,367,0.109,0.786,0.934
"1315_CCNA2_P1P2_ENSG00000145386","ENSG00000145386",0.999,34,106,0.316,0.559,0.809
"1334_CCNL1_P1P2_ENSG00000163660","ENSG00000163660",0.419,98,216,0.16,0.589,1.1
"1346_CCT2_P1P2_ENSG00000166226","ENSG00000166226",3.254,185,262,0.136,0.877,0.905
"1361_CD2BP2_P1P2_ENSG00000169217","ENSG00000169217",0.405,73,264,0.077,0.644,0.995
"1399_CDC40_P1P2_ENSG00000168438","ENSG00000168438",0.38,14,52,0.441,1.408,1.046
"1441_CDK7_P1P2_ENSG00000134058","ENSG00000134058",0.216,15,54,0.156,0.643,1.088
"1474_CENPA_P1_ENSG00000115163","ENSG00000115163",0.31,13,161,0.917,0.604,0.809
"1533_CFDP1_P2_ENSG00000153774","ENSG00000153774",0.736,38,147,0.785,1.588,0.999
