"guide","target","gap_lo","gap_hi","baseline","dropout0","knockdown","n_sig","n2","n3","n4","n5_10","n_low"
"10_AARS2_P1P2_ENSG00000124608","ENSG00000124608",8,31,0.09,0.89,0.07,292,81,11,4,2,98
"39_ABHD11_P1P2_ENSG00000106077","ENSG00000106077",6,21,0.18,0.8,0.11,166,19,5,1,3,28
"81_ACD_P1P2_ENSG00000102977","ENSG00000102977",3,16,0.22,0.76,0.22,115,3,1,0,0,4
"106_ACTL6A_P1P2_ENSG00000136518","ENSG00000136518",3,104,0.5,0.57,0.25,25,2,1,0,0,3
"139_ADAT2_P1P2_ENSG00000189007","ENSG00000189007",8,34,0.05,0.94,0.11,215,68,8,3,3,82
"158_ADNP2_P1P2_ENSG00000101544","ENSG00000101544",6,19,0.16,0.82,0.12,166,24,3,1,3,31
"263_ALG11_P1P2_ENSG00000253710","ENSG00000253710",4,18,0.06,0.93,0.29,101,41,5,2,0,48
"308_ANAPC4_P1P2_ENSG00000053900","ENSG00000053900",5,17,0.12,0.86,0.16,54,9,1,0,1,11
"309_ANAPC5_P1P2_ENSG00000089053","ENSG00000089053",22,74,0.97,0.35,0.12,113,49,19,5,13,92
"350_ANLN_P1P2_ENSG00000011426","ENSG00000011426",5,26,1.35,0.51,0.06,28,33,5,1,1,40
"378_AP2S1_P1P2_ENSG00000042753","ENSG00000042753",9,30,6.19,0.07,0.18,184,86,22,1,7,116
"534_ARPC1B_P1P2_ENSG00000130429","ENSG00000130429",3,9,3.08,0.11,0.18,147,21,3,0,1,24
"592_INTS13_P1P2_ENSG00000064102","ENSG00000064102",3,10,0.5,0.57,0.14,229,51,8,0,2,59
"681_ATP6V1C1_P1P2_ENSG00000155097","ENSG00000155097",6,18,0.4,0.62,0.36,160,4,0,1,1,6
"682_ATP6V1D_P1P2_ENSG00000100554","ENSG00000100554",7,25,1.31,0.27,0.2,254,43,9,1,2,55
"697_ATRIP_P1P2_ENSG00000164053","ENSG00000164053",10,45,0.07,0.91,0.13,259,150,23,10,3,186
