"dataset","method","moi","n_calls","cal_n","t1e05","t1e01","t1e001","ks","mlog10_mean","med_dev","pow_n","pow_med_p","pow_frac05","pow_mlog10","med_abs_lfc","trustworthy"
"a549","ambient","high",67171,2000,0.06,0.017,0.003,0.144,0.410419243994443,0.06,53,0.636,0.132075471698113,0.733770704971787,0.0254992498036945,TRUE
"a549","cleanser","high",57937,2000,0.05,0.0125,0.001,0.138,0.38617188831651,0.074,53,0.464,0.0943396226415094,0.725051829472814,0.0391783019726979,TRUE
"a549","crispat","high",65786,2000,0.052,0.014,0.0025,0.144,0.402124048667078,0.06,53,0.516,0.0943396226415094,0.694759290821345,0.032226186986625,TRUE
"a549","depth_fix","high",69734,2000,0.07,0.0245,0.005,0.1335,0.43504051597779,0.048,53,0.468,0.0943396226415094,0.683695972989937,0.032303757503508,TRUE
"a549","fishash","high",56931,2000,0.0535,0.013,0.0015,0.1585,0.389429056234454,0.068,53,0.516,0.132075471698113,0.852918528266669,0.0348011640749712,TRUE
"a549","sceptre","high",60963,2000,0.055,0.0175,0.002,0.1515,0.405866309055282,0.062,53,0.484,0.150943396226415,0.790121790511886,0.0296821106102859,TRUE
"a549","thresh3","high",67997,2000,0.0655,0.0225,0.0045,0.132,0.438462825813354,0.038,53,0.484,0.0943396226415094,0.708745601080733,0.0326751752044168,TRUE
"cd8_tcell","ambient","low",1488,0,NA,NA,NA,NA,NA,NA,21,0.58,0.0952380952380952,0.580014042395722,0.018240567877769,FALSE
"cd8_tcell","depth_fix","low",1119,0,NA,NA,NA,NA,NA,NA,21,0.624,0.142857142857143,0.77990143483782,0.00241354175500548,FALSE
"cd8_tcell","depth_fix_nb","low",44,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,FALSE
"cd8_tcell","fishash","low",1061,0,NA,NA,NA,NA,NA,NA,21,0.604,0.19047619047619,0.977494183686784,0.00284780253071658,FALSE
"cd8_tcell","sceptre","low",872,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,FALSE
"cd8_tcell","thresh3","low",1040,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,FALSE
"dctap_highmoi","ambient","high",103024,2000,0.1655,0.08,0.0325,0.1555,0.738638879739331,0.136,3,1.33228496965965e-207,1,195.841192810698,0.31193151891934,FALSE
"dctap_highmoi","depth_fix","high",116407,2000,0.233,0.1285,0.056,0.2155,0.914264790314742,0.196,3,1.47850652232063e-190,1,190.25812062168,0.277199861449299,FALSE
"dctap_highmoi","depth_fix_nb","high",94148,2000,0.177,0.088,0.039,0.1685,0.7856989233864,0.156,3,2.25422535373785e-151,1,119.331496826422,0.384888827450127,FALSE
"dctap_highmoi","fishash","high",94739,2000,0.187,0.085,0.036,0.171,0.768953619360642,0.148,3,6.50681929333487e-174,1,146.580144914496,0.379996025280548,FALSE
"dctap_highmoi","sceptre","high",80703,2000,0.0955,0.0415,0.0115,0.0805,0.562078382710118,0.072,3,5.59246101370445e-159,1,154.536415706735,0.426854076206577,FALSE
"dctap_highmoi","thresh3","high",290265,2000,0.213,0.119,0.0535,0.22,0.888815904096023,0.208,3,2.60051002087931e-24,1,38.1891375990073,0.0325422586195544,FALSE
"dctap_lowmoi","ambient","low",6127,2000,0.1195,0.0455,0.0175,0.114,0.612686721566521,0.086,3,5.2114944360935e-23,1,36.2346627681762,0.538048737282577,FALSE
"dctap_lowmoi","depth_fix","low",6375,2000,0.113,0.0435,0.0165,0.1035,0.60115470287955,0.084,3,2.65201616864673e-21,1,36.862326232337,0.522845356923774,FALSE
"dctap_lowmoi","depth_fix_nb","low",6374,2000,0.114,0.045,0.017,0.109,0.601624237332463,0.084,3,2.49712760868814e-21,1,34.3033281621124,0.52299499518862,FALSE
"dctap_lowmoi","fishash","low",5944,2000,0.1195,0.045,0.0185,0.111,0.610637745598476,0.084,3,1.36174806503402e-21,1,38.8189127507594,0.536041375857506,FALSE
"dctap_lowmoi","sceptre","low",7846,2000,0.0935,0.0255,0.009,0.077,0.536614077644157,0.052,3,1.48205628877559e-14,1,27.2598643307128,0.521421991582264,FALSE
"dctap_lowmoi","thresh3","low",22388,2000,0.0585,0.0155,0.0025,0.037,0.463582243015619,0.014,3,0.00071498811575333,1,4.8442175449495,0.506706033145811,FALSE
"endoc","ambient","high",40817,2000,0.0585,0.0145,0.002,0.1125,0.408574401663199,0.056,61,2.97279509767243e-19,0.819672131147541,35.2223417598793,1.58183755890118,TRUE
"endoc","cleanser","high",39493,2000,0.053,0.0135,0.0035,0.114,0.394989621169192,0.08,61,1.00846168988982e-18,0.80327868852459,41.1711773806015,1.63237851447987,TRUE
"endoc","crispat","high",39719,2000,0.049,0.01,5e-04,0.107,0.403007411722808,0.052,61,5.01807163680239e-17,0.819672131147541,40.2913569152053,1.58348563014499,TRUE
"endoc","depth_fix","high",40803,2000,0.056,0.0125,0.0025,0.1135,0.405585769478025,0.052,61,5.46360704505882e-19,0.819672131147541,34.4018486299385,1.53409492480145,TRUE
"endoc","depth_fix_nb","high",58,2000,0.028,0.006,0,0.187,0.299040762294783,0.176,61,4e-04,0.934426229508197,3.1928271197216,0.240959135189293,TRUE
"endoc","fishash","high",39137,2000,0.05,0.013,0.003,0.1135,0.392238856428635,0.064,61,8.60637489853732e-19,0.819672131147541,52.6499485825679,1.6245825168068,TRUE
"endoc","sceptre","high",39179,2000,0.052,0.0125,0.003,0.111,0.392473600428317,0.056,61,1.06426109099803e-17,0.819672131147541,40.4933470470454,1.65193858678817,TRUE
"endoc","thresh3","high",40915,2000,0.0525,0.014,0.004,0.1025,0.405554428037807,0.052,61,7.96307336960405e-19,0.80327868852459,34.2397131963029,1.57414236136958,TRUE
