"dataset","method","moi","n_calls","cal_pairs","t1e_05","t1e_01","ks","pow_pairs","pow_med_p","pow_frac_sig","mins"
"a549","thresh3","high",67997,2000,0.0655,0.0225,0.132,53,0.484,0.0943396226415094,0.7
"a549","ambient","high",67171,2000,0.06,0.017,0.144,53,0.636,0.132075471698113,0.7
"a549","fishash","high",56931,2000,0.0535,0.013,0.1585,53,0.516,0.132075471698113,0.6
"a549","depth_fix","high",69734,2000,0.07,0.0245,0.1335,53,0.468,0.0943396226415094,0.7
"a549","sceptre","high",60963,2000,0.055,0.0175,0.1515,53,0.484,0.150943396226415,0.8
"endoc","thresh3","high",40915,2000,0.0525,0.014,0.1025,61,7.96307336960405e-19,0.80327868852459,0.7
"endoc","ambient","high",40817,2000,0.0585,0.0145,0.1125,61,2.97279509767243e-19,0.819672131147541,0.6
"endoc","fishash","high",39137,2000,0.05,0.013,0.1135,61,8.60637489853732e-19,0.819672131147541,0.6
"endoc","depth_fix","high",40803,2000,0.056,0.0125,0.1135,61,5.46360704505882e-19,0.819672131147541,0.7
"endoc","depth_fix_nb","high",58,2000,0.028,0.006,0.187,61,4e-04,0.934426229508197,0.6
"endoc","sceptre","high",39179,2000,0.052,0.0125,0.111,61,1.06426109099803e-17,0.819672131147541,0.8
"dctap_lowmoi","thresh3","low",22388,2000,0.0585,0.0155,0.037,3,0.00071498811575333,1,0
"dctap_lowmoi","ambient","low",6127,2000,0.1195,0.0455,0.114,3,5.2114944360935e-23,1,0.1
"dctap_lowmoi","fishash","low",5944,2000,0.1195,0.045,0.111,3,1.36174806503402e-21,1,0.1
"dctap_lowmoi","depth_fix","low",6375,2000,0.113,0.0435,0.1035,3,2.65201616864673e-21,1,0.1
"dctap_lowmoi","depth_fix_nb","low",6374,2000,0.114,0.045,0.109,3,2.49712760868814e-21,1,0.1
"dctap_lowmoi","sceptre","low",7846,2000,0.0935,0.0255,0.077,3,1.48205628877559e-14,1,0.1
"dctap_highmoi","thresh3","high",290265,2000,0.213,0.119,0.22,3,2.60051002087931e-24,1,1.2
"dctap_highmoi","ambient","high",103024,2000,0.1655,0.08,0.1555,3,1.33228496965965e-207,1,0.6
"dctap_highmoi","fishash","high",94739,2000,0.187,0.085,0.171,3,6.50681929333487e-174,1,0.7
"dctap_highmoi","depth_fix","high",116407,2000,0.233,0.1285,0.2155,3,1.47850652232063e-190,1,0.7
"dctap_highmoi","depth_fix_nb","high",94148,2000,0.177,0.088,0.1685,3,2.25422535373785e-151,1,0.7
"dctap_highmoi","sceptre","high",80703,2000,0.0955,0.0415,0.0805,3,5.59246101370445e-159,1,0.6
"cd8_tcell","thresh3","low",1040,0,NA,NA,NA,0,NA,NA,0.1
"cd8_tcell","ambient","low",1488,0,NA,NA,NA,21,0.58,0.0952380952380952,0.1
"cd8_tcell","fishash","low",1061,0,NA,NA,NA,21,0.604,0.19047619047619,0.1
"cd8_tcell","depth_fix","low",1119,0,NA,NA,NA,21,0.624,0.142857142857143,0.1
"cd8_tcell","depth_fix_nb","low",44,0,NA,NA,NA,0,NA,NA,0.1
"cd8_tcell","sceptre","low",872,0,NA,NA,NA,0,NA,NA,0.1
"replogle","thresh3","low",37068,2000,0.043,0.0075,0.0350000000000001,2383,0.14,0.396139320184641,0.5
"replogle","ambient","low",55760,2000,0.036,0.006,0.029,2383,0.116,0.41502308015107,0.5
"replogle","fishash","low",34194,2000,0.0575,0.014,0.0425,2383,0.152,0.371800251783466,0.6
"replogle","depth_fix","low",38246,2000,0.051,0.0135,0.0565,2383,0.168,0.36634494334872,0.7
"replogle","sceptre","low",38276,2000,0.043,0.014,0.0359999999999999,2383,0.148,0.378514477549308,2.5
"gasperini","thresh3","high",860360,2000,0.048,0.009,0.02,377,4.56874351625699e-16,0.944297082228117,0.9
"gasperini","ambient","high",1046602,2000,0.0455,0.0085,0.0155,377,5.62026822304605e-15,0.938992042440318,0.9
"gasperini","fishash","high",839088,2000,0.048,0.0075,0.022,377,5.6543874976374e-16,0.946949602122016,1
"gasperini","depth_fix","high",892133,2000,0.0485,0.007,0.0175,377,9.38433182581786e-16,0.949602122015915,0.9
"a549","crispat","high",65786,2000,0.052,0.014,0.144,53,0.516,0.0943396226415094,3.3
"endoc","crispat","high",39719,2000,0.049,0.01,0.107,61,5.01807163680239e-17,0.819672131147541,3.3
"replogle","crispat","low",20561,2000,0.0445,0.0135,0.054,2383,0.128,0.411665967268149,33.2
