"regime","d_sigma","jaccard_depth_fix","jaccard_fishash","FDR_depth_fix","FDR_fishash","recall_depth_fix","recall_fishash","gap_jac"
"a549_crispri_perturbseq_GSE236304",0.05,0.916415213122006,0.90382737618784,0.069955222784996,0.0119508777713673,0.971789705906437,0.914351588466599,0.012587836934166
"a549_crispri_perturbseq_GSE236304",0.3,0.914743416242066,0.902590502145236,0.0701172307011723,0.0108524563002237,0.968959953973068,0.911719807493383,0.0121529140968301
"cd8_tcell_perturbcite_GSE279498",0.05,0.786828664418231,0.781160821867521,0.18956622829325,0.0571455033805687,0.896187571693609,0.814120414352805,0.00566784255070996
"cd8_tcell_perturbcite_GSE279498",0.3,0.779118519476736,0.775634756332498,0.189425693065667,0.0600410218161477,0.891076938732931,0.810116664694029,0.00348376314423804
"dctap_k562_highmoi_GSE303901",0.05,0.850999251080355,0.878338965721877,0.190889795006424,0.000909126078378274,0.988500727078242,0.879136564140668,-0.027339714641522
"dctap_k562_highmoi_GSE303901",0.3,0.849549016350884,0.876919158433468,0.191591658746576,0.00100833818111305,0.986947538966804,0.877749664747216,-0.027370142082584
"dctap_k562_lowmoi_GSE303901",0.05,0.877179744500814,0.926622076773824,0.105708000463124,0.0322498406628426,0.993401153249177,0.977511126504018,-0.04944233227301
"dctap_k562_lowmoi_GSE303901",0.3,0.877806201819748,0.929341154983058,0.106198776405402,0.0302836698185535,0.993558787452368,0.97574576239003,-0.05153495316331
"endoc_t2d_perturbseq_GSE273677",0.05,0.990794868909007,0.960166666420004,0.00461002916549064,0.000686341798215511,0.996624508522691,0.961114122167791,0.030628202489003
"endoc_t2d_perturbseq_GSE273677",0.3,0.986618499026853,0.956182754350249,0.00564334085778781,0.00088339222614841,0.994438254925949,0.958367957552195,0.0304357446766039
"gasperini",0.05,0.710997744457895,0.739289859968677,0.518659765731408,0.445463167878596,0.969164970371635,0.963076643822408,-0.028292115510782
"gasperini",0.3,0.702764882556172,0.729189579517095,0.535410010649627,0.464086687306502,0.956973061939102,0.950949403089659,-0.026424696960923
"gastric_organoid_cropseq_GSE280506",0.05,0.615784836002279,0.705842902219902,0.707622072250893,0.493943588856203,0.996670239104939,0.99156546963518,-0.090058066217623
"gastric_organoid_cropseq_GSE280506",0.3,0.61582399930746,0.699896118891207,0.707844501889044,0.500300197272493,0.992518620033434,0.984808838525795,-0.0840721195837469
"invivo_cortex_perturbseq_GSE249416",0.05,0.877294689188655,0.767279411975338,0.10744766084927,0.000476224492225635,0.966064345680224,0.767597351117501,0.110015277213317
"invivo_cortex_perturbseq_GSE249416",0.3,0.873628751629859,0.764021235775685,0.11026331798036,0.000309752436322047,0.963802959145037,0.76425425783042,0.109607515854174
"ipsc_crispri_hipsci_figshare27989294",0.05,0.885551776266062,0.891662851037851,0.146245059288538,0.143426294820717,0.972937293729373,0.967986798679868,-0.00611107477178907
"ipsc_crispri_hipsci_figshare27989294",0.3,0.778698245783492,0.789435641908348,0.25,0.245487364620939,0.944066882416397,0.939212513484358,-0.010737396124856
"perturb_multiome_erythroid_GSE274113",0.05,0.979932850555927,0.9742316509756,0.012797578092748,0.0010634526763559,0.99420030723556,0.97526718028032,0.005701199580327
"perturb_multiome_erythroid_GSE274113",0.3,0.995614410385812,0.970290335615534,0.000484999653571676,0,0.996123231069817,0.970290335615534,0.025324074770278
"replogle",0.05,0.970175438596491,0.970175438596491,0.0273109243697479,0.0273109243697479,1,1,0
"replogle",0.3,0.997348484848485,0.997348484848485,0.0021505376344086,0.0021505376344086,0.99810606060606,0.99810606060606,0
"schraivogel",0.05,0.980566002308419,0.983859974810169,0.0138398396487544,0.00165950800468567,0.997968633268699,0.98534904440869,-0.00329397250175001
"schraivogel",0.3,0.995088023613339,0.982301165591314,9.57120980091884e-05,0,0.995187479712795,0.982301165591314,0.0127868580220251
"tcell_cd4_perturbseq_GSE314342",0.05,0.99389393939394,0.993166666666667,0.00325732899022801,0.00109051254089422,0.997,0.994833333333333,0.000727272727273021
"tcell_cd4_perturbseq_GSE314342",0.3,0.993888888888889,0.99037037037037,0.00433369447453954,0.00434782608695652,0.998666666666667,0.995148148148148,0.00351851851851903
