"model","id","sample","chemistry","purity","mu_level","mu_pert","moi_level","moi","theta_sig","n_guides","n_cells","focal"
"A","A__mix0hr_Cropseq__pur90__muweak__moilow","mix0hr_Cropseq","CROP-seq",0.9,"weak",5,"low",1,1,100,2858,"human"
"A","A__mix0hr_Cropseq__pur90__muweak__moihigh","mix0hr_Cropseq","CROP-seq",0.9,"weak",5,"high",5,1,100,2858,"human"
"A","A__mix0hr_Cropseq__pur90__mumod__moilow","mix0hr_Cropseq","CROP-seq",0.9,"mod",15,"low",1,1,100,2858,"human"
"A","A__mix0hr_Cropseq__pur90__mumod__moihigh","mix0hr_Cropseq","CROP-seq",0.9,"mod",15,"high",5,1,100,2858,"human"
"A","A__mix0hr_Cropseq__pur90__mustrong__moilow","mix0hr_Cropseq","CROP-seq",0.9,"strong",50,"low",1,1,100,2858,"human"
"A","A__mix0hr_Cropseq__pur90__mustrong__moihigh","mix0hr_Cropseq","CROP-seq",0.9,"strong",50,"high",5,1,100,2858,"human"
"A","A__mix0hr_Cropseq__pur99__muweak__moilow","mix0hr_Cropseq","CROP-seq",0.99,"weak",5,"low",1,1,100,2791,"human"
"A","A__mix0hr_Cropseq__pur99__muweak__moihigh","mix0hr_Cropseq","CROP-seq",0.99,"weak",5,"high",5,1,100,2791,"human"
"A","A__mix0hr_Cropseq__pur99__mumod__moilow","mix0hr_Cropseq","CROP-seq",0.99,"mod",15,"low",1,1,100,2791,"human"
"A","A__mix0hr_Cropseq__pur99__mumod__moihigh","mix0hr_Cropseq","CROP-seq",0.99,"mod",15,"high",5,1,100,2791,"human"
"A","A__mix0hr_Cropseq__pur99__mustrong__moilow","mix0hr_Cropseq","CROP-seq",0.99,"strong",50,"low",1,1,100,2791,"human"
"A","A__mix0hr_Cropseq__pur99__mustrong__moihigh","mix0hr_Cropseq","CROP-seq",0.99,"strong",50,"high",5,1,100,2791,"human"
"A","A__mix72hr_Cropseq__pur90__muweak__moilow","mix72hr_Cropseq","CROP-seq",0.9,"weak",5,"low",1,1,100,4849,"mouse"
"A","A__mix72hr_Cropseq__pur90__muweak__moihigh","mix72hr_Cropseq","CROP-seq",0.9,"weak",5,"high",5,1,100,4849,"mouse"
"A","A__mix72hr_Cropseq__pur90__mumod__moilow","mix72hr_Cropseq","CROP-seq",0.9,"mod",15,"low",1,1,100,4849,"mouse"
"A","A__mix72hr_Cropseq__pur90__mumod__moihigh","mix72hr_Cropseq","CROP-seq",0.9,"mod",15,"high",5,1,100,4849,"mouse"
"A","A__mix72hr_Cropseq__pur90__mustrong__moilow","mix72hr_Cropseq","CROP-seq",0.9,"strong",50,"low",1,1,100,4849,"mouse"
"A","A__mix72hr_Cropseq__pur90__mustrong__moihigh","mix72hr_Cropseq","CROP-seq",0.9,"strong",50,"high",5,1,100,4849,"mouse"
"A","A__mix72hr_Cropseq__pur99__muweak__moilow","mix72hr_Cropseq","CROP-seq",0.99,"weak",5,"low",1,1,100,4734,"mouse"
"A","A__mix72hr_Cropseq__pur99__muweak__moihigh","mix72hr_Cropseq","CROP-seq",0.99,"weak",5,"high",5,1,100,4734,"mouse"
"A","A__mix72hr_Cropseq__pur99__mumod__moilow","mix72hr_Cropseq","CROP-seq",0.99,"mod",15,"low",1,1,100,4734,"mouse"
"A","A__mix72hr_Cropseq__pur99__mumod__moihigh","mix72hr_Cropseq","CROP-seq",0.99,"mod",15,"high",5,1,100,4734,"mouse"
"A","A__mix72hr_Cropseq__pur99__mustrong__moilow","mix72hr_Cropseq","CROP-seq",0.99,"strong",50,"low",1,1,100,4734,"mouse"
"A","A__mix72hr_Cropseq__pur99__mustrong__moihigh","mix72hr_Cropseq","CROP-seq",0.99,"strong",50,"high",5,1,100,4734,"mouse"
"A","A__mix0hr_DirectCapture__pur90__muweak__moilow","mix0hr_DirectCapture","direct-capture",0.9,"weak",30,"low",1,1,100,2499,"human"
"A","A__mix0hr_DirectCapture__pur90__muweak__moihigh","mix0hr_DirectCapture","direct-capture",0.9,"weak",30,"high",5,1,100,2499,"human"
