"regime","separation","mu_pert","mu_p10","mu_p90","signal_frac","emergent_moi","moi","kappa_bar","phi_noise","alpha_amb","target_pct3","sim_pct3","target_p99","sim_p99"
"a549_crispri_perturbseq_GSE236304",4.62,95,28,328,0.0147,2.2,2.2,8,3,0.3,10.3,10.8,9,8.7
"cd8_tcell_perturbcite_GSE279498",1.87,26,10,87,0.0156,2.3,2.3,16,3,0.3,15.9,15.1,11,9.7
"dctap_k562_highmoi_GSE303901",5.12,197,70,431,0.0654,9.8,9.8,64,3,0.3,34.1,30.9,16,26
"dctap_k562_lowmoi_GSE303901",6.05,508,202,1264,0.00863,1.3,1.3,16,1.5,0.3,12.1,11.6,7,7
"endoc_t2d_perturbseq_GSE273677",5.39,223,95,406,0.0118,1.8,1.8,1,3,0.7,2.2,2.3,5,5
"gastric_organoid_cropseq_GSE280506",4.45,86,65,103,0.00664,1,1,64,3,0.3,33.8,27.5,13,19
"invivo_cortex_perturbseq_GSE249416",5.26,365,66,1849,0.0596,8.9,8.9,64,1.5,0.7,22,21.5,14,12.7
"ipsc_crispri_hipsci_figshare27989294",3.65,557,132,2162,0.000282,0,0,4,1.5,0.3,3.2,3.2,4,3.3
"perturb_multiome_erythroid_GSE274113",3.3,26,23,29,0.0161,2.4,2.4,8,0.7,0.3,4.3,4.5,5,4
"tcell_cd4_perturbseq_GSE314342",4.39,80,80,80,0.001,0.1,0.1,1,0,0.7,0,0.1,2,2
"gasperini",2.4,21,16,28,0.00212,0.3,0.3,16,3,0.3,14.3,14.8,11,8.7
"replogle",6.81,1106,476,1932,0.000548,0.1,0.1,1,3,0.3,0.9,0.8,2,2
"schraivogel",4.16,68,57,78,0.0117,1.8,1.8,4,1.5,0.3,2.9,3,5,3.7
