"model","id","chemistry","regime","purity","mu_level","mu_pert","moi_level","moi","method","jaccard","precision","recall","fdr_pooled","recall_pooled","n_pred","n_true"
"B","B__regime__a549_crispri_perturbseq_GSE236304",NA,"a549_crispri_perturbseq_GSE236304",NA,"cal",95,"low",2.2,"thresh3",0.879733299636338,0.911973035662726,0.963829156018858,0.1782591674279,0.969067405355494,15326,12996
"B","B__regime__a549_crispri_perturbseq_GSE236304",NA,"a549_crispri_perturbseq_GSE236304",NA,"cal",95,"low",2.2,"thresh10",0.864998651006677,0.996129535485289,0.868511497274183,0.00541702493551161,0.890043090181594,11630,12996
"B","B__regime__a549_crispri_perturbseq_GSE236304",NA,"a549_crispri_perturbseq_GSE236304",NA,"cal",95,"low",2.2,"thresh20",0.754737302396634,0.999945205479452,0.754788155415007,9.67305088024763e-05,0.795398584179748,10338,12996
"B","B__regime__a549_crispri_perturbseq_GSE236304",NA,"a549_crispri_perturbseq_GSE236304",NA,"cal",95,"low",2.2,"ambient",0.831252054894336,0.869034238604684,0.951722349986137,0.177838304656879,0.952293013234842,15053,12996
"B","B__regime__a549_crispri_perturbseq_GSE236304",NA,"a549_crispri_perturbseq_GSE236304",NA,"cal",95,"low",2.2,"otsu",0.875377707812577,0.948322526671201,0.926534907382183,0.270522950720791,0.930594028931979,16579,12996
"B","B__regime__a549_crispri_perturbseq_GSE236304",NA,"a549_crispri_perturbseq_GSE236304",NA,"cal",95,"low",2.2,"valley",0.90050019081886,0.998713760512418,0.901742664200787,0.000421371987190292,0.912665435518621,11866,12996
"B","B__regime__a549_crispri_perturbseq_GSE236304",NA,"a549_crispri_perturbseq_GSE236304",NA,"cal",95,"low",2.2,"fishash",0.90382737618784,0.985080896566064,0.914351588466599,0.0119508777713673,0.922437673130194,12133,12996
"B","B__regime__a549_crispri_perturbseq_GSE236304",NA,"a549_crispri_perturbseq_GSE236304",NA,"cal",95,"low",2.2,"depth_fix",0.916415213122006,0.940611862121873,0.971789705906437,0.069955222784996,0.974915358571868,13623,12996
"B","B__regime__a549_crispri_perturbseq_GSE236304",NA,"a549_crispri_perturbseq_GSE236304",NA,"cal",95,"low",2.2,"sceptre",0.89485431675704,0.972559220924266,0.919393742187514,0.0313839682924856,0.921437365343183,12363,12996
"B","B__regime__cd8_tcell_perturbcite_GSE279498",NA,"cd8_tcell_perturbcite_GSE279498",NA,"cal",26,"low",2.3,"thresh3",0.730605829052657,0.81480063816514,0.890255051633007,0.419518311477979,0.90355371228755,19141,12297
"B","B__regime__cd8_tcell_perturbcite_GSE279498",NA,"cd8_tcell_perturbcite_GSE279498",NA,"cal",26,"low",2.3,"thresh10",0.6521226242915,0.966567727471608,0.669777250611492,0.0509582364019054,0.696673985524925,9027,12297
"B","B__regime__cd8_tcell_perturbcite_GSE279498",NA,"cd8_tcell_perturbcite_GSE279498",NA,"cal",26,"low",2.3,"thresh20",0.486032271900701,0.989794444778307,0.489603202688242,0.00707511666415776,0.536390989672278,6643,12297
"B","B__regime__cd8_tcell_perturbcite_GSE279498",NA,"cd8_tcell_perturbcite_GSE279498",NA,"cal",26,"low",2.3,"ambient",0.6689082680071,0.73551156083827,0.890665125600432,0.432028836251287,0.896966739855249,19420,12297
"B","B__regime__cd8_tcell_perturbcite_GSE279498",NA,"cd8_tcell_perturbcite_GSE279498",NA,"cal",26,"low",2.3,"otsu",0.622564928807236,0.730603893667466,0.890791486238584,0.764387843460263,0.907213141416606,47349,12297
"B","B__regime__cd8_tcell_perturbcite_GSE279498",NA,"cd8_tcell_perturbcite_GSE279498",NA,"cal",26,"low",2.3,"valley",0.728009007498663,0.978644312675846,0.738115445821749,0.0165118679050568,0.77498576888672,9690,12297
"B","B__regime__cd8_tcell_perturbcite_GSE279498",NA,"cd8_tcell_perturbcite_GSE279498",NA,"cal",26,"low",2.3,"fishash",0.781160821867521,0.92908870432678,0.814120414352805,0.0571455033805687,0.82784418963975,10797,12297
"B","B__regime__cd8_tcell_perturbcite_GSE279498",NA,"cd8_tcell_perturbcite_GSE279498",NA,"cal",26,"low",2.3,"depth_fix",0.786828664418231,0.857821156789852,0.896187571693609,0.18956622829325,0.907050500121981,13763,12297
"B","B__regime__cd8_tcell_perturbcite_GSE279498",NA,"cd8_tcell_perturbcite_GSE279498",NA,"cal",26,"low",2.3,"sceptre",0.758206651855209,0.89545234561792,0.830735146649521,0.166003087673682,0.834675124013987,12307,12297
"B","B__regime__dctap_k562_highmoi_GSE303901",NA,"dctap_k562_highmoi_GSE303901",NA,"cal",197,"high",9.8,"thresh3",0.756331600724236,0.763450949082768,0.990213983395907,0.400010334849111,0.992155723416618,96760,58514
"B","B__regime__dctap_k562_highmoi_GSE303901",NA,"dctap_k562_highmoi_GSE303901",NA,"cal",197,"high",9.8,"thresh10",0.888198484891372,0.932786897891975,0.951889086514266,0.0980910708275232,0.961667293297331,62391,58514
"B","B__regime__dctap_k562_highmoi_GSE303901",NA,"dctap_k562_highmoi_GSE303901",NA,"cal",197,"high",9.8,"thresh20",0.881913023854438,0.98002254580766,0.899087443190603,0.0252950482806277,0.916020097754384,54991,58514
"B","B__regime__dctap_k562_highmoi_GSE303901",NA,"dctap_k562_highmoi_GSE303901",NA,"cal",197,"high",9.8,"ambient",0.893116408755626,0.963565148548356,0.924662732032608,0.0419289085967673,0.915729568992036,55928,58514
"B","B__regime__dctap_k562_highmoi_GSE303901",NA,"dctap_k562_highmoi_GSE303901",NA,"cal",197,"high",9.8,"otsu",0.881927984655423,0.913341082873501,0.966127566402337,0.182268213832121,0.968298185049732,69288,58514
"B","B__regime__dctap_k562_highmoi_GSE303901",NA,"dctap_k562_highmoi_GSE303901",NA,"cal",197,"high",9.8,"valley",0.930802793299824,0.99562255324661,0.934220578155846,0.00470222270450147,0.940509963427556,55293,58514
"B","B__regime__dctap_k562_highmoi_GSE303901",NA,"dctap_k562_highmoi_GSE303901",NA,"cal",197,"high",9.8,"fishash",0.878338965721877,0.998843692471272,0.879136564140668,0.000909126078378274,0.882711829647606,51698,58514
"B","B__regime__dctap_k562_highmoi_GSE303901",NA,"dctap_k562_highmoi_GSE303901",NA,"cal",197,"high",9.8,"depth_fix",0.850999251080355,0.858692599709722,0.988500727078242,0.190889795006424,0.990224561643367,71612,58514
