"group","kind","pct_bimodal","median_gap"
"1np_3p_disp:Phighdisp","simulation",96,1.95
"Gasperini (real)","real (Gasp/Repl)",98,2.2
"gasp_calib (NEW):P2","simulation",49,2.3
"CD4 genome-scale (low)","real (2024-26)",85,2.48
"gasp_calib (NEW):P3","simulation",100,2.6
"gasp_calib (NEW):P1","simulation",75,2.64
"old_sims:Psmall","simulation",98,2.92
"Erythroid multiome (high)","real (2024-26)",100,3.3
"old_sims:Pmed","simulation",99,3.47
"DC-TAP K562 MOI=14 (high)","real (2024-26)",85,5.12
"EndoC T2D (low)","real (2024-26)",100,5.38
"old_sims:Plarge","simulation",100,5.38
"2np_3p:P1","simulation",100,5.84
"DC-TAP K562 MOI=1 (low)","real (2024-26)",88,6.04
"1np_3p_disp:Pmeddisp","simulation",100,6.37
"2np_3p:P2","simulation",100,6.4
"2np_3p:P3","simulation",100,6.77
"Replogle (real)","real (Gasp/Repl)",100,6.78
"1np_3p_disp:Plowdisp","simulation",100,6.84
