guide,gidx,guide_type
nt_1,1,homo_guide
nt_2,2,homo_guide
nt_3,3,homo_guide
nt_4,4,homo_guide
nt_5,5,homo_guide
nt_6,6,homo_guide
nt_7,7,homo_guide
nt_8,8,homo_guide
nt_9,9,homo_guide
nt_10,10,homo_guide
nt_11,11,homo_guide
nt_12,12,homo_guide
nt_13,13,homo_guide
nt_14,14,homo_guide
nt_15,15,homo_guide
nt_16,16,homo_guide
nt_17,17,homo_guide
nt_18,18,homo_guide
nt_19,19,homo_guide
nt_20,20,homo_guide
nt_21,21,homo_guide
nt_22,22,homo_guide
nt_23,23,homo_guide
nt_24,24,homo_guide
nt_25,25,homo_guide
nt_26,26,homo_guide
nt_27,27,homo_guide
nt_28,28,homo_guide
nt_29,29,homo_guide
nt_30,30,homo_guide
nt_31,31,homo_guide
nt_32,32,homo_guide
nt_33,33,homo_guide
nt_34,34,homo_guide
nt_35,35,homo_guide
nt_36,36,homo_guide
nt_37,37,homo_guide
nt_38,38,homo_guide
nt_39,39,homo_guide
nt_40,40,homo_guide
nt_41,41,homo_guide
nt_42,42,homo_guide
nt_43,43,homo_guide
nt_44,44,homo_guide
nt_45,45,homo_guide
nt_46,46,homo_guide
nt_47,47,homo_guide
nt_48,48,homo_guide
nt_49,49,homo_guide
nt_50,50,homo_guide
nt_51,51,homo_guide
nt_52,52,homo_guide
nt_53,53,homo_guide
nt_54,54,homo_guide
nt_55,55,homo_guide
nt_56,56,homo_guide
nt_57,57,homo_guide
nt_58,58,homo_guide
nt_59,59,homo_guide
nt_60,60,homo_guide
nt_61,61,homo_guide
nt_62,62,homo_guide
nt_63,63,homo_guide
nt_64,64,homo_guide
nt_65,65,homo_guide
nt_66,66,homo_guide
nt_67,67,homo_guide
nt_68,68,homo_guide
nt_69,69,homo_guide
nt_70,70,homo_guide
nt_71,71,homo_guide
nt_72,72,homo_guide
nt_73,73,homo_guide
nt_74,74,homo_guide
nt_75,75,homo_guide
nt_76,76,homo_guide
nt_77,77,homo_guide
nt_78,78,homo_guide
nt_79,79,homo_guide
nt_80,80,homo_guide
nt_81,81,homo_guide
nt_82,82,homo_guide
nt_83,83,homo_guide
nt_84,84,homo_guide
nt_85,85,homo_guide
nt_86,86,homo_guide
nt_87,87,homo_guide
nt_88,88,homo_guide
nt_89,89,homo_guide
nt_90,90,homo_guide
nt_91,91,homo_guide
nt_92,92,homo_guide
nt_93,93,homo_guide
nt_94,94,homo_guide
nt_95,95,homo_guide
nt_96,96,homo_guide
nt_97,97,homo_guide
nt_98,98,homo_guide
nt_99,99,homo_guide
nt_100,100,homo_guide
nt_101,101,mus_guide
nt_102,102,mus_guide
nt_103,103,mus_guide
nt_104,104,mus_guide
nt_105,105,mus_guide
nt_106,106,mus_guide
nt_107,107,mus_guide
nt_108,108,mus_guide
nt_109,109,mus_guide
nt_110,110,mus_guide
nt_111,111,mus_guide
nt_112,112,mus_guide
nt_113,113,mus_guide
nt_114,114,mus_guide
nt_115,115,mus_guide
nt_116,116,mus_guide
nt_117,117,mus_guide
nt_118,118,mus_guide
nt_119,119,mus_guide
nt_120,120,mus_guide
nt_121,121,mus_guide
nt_122,122,mus_guide
nt_123,123,mus_guide
nt_124,124,mus_guide
nt_125,125,mus_guide
nt_126,126,mus_guide
nt_127,127,mus_guide
nt_128,128,mus_guide
nt_129,129,mus_guide
nt_130,130,mus_guide
nt_131,131,mus_guide
nt_132,132,mus_guide
nt_133,133,mus_guide
nt_134,134,mus_guide
nt_135,135,mus_guide
nt_136,136,mus_guide
nt_137,137,mus_guide
nt_138,138,mus_guide
nt_139,139,mus_guide
nt_140,140,mus_guide
nt_141,141,mus_guide
nt_142,142,mus_guide
nt_143,143,mus_guide
nt_144,144,mus_guide
nt_145,145,mus_guide
nt_146,146,mus_guide
nt_147,147,mus_guide
nt_148,148,mus_guide
nt_149,149,mus_guide
nt_150,150,mus_guide
nt_151,151,mus_guide
nt_152,152,mus_guide
nt_153,153,mus_guide
nt_154,154,mus_guide
nt_155,155,mus_guide
nt_156,156,mus_guide
nt_157,157,mus_guide
nt_158,158,mus_guide
nt_159,159,mus_guide
nt_160,160,mus_guide
nt_161,161,mus_guide
nt_162,162,mus_guide
nt_163,163,mus_guide
nt_164,164,mus_guide
nt_165,165,mus_guide
nt_166,166,mus_guide
nt_167,167,mus_guide
nt_168,168,mus_guide
nt_169,169,mus_guide
nt_170,170,mus_guide
nt_171,171,mus_guide
nt_172,172,mus_guide
nt_173,173,mus_guide
nt_174,174,mus_guide
nt_175,175,mus_guide
nt_176,176,mus_guide
nt_177,177,mus_guide
nt_178,178,mus_guide
nt_179,179,mus_guide
nt_180,180,mus_guide
nt_181,181,mus_guide
nt_182,182,mus_guide
nt_183,183,mus_guide
nt_184,184,mus_guide
nt_185,185,mus_guide
nt_186,186,mus_guide
nt_187,187,mus_guide
nt_188,188,mus_guide
nt_189,189,mus_guide
nt_190,190,mus_guide
nt_191,191,mus_guide
nt_192,192,mus_guide
nt_193,193,mus_guide
nt_194,194,mus_guide
nt_195,195,mus_guide
nt_196,196,mus_guide
nt_197,197,mus_guide
nt_198,198,mus_guide
nt_199,199,mus_guide
nt_200,200,mus_guide
