"dataset","platform","n_guides","n_cells","moi","lib_med","nnz_med","assigned_frac","signal_frac_med","depth_ratio_med","depth_ratio_p90","depth_cor","clean_cor","n_well","comp_gini","comp_fold_90_10","guide_contam_spread"
"a549_crispri_perturbseq_GSE236304","cropseq/perturbseq",253,24833,3,398,5,0.999798655015504,0.995391705069124,172.285714285714,870.546666666667,0.419789598232805,0.807278955083006,253,0.429522292857661,8.66792452830189,4.34967110193689
"cd8_tcell_perturbcite_GSE279498","direct-capture-ish",44,1533,1,5,1,0.874755381604697,1,6.08333333333333,70,0.092317623949086,0.503685120150773,14,0.634007585335019,8.99166666666667,3.41195215426883
"dctap_k562_highmoi_GSE303901","direct-capture-ish",110,10925,9,1860,60,0.994141876430206,0.935504469987229,15.4615384615385,21.3042629686698,0.901933701012416,0.531845814026732,97,0.465305834922466,8.91946308724832,1.51767582533682
"dctap_k562_lowmoi_GSE303901","direct-capture-ish",110,5393,1,354,28,0.933803078064157,0.914205569443637,10.4545454545455,35.4994390617032,0.444620315621855,0.936820609942932,96,0.491006904527924,10.9466073414905,1.92215317109441
"endoc_t2d_perturbseq_GSE273677","cropseq/perturbseq",225,8256,2,441,9,0.985222868217054,0.985512769529869,64.8090909090909,182.4375,0.589949217990371,0.969270140434109,218,0.389362742008618,8.45454545454546,1.36183249582204
"gastric_organoid_cropseq_GSE280506","cropseq/perturbseq",96,25000,1,63,1,0.99904,1,126,300,-0.0906452120955634,0.115246261729973,1,0,1,1
"invivo_cortex_perturbseq_GSE249416","cropseq/perturbseq",17,11688,1,259,5,1,0.972972972972973,37,454.533333333334,0.200127371528647,0.314198369185734,16,0.613541731336881,25.606783919598,1.7388542435871
"ipsc_crispri_hipsci_figshare27989294","direct-capture-ish",6824,24992,10,279,58,1,0.916666666666667,11,106.511363636364,0.71081913010297,0.934075042140427,5734,0.589152926712504,30,8.17494233554455
"perturb_multiome_erythroid_GSE274113","cropseq/perturbseq",63,14495,1,28,10,0.766609175577785,0.717391304347826,2.7,7.41176470588235,0.684822224367221,0.962550776948496,63,0.225298131816807,2.7797131147541,1.15456236362658
"tcell_cd4_perturbseq_GSE314342","direct-capture-ish",27272,23952,3,33,3,1,1,66,266,0.319292418922903,0.226971513434035,15,0.360925449871465,4.59615384615384,2.45274270932208
"gasperini_ref","cropseq/perturbseq",13077,25000,39,559,53,1,0.980926430517711,52.153125,282,0.894350396065733,0.667975910076949,11100,0.30798879255406,4.64285714285714,1.99259364118595
"replogle_ref","cropseq/perturbseq",2500,24858,2,913,8,1,0.995060767522366,144.625,410.196503496503,0.846699580346291,0.721014076353244,2291,0.461578067045128,8.41176470588235,4.03977768955935
"schraivogel","cropseq/perturbseq",86,21881,1,66,2,0.995658333714181,0.983050847457627,51,154,0.213112950840256,0.978787406406226,86,0.244149281655562,3.19230769230769,1.33630600412131
"barnyard_mix0hr_Cropseq","cropseq/perturbseq",200,8247,5,56,13,0.988844428276949,0.887323943661972,8.11111111111111,33.6666666666667,0.558600548014261,0.890825026630343,200,0.298916906156737,4.32746478873239,1.37246279568919
"barnyard_mix72hr_Cropseq","cropseq/perturbseq",200,8938,5,57,11,0.993287088834191,0.911764705882353,10.3571428571429,39.7717948717949,0.572788294207013,0.890553153649937,200,0.193665603486389,2.58915595304639,1.41658506544668
"barnyard_mix0hr_DirectCapture","direct-capture-ish",200,11084,4,328,7,0.999819559725731,0.997067448680352,118,889.933333333334,0.549158509636808,0.724882366019016,196,0.572623194677828,22,3.55095530109651
"barnyard_mix72hr_DirectCapture","direct-capture-ish",200,7870,3,1684.5,7,0.99707750952986,0.99808429118774,424.325,1017.7,0.710418156033572,0.859273525852861,189,0.625554294594214,40.8,2.443296282632
