"dataset","guide","target","base_cp10k","n_weak","n_strong","kd_strong","kd_weak","kd_one"
"endoc","ABCC8-1","ENSG00000006071",0.92,73,233,0.259,0.472,1.047
"endoc","ABCC8-2","ENSG00000006071",0.921,91,429,0.218,1.063,1.028
"endoc","ABCC8-3","ENSG00000006071",0.913,84,362,0.243,0.976,1.03
"endoc","ANKH-1","ENSG00000154122",1.188,57,359,0.196,0.92,1.001
"endoc","ANKH-2","ENSG00000154122",1.18,43,298,0.245,0.928,1.011
"endoc","ANKH-3","ENSG00000154122",1.187,68,291,0.118,0.859,0.998
"endoc","ANKRD36C-1","ENSG00000174501",0.404,51,213,0.231,0.896,0.977
"endoc","ANKRD36C-2","ENSG00000174501",0.404,58,404,0.196,0.997,1.082
"endoc","ANKRD36C-3","ENSG00000174501",0.405,47,312,0.171,1.336,1.011
"endoc","ASCC2-1","ENSG00000100325",0.317,49,238,0.595,0.716,1.017
"endoc","ASCC2-2","ENSG00000100325",0.317,30,344,0.559,0.697,0.98
"endoc","ASCC2-3","ENSG00000100325",0.317,9,118,0.626,1.493,0.992
"endoc","C17orf58-1","ENSG00000186665",0.074,39,333,0.122,0.148,0.94
"endoc","C17orf58-2","ENSG00000186665",0.072,29,264,0.128,0.867,1.111
"endoc","C17orf58-3","ENSG00000186665",0.072,103,462,0.252,1.085,0.95
"endoc","CAMK2B-1","ENSG00000058404",0.439,36,278,0.151,0.935,1.069
"endoc","CAMK2B-2","ENSG00000058404",0.438,38,243,0.116,0.587,0.902
"endoc","CAMK2B-3","ENSG00000058404",0.442,69,474,0.155,0.948,0.947
"endoc","ARAP1-1","ENSG00000186635",0.203,40,298,0.597,1.168,1.123
"endoc","ARAP1-2","ENSG00000186635",0.205,40,370,0.508,0.977,1.064
"endoc","ARAP1-3","ENSG00000186635",0.205,125,493,0.439,0.788,1.087
"endoc","ARAP1-4","ENSG00000186635",0.205,61,274,0.904,0.975,1.023
"endoc","ARAP1-5","ENSG00000186635",0.204,122,495,0.833,1.236,1.032
"endoc","ARAP1-6","ENSG00000186635",0.205,82,377,1.018,1.035,0.973
"endoc","CEP68-1","ENSG00000011523",0.289,48,384,0.263,0.743,1.011
"endoc","CEP68-2","ENSG00000011523",0.285,14,157,0.237,1.635,1.068
"endoc","CEP68-3","ENSG00000011523",0.285,54,259,0.398,0.644,1.082
"endoc","CILP2-1","ENSG00000160161",0.001,125,503,1.442,0.511,0.638
