"dataset","guide","gap_lo","gap_hi","gap_ratio","n_amb","n_sig","a_g","max_amb_rate","obs2","exp2_single","exp2_den","c2_oe_single","c2_oe_den","tail_oe_single","tail_oe_den"
"endoc_t2d","Non-Targeting-5",2,9,4.5,110,40,0.00154153804370258,0.3625,4,0.77,1.55,5.17,2.59,5.17,2.59
"endoc_t2d","Non-Targeting-8",2,6,3,142,54,0.00200417660218093,0.4712,6,1.3,2.56,4.62,2.35,4.62,2.35
"endoc_t2d","Non-Targeting-14",3,9,3,389,88,0.00557297039700894,1.3104,16,9.66,17.22,1.66,0.93,1.83,0.98
"endoc_t2d","Non-Targeting-15",2,13,6.5,112,36,0.00152599463213374,0.3588,1,0.76,1.52,1.32,0.66,1.32,0.66
"endoc_t2d","ANKRD36C-1",6,23,3.83,271,47,0.00387684474617329,0.9115,6,4.77,8.9,1.26,0.67,1.66,0.85
"endoc_t2d","ASCC2-3",2,6,3,88,30,0.00120138633955335,0.2825,1,0.47,0.95,2.12,1.05,2.12,1.05
"endoc_t2d","C17orf58-2",2,6,3,200,58,0.00279034304702379,0.6561,6,2.5,4.8,2.4,1.25,2.4,1.25
"endoc_t2d","C17orf58-3",3,14,4.67,363,88,0.00519397910929479,1.2212,13,8.45,15.16,1.54,0.86,1.86,0.99
"endoc_t2d","ARAP1-2",2,6,3,242,100,0.00340733718373387,0.8012,8,3.68,6.96,2.17,1.15,2.17,1.15
"endoc_t2d","ARAP1-4",3,14,4.67,248,60,0.00357277469015757,0.8401,12,4.08,7.64,2.94,1.57,3.39,1.75
"endoc_t2d","COBLL1-1",4,18,4.5,133,55,0.00186742575553389,0.4391,2,1.13,2.23,1.77,0.9,2.64,1.31
"endoc_t2d","MINDY1-1",2,7,3.5,202,76,0.00282246934605833,0.6636,6,2.56,4.9,2.35,1.23,2.35,1.23
"endoc_t2d","G6PC2-2",2,9,4.5,60,30,0.000823276340147672,0.1936,1,0.22,0.46,4.49,2.2,4.49,2.2
"endoc_t2d","GCKR-1",2,6,3,65,80,0.000901539838948116,0.212,1,0.26,0.54,3.82,1.85,3.82,1.85
"endoc_t2d","GP2-1",2,6,3,276,48,0.0038128246280919,0.8965,6,4.64,8.63,1.29,0.7,1.29,0.7
"endoc_t2d","HNF4A-3",2,6,3,284,65,0.00391821522609441,0.9213,5,4.88,9.06,1.02,0.55,1.02,0.55
"endoc_t2d","KCNJ11-2",4,25,6.25,74,25,0.00110507016772392,0.2598,1,0.4,0.81,2.49,1.23,9.95,4.85
"endoc_t2d","KCNK16-1",7,22,3.14,368,80,0.00570645941168607,1.3417,17,10.16,17.99,1.67,0.95,2.32,1.24
"endoc_t2d","KIF9-3",7,24,3.43,308,79,0.00446022415760908,1.0487,9,6.27,11.49,1.44,0.78,1.89,0.99
"endoc_t2d","KLHL42-2",3,14,4.67,174,105,0.00255107880677268,0.5998,7,2.08,4.03,3.37,1.74,4.78,2.4
"endoc_t2d","PELO-2",3,10,3.33,535,132,0.0078412234001428,1.8437,37,18.74,31.45,1.97,1.18,1.98,1.12
"endoc_t2d","PELO-6",1,4,4,84,66,0.00113949456102838,0.2679,NA,NA,NA,NA,NA,NA,NA
"endoc_t2d","PNPLA3-2",3,11,3.67,181,66,0.00258421516672531,0.6076,5,2.13,4.15,2.34,1.21,3.25,1.63
"endoc_t2d","PPARG-4",4,47,11.75,343,57,0.00485158735511952,1.1407,12,7.42,13.44,1.62,0.89,1.73,0.91
"endoc_t2d","PTPRT-1",2,7,3.5,469,106,0.00691868299573874,1.6268,37,14.64,25.31,2.53,1.46,2.53,1.46
"endoc_t2d","SFI1-2",2,8,4,281,99,0.0039152854231293,0.9206,6,4.83,9.01,1.24,0.67,1.24,0.67
"endoc_t2d","SLC30A8-2",2,6,3,184,97,0.00258750501807445,0.6084,6,2.14,4.14,2.8,1.45,2.8,1.45
"endoc_t2d","THADA-1",2,6,3,396,79,0.0057829057188607,1.3597,29,10.4,18.43,2.79,1.57,2.79,1.57
"endoc_t2d","TPCN2-3",3,30,10,305,65,0.00438164441328515,1.0302,12,6,11.14,2,1.08,2.3,1.19
"endoc_t2d","WFS1-3",8,25,3.12,135,56,0.00207932164177187,0.4889,7,1.39,2.74,5.04,2.55,7.16,3.54
"endoc_t2d","ZHX3-2",4,19,4.75,266,62,0.00382272791902873,0.8988,13,4.65,8.66,2.8,1.5,2.98,1.54
"endoc_t2d","ZHX3-3",2,7,3.5,246,105,0.00340337506069299,0.8002,4,3.69,6.94,1.09,0.58,1.09,0.58
"endoc_t2d","ZZEF1-2",3,10,3.33,212,93,0.00301862485175104,0.7098,8,2.91,5.55,2.75,1.44,3.06,1.56
"endoc_t2d","ZZEF1-4",2,12,6,147,87,0.00213098963972347,0.5011,10,1.47,2.87,6.82,3.49,6.82,3.49
